dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1948-02-11_01_009.tcf.xml-174-75	Aus alledem ist ersichtlich: die historische Wahrheit besteht darin, daß' die HHIer-v Aggression erstens dadurch möglich wurde, daß die USA den Deutschen halfen, binnen einer kurzen Zeit die militärische und wirtschaftliche Basis der deutschen Aggression zu schaffen und somit diese Aggressoren bewaffneten und zweitens dadurch, daß der Verzicht der, britisch-französischen regierenden Kreise auf kollektive Sicherheit die Reihen der friedliebenden Länder verwirrte, die Einheitsfront dieser Lander gegen die Aggression zersetzte. den Weg für die deutsche Aggression freimachte und Hitler den zweiten Weltkrieg entfesseln half.	520:529	0:627	zersetzen
2532889X_1948-08-08_01_035.tcf.xml-369-60	Sympathie gegenüber dem Proletariat, der Haß gegen Kriegsgewinnler, Junker Und Bürokratie Waren auch in weiten Kreisen der bürgerlichen Bevölkerung und der Bauern-* Schaft während des Krieges im Wachsen, Da * mit War eine empfindliche Schwächung des Klassenfeindes des Proletariats und e ne Stärkung seiner eigenen Kräfte eingetreten; Die Armee war in Auflösung oder doch bereits stark zersetzt, Sympathisierte in weiten Teilet! mit der Arbeiterschaft.	386:394	0:452	zersetzen
2532889X_1948-10-15_01_038.tcf.xml-20-16	sie wollen die Parteibetriebseruppe in der Richtung des Kampfes gegen die SU beeinflussen, die Partei zersetzen und in den Augen der sowjetischen Besatzungsmacht diskreditieren.	102:111	0:177	zersetzen
2532889X_1949-09-08_01_010.tcf.xml-5-12	Die Bemühungen der trotzkistischen Führer von Belgrad, die Demokratische Armee zu zersetzen, eine Verleumdungskampagne zu organisieren und die Öffnung der jugoslawischen Grenze für Monarcho-Faschisten bei Kaimaksalan, wo sie unseren Kräften in den Rücken fielen, haben uns gezwungen, einen Teil unserer Truppen entlang der jugoslawischen Grenze einzusetzen.	82:91	0:357	zersetzen
2532889X_1950-01-07_01_043.tcf.xml-58-4	Diese „westliche Scheinkultur zersetzt und zerstört die kulturellen Kräfte des deutschen Volkes und erleichtert die geistige und wirtschaftliche Versklavung, die Herabwürdigung Deutschlands zu einer Kolonie ohne Bewußtsein einer eigenen Kulturtradition und ohne Weiterentwicklung einer nationalen Kultur.	30:38	0:304	zersetzen
2532889X_1950-03-29_01_082.tcf.xml-6-48	"Wie der Staatsanwalt in seiner Anklagerede behauptete, seien die Klebezettel mit der Aufschrift wie „Nicht Amisöldner, sondern Aktivisten des Aufbaüs wollen wir sein"" und „Westberliner Jugend kämpft um Lehrstellen und Arbeitsplätze"" dazu angetan, die Moral (!) der Besatzungssoldaten zu zersetzen und die öffentliche Sicherheit in Westberlin zu gefährden."	287:296	0:355	zersetzen
2532889X_1951-02-28_01_035.tcf.xml-19-30	Die amerikanischen Kriegstreiber und ihre Agenten hatten davon geträumt, daß mit Hilfe der tschechischen Verschwörer ihre Positionen weit nach Osten vorgeschoben und dadurch auch die Reihen der deutschen Friedenskräfte zersetzt werden könnten.	219:227	0:243	zersetzen
2532889X_1952-12-04_01_034.tcf.xml-131-16	Gegenüber dem völlig zerrütteten, durch die amerikanische Aggressions-und Ausplünderungspolitik von schärfsten Widersprüchen und Gegensätzen zersetzten kapitalistischen System der Weltwirtschaft bietet das von der Sowjetunion geführte Lager von Staaten das Bild einer festen brüderlichen Einheit von Landern, die von demselben Streben beseelt sind, nämlich der Welt den Frieden zu erhalten und die Werktätigen dem Sozialismus entgegenzuführen.	141:151	0:443	zersetzen
2532889X_1953-02-08_01_037.tcf.xml-142-13	Gegenüber der Behauptung in aer Anklageschrift, die Kommunisten hätten die Weimarer Verfassung zersetzt, antwortete Ernst That mann in seinen Notizen zur Anklageschrift:	95:103	0:169	zersetzen
2532889X_1953-11-21_01_040.tcf.xml-49-28	„Schon ' allein die Existenz der UdSSR als eines Landes des im Aufbau befindlichen Sozialismus trägt als einer der mächtigsten Faktoren dazu bei. den Weltimperiahsmus zu zersetzen und seine Stabilität, sowohl in Europa als auch m den Kolonien zu untergraben.	170:179	0:258	zersetzen
2532889X_1958-11-05_01_013.tcf.xml-12-20	Dafür überschwemmten die USA deutsches Land mit Gangsterfilmen und Filmen, die der Kriegshetze dienen und die Grundlagen der Moral zersetzen.	131:140	0:141	zersetzen
2532889X_1960-07-06_01_172.tcf.xml-206-17	Ihr unermüdlicher Kampf gegen jene Elemente in Ihrer Partei, die den Wiederaufbau von innen aufhalten und zersetzen wollten, trug wesentlich dazu bei, die Einheitsfront der antifaschistisch-demokratischen Parteien zu festigen und den Widerstand der imperialistischen Reaktion zu überwinden.	106:115	0:290	zersetzen
2532889X_1961-05-15_01_041.tcf.xml-98-27	Doch der Antikommunismus Ist auch heute wieder, wie unter den Nazis, eines der beliebtesten Mittel bei dem Versuch die staatliche Unabhängigkeit Österreichs auszuhöhlen und zu zersetzen.	176:185	0:186	zersetzen
