instanceID	label	comment	annotator
0_savage_nn	2.0	 	annotator2
1_savage_nn	4.0	 	annotator2
2_savage_nn	4.0	 	annotator2
3_savage_nn	2.0	 	annotator6
4_savage_nn	4.0	 	annotator6
5_savage_nn	4.0	 	annotator6
6_savage_nn	2.0	 	annotator6
7_savage_nn	2.0	 	annotator6
8_savage_nn	4.0	 	annotator6
9_savage_nn	3.0	 	annotator5
10_savage_nn	3.0	 	annotator5
11_savage_nn	4.0	 	annotator5
12_savage_nn	4.0	 	annotator5
13_savage_nn	4.0	 	annotator0
14_savage_nn	3.0	 	annotator0
15_savage_nn	3.0	 	annotator0
3_savage_nn	3.0	 	annotator0
16_savage_nn	4.0	 	annotator0
0_savage_nn	3.0	 	annotator0
17_savage_nn	4.0	 	annotator2
18_savage_nn	2.0	 	annotator2
19_savage_nn	2.0	 	annotator2
20_savage_nn	4.0	 	annotator2
21_savage_nn	4.0	 	annotator2
22_savage_nn	4.0	 	annotator2
23_savage_nn	4.0	 	annotator2
24_savage_nn	4.0	 	annotator2
25_savage_nn	4.0	 	annotator2
26_savage_nn	4.0	 	annotator2
27_savage_nn	4.0	 	annotator2
28_savage_nn	4.0	 	annotator2
29_savage_nn	4.0	 	annotator2
30_savage_nn	4.0	 	annotator2
31_savage_nn	1.0	 	annotator2
32_savage_nn	4.0	 	annotator2
33_savage_nn	4.0	 	annotator2
34_savage_nn	4.0	 	annotator2
35_savage_nn	4.0	 	annotator2
36_savage_nn	4.0	 	annotator2
37_savage_nn	1.0	 	annotator2
7_savage_nn	2.0	 	annotator2
38_savage_nn	2.0	 	annotator2
39_savage_nn	4.0	 	annotator2
13_savage_nn	1.0	 	annotator2
40_savage_nn	4.0	 	annotator2
41_savage_nn	4.0	 	annotator2
42_savage_nn	4.0	 	annotator2
43_savage_nn	4.0	 	annotator2
44_savage_nn	3.0	 	annotator2
45_savage_nn	4.0	 	annotator2
46_savage_nn	4.0	 	annotator2
47_savage_nn	4.0	 	annotator2
48_savage_nn	4.0	 	annotator2
49_savage_nn	4.0	 	annotator2
50_savage_nn	4.0	 	annotator2
51_savage_nn	3.0	 	annotator2
52_savage_nn	4.0	 	annotator2
53_savage_nn	4.0	 	annotator2
54_savage_nn	4.0	 	annotator2
55_savage_nn	4.0	 	annotator2
56_savage_nn	4.0	 	annotator2
57_savage_nn	4.0	 	annotator2
58_savage_nn	4.0	 	annotator2
59_savage_nn	4.0	 	annotator2
60_savage_nn	4.0	 	annotator2
61_savage_nn	4.0	 	annotator2
62_savage_nn	4.0	 	annotator2
63_savage_nn	4.0	 	annotator2
64_savage_nn	4.0	 	annotator2
65_savage_nn	1.0	 	annotator2
66_savage_nn	4.0	 	annotator2
67_savage_nn	4.0	 	annotator2
68_savage_nn	4.0	 	annotator2
69_savage_nn	4.0	 	annotator2
70_savage_nn	4.0	 	annotator2
71_savage_nn	4.0	 	annotator2
72_savage_nn	4.0	 	annotator2
73_savage_nn	4.0	 	annotator2
74_savage_nn	4.0	 	annotator2
75_savage_nn	4.0	 	annotator2
76_savage_nn	4.0	 	annotator2
77_savage_nn	4.0	 	annotator2
78_savage_nn	4.0	 	annotator2
79_savage_nn	4.0	 	annotator2
80_savage_nn	3.0	 	annotator2
81_savage_nn	4.0	 	annotator2
82_savage_nn	4.0	 	annotator2
83_savage_nn	4.0	 	annotator2
84_savage_nn	4.0	 	annotator2
85_savage_nn	4.0	 	annotator2
86_savage_nn	4.0	 	annotator2
87_savage_nn	4.0	 	annotator2
88_savage_nn	4.0	 	annotator2
89_savage_nn	4.0	 	annotator2
90_savage_nn	4.0	 	annotator2
91_savage_nn	4.0	 	annotator2
92_savage_nn	4.0	 	annotator2
93_savage_nn	4.0	 	annotator2
94_savage_nn	4.0	 	annotator2
95_savage_nn	2.0	 	annotator2
96_savage_nn	4.0	 	annotator2
97_savage_nn	4.0	 	annotator2
98_savage_nn	4.0	 	annotator2
99_savage_nn	1.0	 	annotator2
100_savage_nn	4.0	 	annotator2
100_savage_nn	4.0	 	annotator5
101_savage_nn	4.0	 	annotator5
102_savage_nn	3.0	 	annotator5
103_savage_nn	4.0	 	annotator5
104_savage_nn	3.0	 	annotator5
48_savage_nn	4.0	 	annotator5
105_savage_nn	4.0	 	annotator5
106_savage_nn	4.0	 	annotator5
107_savage_nn	3.0	 	annotator5
68_savage_nn	4.0	 	annotator5
108_savage_nn	4.0	 	annotator5
38_savage_nn	4.0	 	annotator5
40_savage_nn	4.0	 	annotator5
61_savage_nn	4.0	 	annotator5
109_savage_nn	4.0	 	annotator5
110_savage_nn	4.0	 	annotator5
111_savage_nn	4.0	 	annotator5
112_savage_nn	3.0	 	annotator5
13_savage_nn	3.0	 	annotator5
49_savage_nn	2.0	 	annotator5
113_savage_nn	4.0	 	annotator5
34_savage_nn	3.0	 	annotator5
114_savage_nn	3.0	 	annotator5
115_savage_nn	3.0	 	annotator5
78_savage_nn	4.0	 	annotator5
97_savage_nn	4.0	 	annotator5
65_savage_nn	4.0	 	annotator5
116_savage_nn	-	not the same root	annotator5
117_savage_nn	4.0	 	annotator5
118_savage_nn	4.0	 	annotator5
119_savage_nn	4.0	 	annotator5
120_savage_nn	4.0	 	annotator5
99_savage_nn	4.0	 	annotator5
121_savage_nn	4.0	 	annotator5
122_savage_nn	4.0	 	annotator5
123_savage_nn	4.0	 	annotator5
64_savage_nn	4.0	 	annotator5
124_savage_nn	4.0	 	annotator5
125_savage_nn	4.0	 	annotator5
126_savage_nn	4.0	 	annotator5
127_savage_nn	4.0	 	annotator5
128_savage_nn	4.0	 	annotator5
129_savage_nn	4.0	 	annotator5
130_savage_nn	4.0	 	annotator5
35_savage_nn	4.0	 	annotator5
81_savage_nn	4.0	 	annotator5
131_savage_nn	4.0	 	annotator5
37_savage_nn	3.0	 	annotator5
132_savage_nn	4.0	 	annotator5
83_savage_nn	4.0	 	annotator5
133_savage_nn	4.0	 	annotator5
134_savage_nn	4.0	 	annotator5
135_savage_nn	4.0	 	annotator5
136_savage_nn	4.0	 	annotator5
63_savage_nn	4.0	 	annotator5
137_savage_nn	4.0	 	annotator5
69_savage_nn	4.0	 	annotator5
138_savage_nn	4.0	 	annotator5
139_savage_nn	4.0	 	annotator5
140_savage_nn	4.0	 	annotator5
141_savage_nn	4.0	 	annotator5
142_savage_nn	4.0	 	annotator5
143_savage_nn	4.0	 	annotator5
144_savage_nn	4.0	 	annotator5
145_savage_nn	4.0	 	annotator5
59_savage_nn	4.0	 	annotator5
80_savage_nn	4.0	 	annotator5
20_savage_nn	3.0	 	annotator5
51_savage_nn	4.0	 	annotator5
23_savage_nn	3.0	 	annotator5
146_savage_nn	4.0	 	annotator5
74_savage_nn	4.0	 	annotator5
56_savage_nn	4.0	 	annotator5
147_savage_nn	4.0	 	annotator5
82_savage_nn	4.0	 	annotator5
73_savage_nn	4.0	 	annotator5
148_savage_nn	4.0	 	annotator5
22_savage_nn	3.0	 	annotator5
85_savage_nn	4.0	 	annotator5
55_savage_nn	4.0	 	annotator5
149_savage_nn	4.0	 	annotator5
52_savage_nn	4.0	 	annotator5
70_savage_nn	4.0	 	annotator5
150_savage_nn	4.0	 	annotator5
151_savage_nn	4.0	 	annotator5
50_savage_nn	4.0	 	annotator5
75_savage_nn	4.0	 	annotator5
33_savage_nn	4.0	 	annotator5
152_savage_nn	4.0	 	annotator5
153_savage_nn	4.0	 	annotator5
154_savage_nn	4.0	 	annotator5
155_savage_nn	4.0	 	annotator5
156_savage_nn	4.0	 	annotator4
21_savage_nn	4.0	 	annotator4
157_savage_nn	4.0	 	annotator4
158_savage_nn	3.0	 	annotator4
89_savage_nn	4.0	 	annotator4
159_savage_nn	4.0	 	annotator4
160_savage_nn	4.0	 	annotator4
161_savage_nn	4.0	 	annotator4
155_savage_nn	4.0	 	annotator4
82_savage_nn	4.0	 	annotator4
162_savage_nn	4.0	 	annotator4
163_savage_nn	4.0	 	annotator4
164_savage_nn	4.0	 	annotator4
132_savage_nn	4.0	 	annotator4
47_savage_nn	4.0	 	annotator4
165_savage_nn	4.0	 	annotator4
166_savage_nn	4.0	 	annotator4
137_savage_nn	4.0	 	annotator4
26_savage_nn	4.0	 	annotator4
167_savage_nn	4.0	 	annotator4
168_savage_nn	4.0	 	annotator4
169_savage_nn	4.0	 	annotator4
71_savage_nn	4.0	 	annotator4
44_savage_nn	4.0	 	annotator4
101_savage_nn	4.0	 	annotator4
170_savage_nn	4.0	 	annotator4
67_savage_nn	4.0	 	annotator4
18_savage_nn	4.0	 	annotator4
122_savage_nn	4.0	 	annotator4
30_savage_nn	4.0	 	annotator4
171_savage_nn	4.0	 	annotator4
172_savage_nn	4.0	 	annotator4
130_savage_nn	4.0	 	annotator4
24_savage_nn	4.0	 	annotator4
98_savage_nn	4.0	 	annotator4
25_savage_nn	4.0	 	annotator4
119_savage_nn	4.0	 	annotator4
76_savage_nn	4.0	 	annotator4
97_savage_nn	4.0	 	annotator4
173_savage_nn	4.0	 	annotator4
174_savage_nn	4.0	 	annotator4
100_savage_nn	4.0	 	annotator4
175_savage_nn	4.0	 	annotator4
66_savage_nn	4.0	 	annotator4
176_savage_nn	4.0	 	annotator4
46_savage_nn	4.0	 	annotator4
177_savage_nn	4.0	 	annotator4
178_savage_nn	4.0	 	annotator4
141_savage_nn	4.0	 	annotator4
179_savage_nn	3.0	 	annotator4
180_savage_nn	4.0	 	annotator4
115_savage_nn	4.0	 	annotator4
92_savage_nn	4.0	 	annotator4
146_savage_nn	4.0	 	annotator4
42_savage_nn	4.0	 	annotator4
65_savage_nn	-	 	annotator4
133_savage_nn	4.0	 	annotator4
32_savage_nn	4.0	 	annotator4
181_savage_nn	4.0	 	annotator4
182_savage_nn	4.0	 	annotator4
35_savage_nn	4.0	 	annotator4
87_savage_nn	4.0	 	annotator4
151_savage_nn	4.0	 	annotator4
150_savage_nn	4.0	 	annotator4
183_savage_nn	4.0	 	annotator4
29_savage_nn	4.0	 	annotator4
102_savage_nn	4.0	 	annotator4
184_savage_nn	4.0	 	annotator4
185_savage_nn	4.0	 	annotator4
123_savage_nn	4.0	 	annotator4
186_savage_nn	4.0	 	annotator4
187_savage_nn	4.0	 	annotator4
74_savage_nn	4.0	 	annotator4
188_savage_nn	4.0	 	annotator4
189_savage_nn	4.0	 	annotator4
190_savage_nn	-	 	annotator4
38_savage_nn	4.0	 	annotator4
154_savage_nn	4.0	 	annotator4
147_savage_nn	4.0	 	annotator4
99_savage_nn	4.0	 	annotator4
112_savage_nn	4.0	 	annotator4
135_savage_nn	4.0	 	annotator4
191_savage_nn	4.0	 	annotator4
20_savage_nn	4.0	 	annotator4
143_savage_nn	4.0	 	annotator4
33_savage_nn	4.0	 	annotator4
138_savage_nn	4.0	 	annotator4
192_savage_nn	4.0	 	annotator4
64_savage_nn	4.0	 	annotator4
193_savage_nn	4.0	 	annotator4
194_savage_nn	4.0	 	annotator4
127_savage_nn	4.0	 	annotator4
83_savage_nn	4.0	 	annotator4
195_savage_nn	4.0	 	annotator4
196_savage_nn	4.0	 	annotator0
44_savage_nn	3.0	 	annotator0
128_savage_nn	4.0	 	annotator0
172_savage_nn	4.0	 	annotator0
197_savage_nn	4.0	 	annotator0
115_savage_nn	3.0	Unsure	annotator0
198_savage_nn	4.0	 	annotator0
134_savage_nn	3.0	 	annotator0
96_savage_nn	3.0	 	annotator0
32_savage_nn	4.0	 	annotator0
69_savage_nn	4.0	 	annotator0
93_savage_nn	4.0	 	annotator0
23_savage_nn	3.0	 	annotator0
199_savage_nn	4.0	 	annotator0
144_savage_nn	3.0	 	annotator0
200_savage_nn	4.0	 	annotator0
201_savage_nn	3.0	 	annotator0
202_savage_nn	4.0	 	annotator0
68_savage_nn	4.0	 	annotator0
79_savage_nn	4.0	 	annotator0
203_savage_nn	4.0	 	annotator0
194_savage_nn	4.0	 	annotator0
80_savage_nn	4.0	 	annotator0
204_savage_nn	4.0	 	annotator0
123_savage_nn	3.0	 	annotator0
138_savage_nn	4.0	 	annotator0
86_savage_nn	4.0	 	annotator0
171_savage_nn	3.0	 	annotator0
112_savage_nn	3.0	 	annotator0
45_savage_nn	4.0	 	annotator0
142_savage_nn	3.0	 	annotator0
101_savage_nn	3.0	 	annotator0
174_savage_nn	4.0	 	annotator0
126_savage_nn	4.0	 	annotator0
33_savage_nn	4.0	 	annotator0
