dataID	context	indices_target_token	indices_target_sentence	lemma
121	This was probably the first Budapest between elite players, and it passed with flying colors. Rubinstein held the gambit pawn with 4.Bf4 and 7.Qd5 , but his neglect of kingside development was severely punished . 44.	193:202	94:212	severely.r
122	"Ibid.Â""On the 11th November, at Strone-Nevis, near Fort-William, Evan Macmillan, aged one hundred years. This veteran , the oldest pensioner in Great Britain , entered the army in 1758 , and was severely wounded at the battle of Quebec under General Wolfe , in consequence of which he became an out-pensioner of Chelsea Hospital , and continued so for the period of seventy-five years . He retained all his faculties, except his eyesight, to the last."	196:205	106:387	severely.r
123	9 No studies have yet been conducted upon a-synanthropic native avifauna. Perhaps the effect of West Nile Virus is sufficient to extinguish endemic birds already severely stressed by habitat losses . Picture 8.	162:171	74:199	severely.r
124	""" Despite weakness, Caitlin felt the anger spike through her body, presumably in response to Neville 's self-deprecation. She looked as severely as she could muster at Draco . "" Stop wasting energy."	136:145	122:175	severely.r
125	""" Patton was removed as governor and was given command of the 15th Army. A day before he was due to return to the United States Patton was severely injured in a road accident . Paralyzed from the neck down, George Patton died of an embolism on 21st December 1945."	139:148	73:176	severely.r
126	People who have more schooling have the ability to develop new technology and use technology to understand and solve some of these problems.Â Rigorous implementation and enforcement of environmental laws and regulations already on the books in China, an effort that will require greater funding. Use market tools to address environmental issues , such as eliminating subsidies for industries that severely harm the environment , like coal . Address lifestyle issues, such as household size and even divorce, which have an environmental impact.	398:407	297:441	severely.r
127	Wilbur Flies the Glider: A beautiful picture by Orville of Wilbur Wright piloting the Glider ( the immediate precursor to the Wright Flyer ) off of Hill #2 at Kitty Hawk. This picture was severely damaged in the flood of 1913 and has rarely been seen until now . Fully restored, it is a charming and elegant photograph in its own right.	188:197	171:262	severely.r
128	He loves to quote C.S. Lewis but you wo n't find him talking about how Lewis in one of his later writings clearly states that Jesus was wrong about his second coming. I was very disappointed when the author did not go into detail about how he regained his faith after having it severely undermined by his early studies in theology at university . Now that would have given us some real insight into his ' journey of faith '.	278:287	167:346	severely.r
129	Early studies in human embryonic stem cells suggest that they could be coached, though at the moment inefficiently to insulin secreting cells, and this work has gone a little more slowly than we would like. We do continue to support research on the differentiation of adult precursor cells into beta cells , but that 's a severely limited field in terms of how successful it has been . Progress to date does underscore the need for continued investment in research in this area, including the creation of an environment in the United States that encourages and supports scientific discovery.	322:331	207:385	severely.r
130	Institutional Investors Do Not Need The Alleged Benefits Of The Proposed Rule The proposed rule, with its Director-nominator percentage ownership requirement, limits its availability to Institutional Investors. Mutual Funds are so severely conflicted that they will not avail themselves of the alleged benefits of the proposed rule . Pension Funds have had and have the ability to seek BOD and Management accountability through inexpensive proxy contests, but, if the past is prologue, do not have the will to exercise their power.	231:240	211:333	severely.r
