instanceID	label	comment	annotator
0_tip_vb	1.0	 	annotator2
1_tip_vb	1.0	 	annotator2
2_tip_vb	1.0	 	annotator2
3_tip_vb	4.0	 	annotator2
4_tip_vb	2.0	 	annotator2
5_tip_vb	1.0	 	annotator2
6_tip_vb	2.0	 	annotator2
7_tip_vb	4.0	 	annotator2
8_tip_vb	4.0	 	annotator2
9_tip_vb	1.0	 	annotator2
10_tip_vb	3.0	 	annotator2
11_tip_vb	1.0	 	annotator2
12_tip_vb	1.0	 	annotator2
13_tip_vb	1.0	 	annotator2
14_tip_vb	1.0	 	annotator2
15_tip_vb	1.0	 	annotator2
16_tip_vb	1.0	 	annotator2
17_tip_vb	1.0	 	annotator2
18_tip_vb	4.0	 	annotator2
19_tip_vb	1.0	 	annotator2
20_tip_vb	1.0	 	annotator2
21_tip_vb	1.0	 	annotator2
22_tip_vb	2.0	 	annotator2
23_tip_vb	1.0	 	annotator2
24_tip_vb	1.0	 	annotator2
25_tip_vb	1.0	 	annotator2
26_tip_vb	1.0	 	annotator2
27_tip_vb	1.0	 	annotator2
28_tip_vb	1.0	 	annotator2
29_tip_vb	1.0	 	annotator2
30_tip_vb	1.0	 	annotator2
31_tip_vb	3.0	 	annotator2
32_tip_vb	1.0	 	annotator2
33_tip_vb	1.0	 	annotator2
34_tip_vb	1.0	 	annotator2
35_tip_vb	4.0	 	annotator2
36_tip_vb	1.0	 	annotator2
37_tip_vb	2.0	 	annotator2
38_tip_vb	1.0	 	annotator2
39_tip_vb	2.0	 	annotator2
40_tip_vb	1.0	 	annotator2
41_tip_vb	1.0	 	annotator2
42_tip_vb	3.0	 	annotator2
43_tip_vb	1.0	 	annotator2
44_tip_vb	4.0	 	annotator2
45_tip_vb	1.0	 	annotator2
46_tip_vb	4.0	 	annotator2
47_tip_vb	1.0	 	annotator2
48_tip_vb	1.0	 	annotator2
49_tip_vb	2.0	 	annotator2
50_tip_vb	1.0	 	annotator2
51_tip_vb	1.0	 	annotator2
52_tip_vb	1.0	 	annotator2
53_tip_vb	4.0	 	annotator2
54_tip_vb	1.0	 	annotator2
55_tip_vb	2.0	 	annotator2
56_tip_vb	4.0	 	annotator2
57_tip_vb	1.0	 	annotator2
58_tip_vb	1.0	 	annotator2
59_tip_vb	3.0	 	annotator2
60_tip_vb	1.0	 	annotator2
61_tip_vb	1.0	 	annotator2
62_tip_vb	1.0	 	annotator2
63_tip_vb	2.0	 	annotator2
64_tip_vb	1.0	 	annotator2
65_tip_vb	3.0	 	annotator2
66_tip_vb	2.0	 	annotator2
67_tip_vb	1.0	 	annotator2
68_tip_vb	1.0	 	annotator2
69_tip_vb	2.0	 	annotator2
70_tip_vb	4.0	 	annotator2
71_tip_vb	1.0	 	annotator2
72_tip_vb	1.0	 	annotator2
73_tip_vb	1.0	 	annotator2
74_tip_vb	1.0	 	annotator2
75_tip_vb	4.0	 	annotator2
76_tip_vb	1.0	 	annotator2
77_tip_vb	1.0	 	annotator2
78_tip_vb	1.0	 	annotator2
79_tip_vb	3.0	 	annotator2
80_tip_vb	1.0	 	annotator2
81_tip_vb	1.0	 	annotator2
82_tip_vb	1.0	 	annotator6
83_tip_vb	2.0	 	annotator6
84_tip_vb	4.0	 	annotator6
85_tip_vb	1.0	 	annotator6
86_tip_vb	2.0	 	annotator6
87_tip_vb	1.0	 	annotator6
88_tip_vb	1.0	 	annotator6
89_tip_vb	1.0	 	annotator6
90_tip_vb	3.0	 	annotator6
91_tip_vb	1.0	 	annotator6
92_tip_vb	4.0	 	annotator6
93_tip_vb	1.0	 	annotator6
94_tip_vb	1.0	 	annotator6
95_tip_vb	2.0	 	annotator6
10_tip_vb	3.0	 	annotator6
96_tip_vb	3.0	 	annotator6
97_tip_vb	1.0	 	annotator6
36_tip_vb	1.0	 	annotator6
98_tip_vb	1.0	 	annotator6
99_tip_vb	1.0	 	annotator6
100_tip_vb	1.0	 	annotator6
101_tip_vb	1.0	 	annotator6
102_tip_vb	1.0	 	annotator6
103_tip_vb	4.0	 	annotator6
104_tip_vb	1.0	 	annotator6
105_tip_vb	2.0	 	annotator6
106_tip_vb	1.0	 	annotator6
107_tip_vb	1.0	 	annotator6
108_tip_vb	1.0	 	annotator6
109_tip_vb	2.0	 	annotator6
110_tip_vb	1.0	 	annotator6
111_tip_vb	3.0	 	annotator6
112_tip_vb	2.0	 	annotator6
113_tip_vb	4.0	 	annotator6
114_tip_vb	3.0	 	annotator6
115_tip_vb	3.0	 	annotator6
116_tip_vb	2.0	 	annotator6
117_tip_vb	1.0	 	annotator6
118_tip_vb	1.0	 	annotator6
119_tip_vb	2.0	 	annotator6
120_tip_vb	1.0	 	annotator6
24_tip_vb	2.0	 	annotator6
121_tip_vb	1.0	 	annotator6
122_tip_vb	1.0	 	annotator6
57_tip_vb	1.0	 	annotator6
123_tip_vb	1.0	 	annotator6
124_tip_vb	3.0	 	annotator6
125_tip_vb	1.0	 	annotator6
126_tip_vb	3.0	 	annotator6
127_tip_vb	1.0	 	annotator6
128_tip_vb	4.0	 	annotator6
129_tip_vb	2.0	 	annotator6
130_tip_vb	2.0	 	annotator6
131_tip_vb	1.0	 	annotator6
132_tip_vb	2.0	 	annotator6
133_tip_vb	1.0	 	annotator6
67_tip_vb	3.0	 	annotator6
134_tip_vb	2.0	 	annotator6
135_tip_vb	2.0	 	annotator6
136_tip_vb	2.0	 	annotator6
137_tip_vb	4.0	 	annotator6
138_tip_vb	1.0	 	annotator6
4_tip_vb	3.0	 	annotator6
139_tip_vb	1.0	 	annotator6
140_tip_vb	4.0	 	annotator6
141_tip_vb	3.0	 	annotator6
142_tip_vb	2.0	 	annotator6
143_tip_vb	1.0	 	annotator6
144_tip_vb	1.0	 	annotator6
145_tip_vb	2.0	 	annotator6
146_tip_vb	1.0	 	annotator6
147_tip_vb	3.0	 	annotator6
148_tip_vb	1.0	 	annotator6
149_tip_vb	3.0	 	annotator6
150_tip_vb	1.0	 	annotator6
21_tip_vb	1.0	 	annotator6
151_tip_vb	1.0	 	annotator6
152_tip_vb	3.0	 	annotator6
153_tip_vb	4.0	 	annotator6
49_tip_vb	3.0	 	annotator6
154_tip_vb	2.0	 	annotator6
155_tip_vb	1.0	 	annotator6
156_tip_vb	1.0	 	annotator6
157_tip_vb	3.0	 	annotator6
158_tip_vb	1.0	 	annotator6
159_tip_vb	1.0	 	annotator6
160_tip_vb	2.0	 	annotator6
161_tip_vb	1.0	 	annotator6
162_tip_vb	1.0	 	annotator6
78_tip_vb	1.0	 	annotator6
163_tip_vb	1.0	 	annotator6
164_tip_vb	1.0	 	annotator6
165_tip_vb	3.0	 	annotator6
166_tip_vb	1.0	 	annotator6
167_tip_vb	1.0	 	annotator6
168_tip_vb	1.0	 	annotator6
169_tip_vb	2.0	 	annotator6
170_tip_vb	1.0	 	annotator6
171_tip_vb	2.0	 	annotator6
172_tip_vb	1.0	 	annotator6
173_tip_vb	2.0	 	annotator6
174_tip_vb	2.0	 	annotator6
175_tip_vb	3.0	 	annotator6
176_tip_vb	1.0	 	annotator6
177_tip_vb	3.0	 	annotator6
156_tip_vb	2.0	 	annotator5
178_tip_vb	3.0	 	annotator5
179_tip_vb	2.0	 	annotator5
64_tip_vb	2.0	 	annotator5
180_tip_vb	2.0	 	annotator5
181_tip_vb	1.0	 	annotator5
182_tip_vb	2.0	 	annotator5
183_tip_vb	2.0	 	annotator5
106_tip_vb	2.0	 	annotator5
71_tip_vb	2.0	 	annotator5
184_tip_vb	4.0	 	annotator5
185_tip_vb	2.0	 	annotator5
53_tip_vb	3.0	 	annotator5
186_tip_vb	3.0	 	annotator5
187_tip_vb	1.0	 	annotator5
188_tip_vb	2.0	 	annotator5
189_tip_vb	2.0	 	annotator5
190_tip_vb	2.0	 	annotator5
191_tip_vb	2.0	 	annotator5
192_tip_vb	2.0	 	annotator5
193_tip_vb	2.0	 	annotator5
194_tip_vb	2.0	 	annotator5
195_tip_vb	3.0	 	annotator5
196_tip_vb	3.0	 	annotator5
166_tip_vb	2.0	 	annotator5
41_tip_vb	4.0	 	annotator5
119_tip_vb	2.0	 	annotator5
197_tip_vb	3.0	 	annotator5
3_tip_vb	4.0	 	annotator5
198_tip_vb	2.0	 	annotator5
93_tip_vb	2.0	 	annotator5
199_tip_vb	3.0	 	annotator5
200_tip_vb	4.0	 	annotator5
201_tip_vb	2.0	 	annotator5
202_tip_vb	2.0	 	annotator5
203_tip_vb	4.0	 	annotator5
204_tip_vb	3.0	 	annotator5
205_tip_vb	3.0	 	annotator5
206_tip_vb	3.0	 	annotator5
207_tip_vb	3.0	 	annotator5
112_tip_vb	3.0	 	annotator5
208_tip_vb	2.0	 	annotator5
209_tip_vb	3.0	 	annotator5
210_tip_vb	2.0	 	annotator5
177_tip_vb	3.0	 	annotator5
211_tip_vb	2.0	 	annotator5
212_tip_vb	1.0	 	annotator5
213_tip_vb	3.0	 	annotator5
167_tip_vb	2.0	 	annotator5
159_tip_vb	2.0	 	annotator5
214_tip_vb	2.0	 	annotator5
122_tip_vb	3.0	 	annotator5
215_tip_vb	2.0	 	annotator5
216_tip_vb	3.0	 	annotator5
217_tip_vb	2.0	 	annotator5
218_tip_vb	4.0	 	annotator5
219_tip_vb	4.0	 	annotator5
220_tip_vb	4.0	 	annotator5
221_tip_vb	2.0	 	annotator5
222_tip_vb	3.0	 	annotator5
223_tip_vb	2.0	 	annotator5
79_tip_vb	4.0	 	annotator5
23_tip_vb	3.0	 	annotator5
