instanceID	label	comment	annotator
sense0,26120215_1988_12_20_01_113.tcf.xml-11-4	0	-	annotatorA
sense1,26120215_1988_12_20_01_113.tcf.xml-11-4	1	-	annotatorA
sense2,26120215_1988_12_20_01_113.tcf.xml-11-4	0	-	annotatorA
sense3,26120215_1988_12_20_01_113.tcf.xml-11-4	0	-	annotatorA
sense4,26120215_1988_12_20_01_113.tcf.xml-11-4	0	-	annotatorA
sense0,blumenbach_knochen_1807-4106-61	0	-	annotatorA
sense1,blumenbach_knochen_1807-4106-61	0	-	annotatorA
sense2,blumenbach_knochen_1807-4106-61	1	-	annotatorA
sense3,blumenbach_knochen_1807-4106-61	0	-	annotatorA
sense4,blumenbach_knochen_1807-4106-61	0	-	annotatorA
sense0,schroeder_logik01_1890-906-70	0	-	annotatorA
sense1,schroeder_logik01_1890-906-70	0	-	annotatorA
sense2,schroeder_logik01_1890-906-70	1	-	annotatorA
sense3,schroeder_logik01_1890-906-70	0	-	annotatorA
sense4,schroeder_logik01_1890-906-70	0	-	annotatorA
sense0,2532889X_1982-03-23_01_152.tcf.xml-37-11	0	-	annotatorA
sense1,2532889X_1982-03-23_01_152.tcf.xml-37-11	1	-	annotatorA
sense2,2532889X_1982-03-23_01_152.tcf.xml-37-11	0	-	annotatorA
sense3,2532889X_1982-03-23_01_152.tcf.xml-37-11	0	-	annotatorA
sense4,2532889X_1982-03-23_01_152.tcf.xml-37-11	0	-	annotatorA
sense0,2532889X_1961-02-17_01_046.tcf.xml-35-11	0	-	annotatorA
sense1,2532889X_1961-02-17_01_046.tcf.xml-35-11	0	-	annotatorA
sense2,2532889X_1961-02-17_01_046.tcf.xml-35-11	0	-	annotatorA
sense3,2532889X_1961-02-17_01_046.tcf.xml-35-11	0	-	annotatorA
sense4,2532889X_1961-02-17_01_046.tcf.xml-35-11	1	-	annotatorA
sense0,2532889X_1981-05-02_01_137.tcf.xml-113-29	0	-	annotatorA
sense1,2532889X_1981-05-02_01_137.tcf.xml-113-29	1	-	annotatorA
sense2,2532889X_1981-05-02_01_137.tcf.xml-113-29	0	-	annotatorA
sense3,2532889X_1981-05-02_01_137.tcf.xml-113-29	0	-	annotatorA
sense4,2532889X_1981-05-02_01_137.tcf.xml-113-29	0	-	annotatorA
sense0,26120215_1955_05_26_01_040.tcf.xml-48-36	-	unklar	annotatorA
sense1,26120215_1955_05_26_01_040.tcf.xml-48-36	-	unklar	annotatorA
sense2,26120215_1955_05_26_01_040.tcf.xml-48-36	-	unklar	annotatorA
sense3,26120215_1955_05_26_01_040.tcf.xml-48-36	-	unklar	annotatorA
sense4,26120215_1955_05_26_01_040.tcf.xml-48-36	-	unklar	annotatorA
sense0,2532889X_1954-09-12_01_130.tcf.xml-15-16	0	-	annotatorA
sense1,2532889X_1954-09-12_01_130.tcf.xml-15-16	0	-	annotatorA
sense2,2532889X_1954-09-12_01_130.tcf.xml-15-16	1	-	annotatorA
sense3,2532889X_1954-09-12_01_130.tcf.xml-15-16	0	-	annotatorA
sense4,2532889X_1954-09-12_01_130.tcf.xml-15-16	0	-	annotatorA
sense0,2532889X_1988-09-29_01_066.tcf.xml-14-10	0	-	annotatorA
sense1,2532889X_1988-09-29_01_066.tcf.xml-14-10	0	-	annotatorA
sense2,2532889X_1988-09-29_01_066.tcf.xml-14-10	0	-	annotatorA
sense3,2532889X_1988-09-29_01_066.tcf.xml-14-10	0	-	annotatorA
sense4,2532889X_1988-09-29_01_066.tcf.xml-14-10	1	-	annotatorA
sense0,hug_familie_1896-6016-3	0	-	annotatorA
sense1,hug_familie_1896-6016-3	0	-	annotatorA
sense2,hug_familie_1896-6016-3	1	-	annotatorA
sense3,hug_familie_1896-6016-3	0	-	annotatorA
sense4,hug_familie_1896-6016-3	0	-	annotatorA
sense0,wundt_medizinische_1867-3076-13	0	-	annotatorA
sense1,wundt_medizinische_1867-3076-13	0	-	annotatorA
sense2,wundt_medizinische_1867-3076-13	1	-	annotatorA
sense3,wundt_medizinische_1867-3076-13	0	-	annotatorA
sense4,wundt_medizinische_1867-3076-13	0	-	annotatorA
sense0,schubert_naturwissenschaft_1808-1556-30	0	-	annotatorA
sense1,schubert_naturwissenschaft_1808-1556-30	0	-	annotatorA
sense2,schubert_naturwissenschaft_1808-1556-30	1	-	annotatorA
sense3,schubert_naturwissenschaft_1808-1556-30	0	-	annotatorA
sense4,schubert_naturwissenschaft_1808-1556-30	0	-	annotatorA
sense0,eckstein_dudler_1893-128-6	0	-	annotatorA
sense1,eckstein_dudler_1893-128-6	0	-	annotatorA
sense2,eckstein_dudler_1893-128-6	0	-	annotatorA
sense3,eckstein_dudler_1893-128-6	1	-	annotatorA
sense4,eckstein_dudler_1893-128-6	0	-	annotatorA
sense0,26120215_1960_04_15_01_377.tcf.xml-13-12	0	-	annotatorA
sense1,26120215_1960_04_15_01_377.tcf.xml-13-12	0	-	annotatorA
sense2,26120215_1960_04_15_01_377.tcf.xml-13-12	0	-	annotatorA
sense3,26120215_1960_04_15_01_377.tcf.xml-13-12	1	-	annotatorA
sense4,26120215_1960_04_15_01_377.tcf.xml-13-12	0	-	annotatorA
sense0,26120215_1954_01_26_01_178.tcf.xml-21-9	0	-	annotatorA
sense1,26120215_1954_01_26_01_178.tcf.xml-21-9	0	-	annotatorA
sense2,26120215_1954_01_26_01_178.tcf.xml-21-9	1	-	annotatorA
sense3,26120215_1954_01_26_01_178.tcf.xml-21-9	0	-	annotatorA
sense4,26120215_1954_01_26_01_178.tcf.xml-21-9	0	-	annotatorA
sense0,blumenbach_knochen_1807-2733-21	0	-	annotatorA
sense1,blumenbach_knochen_1807-2733-21	0	-	annotatorA
