instanceID	dataIDs	label_set	non_label
sense0-moltke_zustaende_1841-3780-9	sense0,moltke_zustaende_1841-3780-9	0,1	-
sense1-moltke_zustaende_1841-3780-9	sense1,moltke_zustaende_1841-3780-9	0,1	-
sense2-moltke_zustaende_1841-3780-9	sense2,moltke_zustaende_1841-3780-9	0,1	-
sense3-moltke_zustaende_1841-3780-9	sense3,moltke_zustaende_1841-3780-9	0,1	-
sense0-26120215_1987_12_31_01_267.tcf.xml-6-11	sense0,26120215_1987_12_31_01_267.tcf.xml-6-11	0,1	-
sense1-26120215_1987_12_31_01_267.tcf.xml-6-11	sense1,26120215_1987_12_31_01_267.tcf.xml-6-11	0,1	-
sense2-26120215_1987_12_31_01_267.tcf.xml-6-11	sense2,26120215_1987_12_31_01_267.tcf.xml-6-11	0,1	-
sense3-26120215_1987_12_31_01_267.tcf.xml-6-11	sense3,26120215_1987_12_31_01_267.tcf.xml-6-11	0,1	-
sense0-blumenbach_naturgeschichte_1825-5793-5	sense0,blumenbach_naturgeschichte_1825-5793-5	0,1	-
sense1-blumenbach_naturgeschichte_1825-5793-5	sense1,blumenbach_naturgeschichte_1825-5793-5	0,1	-
sense2-blumenbach_naturgeschichte_1825-5793-5	sense2,blumenbach_naturgeschichte_1825-5793-5	0,1	-
sense3-blumenbach_naturgeschichte_1825-5793-5	sense3,blumenbach_naturgeschichte_1825-5793-5	0,1	-
sense0-26120215_1986_07_31_01_078.tcf.xml-8-3	sense0,26120215_1986_07_31_01_078.tcf.xml-8-3	0,1	-
sense1-26120215_1986_07_31_01_078.tcf.xml-8-3	sense1,26120215_1986_07_31_01_078.tcf.xml-8-3	0,1	-
sense2-26120215_1986_07_31_01_078.tcf.xml-8-3	sense2,26120215_1986_07_31_01_078.tcf.xml-8-3	0,1	-
sense3-26120215_1986_07_31_01_078.tcf.xml-8-3	sense3,26120215_1986_07_31_01_078.tcf.xml-8-3	0,1	-
sense0-brehm_thierleben06_1869-9905-3	sense0,brehm_thierleben06_1869-9905-3	0,1	-
sense1-brehm_thierleben06_1869-9905-3	sense1,brehm_thierleben06_1869-9905-3	0,1	-
sense2-brehm_thierleben06_1869-9905-3	sense2,brehm_thierleben06_1869-9905-3	0,1	-
sense3-brehm_thierleben06_1869-9905-3	sense3,brehm_thierleben06_1869-9905-3	0,1	-
sense0-2532889X_1990-05-29_01_086.tcf.xml-10-3	sense0,2532889X_1990-05-29_01_086.tcf.xml-10-3	0,1	-
sense1-2532889X_1990-05-29_01_086.tcf.xml-10-3	sense1,2532889X_1990-05-29_01_086.tcf.xml-10-3	0,1	-
sense2-2532889X_1990-05-29_01_086.tcf.xml-10-3	sense2,2532889X_1990-05-29_01_086.tcf.xml-10-3	0,1	-
