instanceID	label	comment	annotator
0_twist_nn	4.0	 	annotator2
1_twist_nn	1.0	 	annotator2
2_twist_nn	3.0	 	annotator2
3_twist_nn	1.0	 	annotator2
4_twist_nn	4.0	 	annotator2
5_twist_nn	1.0	 	annotator2
6_twist_nn	4.0	 	annotator2
7_twist_nn	3.0	 	annotator2
8_twist_nn	3.0	 	annotator2
9_twist_nn	1.0	 	annotator2
10_twist_nn	2.0	 	annotator2
11_twist_nn	2.0	 	annotator2
12_twist_nn	2.0	 	annotator2
13_twist_nn	-	??	annotator2
14_twist_nn	2.0	 	annotator2
15_twist_nn	2.0	 	annotator2
16_twist_nn	-	 	annotator2
17_twist_nn	3.0	 	annotator2
18_twist_nn	2.0	 	annotator2
19_twist_nn	2.0	 	annotator2
20_twist_nn	2.0	 	annotator2
21_twist_nn	2.0	 	annotator2
22_twist_nn	2.0	 	annotator2
23_twist_nn	1.0	 	annotator2
24_twist_nn	3.0	 	annotator2
25_twist_nn	4.0	 	annotator2
26_twist_nn	2.0	 	annotator2
27_twist_nn	2.0	 	annotator2
28_twist_nn	2.0	 	annotator2
29_twist_nn	2.0	 	annotator2
30_twist_nn	1.0	 	annotator2
31_twist_nn	3.0	 	annotator2
32_twist_nn	1.0	 	annotator2
33_twist_nn	1.0	 	annotator2
34_twist_nn	1.0	 	annotator2
35_twist_nn	1.0	 	annotator2
36_twist_nn	3.0	 	annotator2
37_twist_nn	1.0	 	annotator2
38_twist_nn	2.0	 	annotator2
39_twist_nn	1.0	 	annotator2
40_twist_nn	4.0	 	annotator2
41_twist_nn	2.0	 	annotator2
42_twist_nn	1.0	 	annotator2
43_twist_nn	2.0	 	annotator2
44_twist_nn	3.0	 	annotator2
45_twist_nn	2.0	 	annotator2
46_twist_nn	1.0	 	annotator2
47_twist_nn	2.0	 	annotator2
48_twist_nn	4.0	 	annotator2
49_twist_nn	2.0	 	annotator2
50_twist_nn	4.0	 	annotator2
51_twist_nn	2.0	 	annotator2
52_twist_nn	1.0	 	annotator2
53_twist_nn	1.0	 	annotator2
54_twist_nn	2.0	 	annotator2
55_twist_nn	3.0	 	annotator2
56_twist_nn	1.0	 	annotator2
57_twist_nn	4.0	 	annotator2
58_twist_nn	2.0	 	annotator2
59_twist_nn	1.0	 	annotator2
60_twist_nn	3.0	 	annotator2
61_twist_nn	4.0	 	annotator2
62_twist_nn	3.0	 	annotator2
63_twist_nn	2.0	 	annotator2
64_twist_nn	2.0	 	annotator2
65_twist_nn	3.0	 	annotator2
66_twist_nn	1.0	 	annotator2
67_twist_nn	2.0	 	annotator2
68_twist_nn	1.0	 	annotator2
69_twist_nn	4.0	 	annotator2
70_twist_nn	1.0	 	annotator2
71_twist_nn	3.0	 	annotator2
72_twist_nn	2.0	 	annotator2
73_twist_nn	1.0	 	annotator2
74_twist_nn	1.0	 	annotator2
75_twist_nn	1.0	 	annotator2
76_twist_nn	1.0	 	annotator2
77_twist_nn	1.0	 	annotator2
78_twist_nn	2.0	 	annotator2
79_twist_nn	2.0	 	annotator2
80_twist_nn	-	S2	annotator2
81_twist_nn	2.0	 	annotator2
82_twist_nn	1.0	 	annotator2
83_twist_nn	1.0	 	annotator2
84_twist_nn	1.0	 	annotator2
85_twist_nn	3.0	 	annotator2
86_twist_nn	1.0	 	annotator2
87_twist_nn	-	what?	annotator2
88_twist_nn	4.0	 	annotator2
89_twist_nn	2.0	 	annotator2
90_twist_nn	2.0	 	annotator2
91_twist_nn	2.0	 	annotator2
92_twist_nn	2.0	 	annotator2
93_twist_nn	2.0	 	annotator2
94_twist_nn	2.0	 	annotator2
95_twist_nn	3.0	 	annotator2
96_twist_nn	4.0	 	annotator2
97_twist_nn	3.0	 	annotator2
98_twist_nn	2.0	 	annotator2
99_twist_nn	2.0	 	annotator2
100_twist_nn	2.0	 	annotator2
101_twist_nn	2.0	 	annotator6
102_twist_nn	2.0	 	annotator6
103_twist_nn	2.0	 	annotator6
104_twist_nn	2.0	 	annotator6
61_twist_nn	4.0	 	annotator6
105_twist_nn	2.0	 	annotator6
106_twist_nn	1.0	 	annotator6
107_twist_nn	2.0	 	annotator6
108_twist_nn	1.0	 	annotator6
109_twist_nn	2.0	 	annotator6
110_twist_nn	2.0	 	annotator6
68_twist_nn	2.0	 	annotator6
111_twist_nn	3.0	 	annotator6
112_twist_nn	2.0	 	annotator6
113_twist_nn	1.0	 	annotator6
114_twist_nn	2.0	 	annotator6
115_twist_nn	2.0	 	annotator6
116_twist_nn	2.0	 	annotator6
117_twist_nn	2.0	 	annotator6
118_twist_nn	2.0	 	annotator6
119_twist_nn	2.0	 	annotator6
120_twist_nn	2.0	 	annotator6
121_twist_nn	2.0	 	annotator6
122_twist_nn	2.0	 	annotator6
123_twist_nn	2.0	 	annotator6
18_twist_nn	2.0	 	annotator6
124_twist_nn	4.0	 	annotator6
125_twist_nn	2.0	 	annotator6
126_twist_nn	2.0	 	annotator6
99_twist_nn	2.0	 	annotator6
127_twist_nn	2.0	 	annotator6
128_twist_nn	2.0	 	annotator6
129_twist_nn	2.0	 	annotator6
130_twist_nn	3.0	 	annotator6
131_twist_nn	2.0	 	annotator6
132_twist_nn	3.0	 	annotator6
133_twist_nn	2.0	 	annotator6
134_twist_nn	3.0	 	annotator6
46_twist_nn	2.0	 	annotator6
135_twist_nn	4.0	 	annotator6
136_twist_nn	4.0	 	annotator6
137_twist_nn	4.0	 	annotator6
138_twist_nn	2.0	 	annotator6
139_twist_nn	2.0	 	annotator6
140_twist_nn	2.0	 	annotator6
