dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1952-10-14_01_100.tcf.xml-139-10	Die Konservativen und öle fechten Labour-Führer haben jedoch den Bogen Überspannt; jetzt steigert sich durch den Verlust def nationalen Unabhängigkeit Großbritanniens die Unzufriedenheit über die amerikanische Bevormundung, verstärkt sich die Einsicht, daß das einzige Ergebnis alles dessen zunehmende Arbeitslosigkeit, sinkender Reallohn und Verlust der Außenhandelspositionen auf den Mark ten der kapitalistischen Welt Ist, die Infolge des schnellen Aufstiegs der vom amerikanischen Kapital geförderten westdeutschen und japanischen Konkurrenz immer welter schrumpfen.	71:81	0:570	überspannen
2532889X_1961-04-10_01_051.tcf.xml-4-2	"Der Handlungsbogen überspannt vier Jahrzehnte, geht vom Ausbruch des ersten Weltkrieges bis in unsere Zeit doch er verläuft immer an der „gleichen Strecke"", am Arbeitsplatz und im kargen Milieu des Bahnwärters Paul der auf der Suche nach dem Glück sein Leben fast verwirkt ehe er im späten Alter begreift"	19:29	0:304	überspannen
2532889X_1964-11-23_01_007.tcf.xml-3-10	Die Brücke, die Insgesamt 4,8 Kilometer lang ist, überspannt in ihrem Mittelteil zwischen zwei Pfeilern von je 211 Meter Höhe eine lichte weite von 1300 Metern und gestattet selbst den größten Seeschiffen, ungehindert in den Hafen einzulaufen.	50:60	0:243	überspannen
2532889X_1965-09-11_01_085.tcf.xml-16-8	"mit seinen supernationalistischen Ambitionen den Bogen des Zumutbaren überspannt?"""	70:80	0:82	überspannen
2532889X_1968-05-03_01_252.tcf.xml-6-9	Sie werden u. a. eine Saaleschleuse und einen Flußarm überspannen.	54:65	0:66	überspannen
2532889X_1968-06-17_01_062.tcf.xml-8-6	Rote Seidentücher, die ganze Straßenbreite überspannend, künden vom kleinen Trompeter.	43:55	0:86	überspannen
2532889X_1975-10-22_01_155.tcf.xml-2-23	• Mit der Fertigstellung der ersten 143 Meter, langen Brükkenhälfte, die in Höhe des Fern-und S-Bahnhofs Berlin-Lichtenberg das Bahngelände überspannt, ist die erste Etappe des größten. Verkehrsbauvorhabens der Hauptstadt erfolgreich abgeschlossen.	140:150	0:248	überspannen
2532889X_1975-11-24_01_038.tcf.xml-2-22	Eine 460 Meter lange Brücke, die das künftige neue Flußbett der Mulde bei Pouch im Kreis Bitterfeld in 22 Meter Höhe überspannt, wurde nach nur sechsmonatiger Bauzeit am Wochenende für den Verkehr freigegeben.	117:127	0:209	überspannen
2532889X_1978-10-04_01_044.tcf.xml-3-1	Wimpelketten überspannten die Straßen, die Häuser hatten Fahnenschmuck angelegt: das Schwarz-Rot-Gold mat Hammer, Zirkel und Ährenkranz, die rote Föhne der Arbeiterklasse oder das Rot-.Weiß-Schwarz der Syrischen Arabischen Republik.	13:25	0:232	überspannen
2532889X_1980-05-10_01_109.tcf.xml-5-7	Die Kadin-Brücke wurde 1470 fertiggestellt, sie überspannt auf einer Länge von 150 Metern mit ihren fünf Bögen die Struma in der Nähe von Kjustendil.	48:58	0:149	überspannen
