instanceID	label	comment	annotator
0_prop_nn	1.0	 	annotator2
1_prop_nn	3.0	 	annotator2
2_prop_nn	1.0	 	annotator2
3_prop_nn	1.0	 	annotator2
4_prop_nn	3.0	 	annotator2
5_prop_nn	2.0	 	annotator2
6_prop_nn	1.0	 	annotator2
7_prop_nn	1.0	 	annotator2
8_prop_nn	4.0	 	annotator2
9_prop_nn	4.0	 	annotator2
10_prop_nn	1.0	 	annotator2
11_prop_nn	3.0	 	annotator2
12_prop_nn	1.0	 	annotator2
13_prop_nn	-	not sure about S1	annotator2
14_prop_nn	-	not sure about S1	annotator2
15_prop_nn	-	not sure about S1	annotator2
16_prop_nn	1.0	 	annotator2
17_prop_nn	3.0	 	annotator2
18_prop_nn	-	 	annotator2
19_prop_nn	4.0	 	annotator2
20_prop_nn	1.0	 	annotator2
21_prop_nn	3.0	 	annotator2
22_prop_nn	3.0	 	annotator2
23_prop_nn	4.0	 	annotator2
24_prop_nn	-	 	annotator2
25_prop_nn	4.0	 	annotator2
26_prop_nn	1.0	 	annotator2
27_prop_nn	2.0	 	annotator2
28_prop_nn	1.0	 	annotator2
29_prop_nn	4.0	 	annotator2
30_prop_nn	-	 	annotator2
31_prop_nn	1.0	 	annotator2
32_prop_nn	3.0	 	annotator2
33_prop_nn	4.0	 	annotator2
34_prop_nn	2.0	 	annotator2
35_prop_nn	1.0	 	annotator2
36_prop_nn	1.0	 	annotator2
37_prop_nn	1.0	 	annotator2
38_prop_nn	-	 	annotator2
39_prop_nn	1.0	 	annotator2
40_prop_nn	4.0	 	annotator2
41_prop_nn	4.0	 	annotator2
42_prop_nn	1.0	 	annotator2
43_prop_nn	3.0	 	annotator2
44_prop_nn	-	 	annotator2
45_prop_nn	-	 	annotator2
46_prop_nn	1.0	 	annotator2
47_prop_nn	4.0	 	annotator2
48_prop_nn	4.0	 	annotator2
49_prop_nn	3.0	 	annotator2
50_prop_nn	-	 	annotator2
51_prop_nn	1.0	 	annotator2
52_prop_nn	1.0	 	annotator2
53_prop_nn	1.0	 	annotator2
54_prop_nn	1.0	 	annotator2
55_prop_nn	1.0	 	annotator2
56_prop_nn	1.0	 	annotator2
57_prop_nn	4.0	 	annotator2
58_prop_nn	1.0	 	annotator2
59_prop_nn	-	 	annotator2
60_prop_nn	1.0	 	annotator2
61_prop_nn	1.0	 	annotator2
62_prop_nn	3.0	 	annotator2
63_prop_nn	1.0	 	annotator2
64_prop_nn	3.0	 	annotator2
65_prop_nn	1.0	 	annotator2
66_prop_nn	4.0	 	annotator2
67_prop_nn	4.0	 	annotator2
68_prop_nn	3.0	 	annotator2
69_prop_nn	1.0	 	annotator6
70_prop_nn	2.0	 	annotator6
71_prop_nn	4.0	 	annotator6
72_prop_nn	2.0	 	annotator6
73_prop_nn	2.0	 	annotator6
59_prop_nn	2.0	 	annotator6
74_prop_nn	4.0	 	annotator6
75_prop_nn	3.0	 	annotator6
76_prop_nn	1.0	 	annotator6
77_prop_nn	3.0	 	annotator6
78_prop_nn	4.0	 	annotator6
79_prop_nn	1.0	 	annotator6
80_prop_nn	3.0	 	annotator6
81_prop_nn	2.0	 	annotator6
82_prop_nn	3.0	 	annotator6
83_prop_nn	1.0	 	annotator6
84_prop_nn	4.0	 	annotator6
85_prop_nn	1.0	 	annotator6
86_prop_nn	2.0	 	annotator6
11_prop_nn	1.0	 	annotator6
87_prop_nn	3.0	 	annotator6
88_prop_nn	1.0	 	annotator6
89_prop_nn	4.0	 	annotator6
90_prop_nn	3.0	 	annotator6
91_prop_nn	4.0	 	annotator6
92_prop_nn	1.0	 	annotator6
93_prop_nn	3.0	 	annotator6
94_prop_nn	3.0	 	annotator6
95_prop_nn	1.0	 	annotator6
48_prop_nn	4.0	 	annotator6
96_prop_nn	1.0	 	annotator6
97_prop_nn	2.0	 	annotator6
98_prop_nn	4.0	 	annotator6
99_prop_nn	1.0	 	annotator6
100_prop_nn	1.0	 	annotator6
8_prop_nn	4.0	 	annotator6
101_prop_nn	1.0	 	annotator6
102_prop_nn	1.0	 	annotator6
5_prop_nn	3.0	 	annotator6
103_prop_nn	1.0	 	annotator6
104_prop_nn	4.0	 	annotator6
105_prop_nn	3.0	 	annotator6
106_prop_nn	4.0	 	annotator6
107_prop_nn	4.0	 	annotator6
108_prop_nn	2.0	 	annotator6
109_prop_nn	1.0	 	annotator6
110_prop_nn	2.0	 	annotator6
111_prop_nn	4.0	 	annotator6
112_prop_nn	1.0	 	annotator6
35_prop_nn	1.0	 	annotator6
113_prop_nn	2.0	 	annotator6
114_prop_nn	4.0	 	annotator6
115_prop_nn	1.0	 	annotator6
116_prop_nn	1.0	 	annotator6
117_prop_nn	4.0	 	annotator6
118_prop_nn	3.0	 	annotator6
119_prop_nn	1.0	 	annotator6
120_prop_nn	1.0	 	annotator6
121_prop_nn	4.0	 	annotator6
122_prop_nn	4.0	 	annotator6
123_prop_nn	2.0	 	annotator6
124_prop_nn	1.0	 	annotator6
125_prop_nn	1.0	 	annotator6
126_prop_nn	4.0	 	annotator6
127_prop_nn	2.0	 	annotator6
128_prop_nn	1.0	 	annotator6
