instanceID	label	comment	annotator
121	harshly	-	C
122	badly	-	C
123	extremely	-	C
124	harshly	-	C
125	badly	-	C
126	badly	-	C
127	badly	-	C
128	seriously	-	C
129	extremely	-	C
130	seriously	-	C
121	serious	-	A
122	brutal	-	A
123	very	-	A
124	serious	-	A
125	badly	-	A
126	badly	-	A
127	badly	-	A
128	complete	-	A
129	incredibly	-	A
130	serious	-	A
121	harshly	-	F
122	badly	-	F
123	badly	-	F
124	harshly	-	F
125	badly	-	F
126	badly	-	F
127	badly	-	F
128	badly	-	F
129	seriously	-	F
130	badly	-	F
121	sternly	-	G
122	badly	-	G
123	badly	-	G
124	sternly	-	G
125	badly	-	G
126	badly	-	G
127	badly	-	G
128	badly	-	G
129	acutely	-	G
130	badly	-	G
121	badly	-	D
122	awfully	-	D
123	massively	-	D
124	harshly	-	D
125	seriously	-	D
126	badly	-	D
127	badly	-	D
128	hugely	-	D
129	drastically	-	D
130	hugely	-	D
121	sternly	-	H
122	seriously	-	H
123	extremely	-	H
124	strictly	-	H
125	seriously	-	H
126	badly	-	H
127	badly	-	H
128	gravely	-	H
129	significantly	-	H
130	significantly	-	H
121	gravely	-	I
122	critical	-	I
123	badly	-	I
124	strong	-	I
125	badly	-	I
126	grave	-	I
127	badly	-	I
128	badly	-	I
129	very	-	I
130	badly	-	I
121	gravely	-	J
122	gravely	-	J
123	seriously	-	J
124	hostile	-	J
125	gravely	-	J
126	seriously	-	J
127	seriously	-	J
128	seriously	-	J
129	seriously	-	J
130	seriously	-	J
