instanceID	label	comment	annotator
451	novel	-	C
452	subsequent	-	C
453	fresh	-	C
454	additional	-	C
455	additional	-	C
456	recent	-	C
457	replacement	-	C
458	additional	-	C
459	next	-	C
460	different	-	C
451	different	-	A
452	fresh	-	A
453	novel	-	A
454	fresh	-	A
455	innovative	-	A
456	original	-	A
457	latest	-	A
458	another	-	A
459	latest	-	A
460	additional	-	A
451	novel	-	F
452	further	-	F
453	fresh	-	F
454	fresh	-	F
455	novel	-	F
456	novel	-	F
457	recently acquired	-	F
458	fresh	-	F
459	replacement	-	F
460	fresh	-	F
451	novel	-	G
452	fresh	-	G
453	fresh	-	G
454	additional	-	G
455	innovative	-	G
456	innovative	-	G
457	different	-	G
458	fresh	-	G
459	modern	-	G
460	modern	-	G
451	original	-	D
452	newly started	-	D
453	modern	-	D
454	brand new	-	D
455	original	-	D
456	upcoming	-	D
457	young	-	D
458	current	-	D
459	newly appointed	-	D
460	newly appointed	-	D
451	recent	-	H
452	fresh	-	H
453	innovative	-	H
454	extra	-	H
455	original	-	H
456	original	-	H
457	recent	-	H
458	fresh	-	H
459	recent	-	H
460	contemporary	-	H
451	recent	-	I
452	subsequent	-	I
453	unused	-	I
454	fresh	-	I
455	original	-	I
456	fresh	-	I
457	current	-	I
458	fresh	-	I
459	next	-	I
460	other	-	I
451	innovative	-	J
452	fresh	-	J
453	fresh	-	J
454	fresh	-	J
455	innovative	-	J
456	innovative	-	J
457	different	-	J
458	fresh	-	J
459	next	-	J
460	further	-	J
