instanceID	label	comment	annotator
sense0,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense1,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense2,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense3,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense4,2532889X_1948-03-25_01_064.tcf.xml-33-25	1	-	annotatorA
sense5,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense6,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense7,2532889X_1948-03-25_01_064.tcf.xml-33-25	0	-	annotatorA
sense0,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense1,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense2,vogt_briefe02_1851-5243-10	1	-	annotatorA
sense3,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense4,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense5,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense6,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense7,vogt_briefe02_1851-5243-10	0	-	annotatorA
sense0,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense1,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense2,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense3,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense4,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense5,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense6,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense7,26120215_1965_01_28_01_054.tcf.xml-9-13	-	Verb “schmieren”	annotatorA
sense0,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense1,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense2,vogt_briefe02_1851-3388-33	1	-	annotatorA
sense3,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense4,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense5,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense6,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense7,vogt_briefe02_1851-3388-33	0	-	annotatorA
sense0,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense1,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense2,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense3,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense4,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense5,nn_maehrisches42_1886-36-23	1	-	annotatorA
sense6,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense7,nn_maehrisches42_1886-36-23	0	-	annotatorA
sense0,gerstner_mechanik01_1831-10633-26	1	-	annotatorA
sense1,gerstner_mechanik01_1831-10633-26	0	-	annotatorA
sense2,gerstner_mechanik01_1831-10633-26	0	-	annotatorA
sense3,gerstner_mechanik01_1831-10633-26	0	-	annotatorA
sense4,gerstner_mechanik01_1831-10633-26	0	-	annotatorA
