senseID	definition	lemma
lead%1:04:00::	the playing of a card to start a trick in bridge	lead.n
lead%1:04:01::	a position of leadership (especially in the phrase `take the lead')	lead.n
lead%1:06:00::	mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil	lead.n
lead%1:06:01::	a jumper that consists of a short piece of wire	lead.n
lead%1:06:02::	thin strip of metal used to separate lines of type in printing	lead.n
lead%1:06:03::	restraint consisting of a rope (or light chain) used to restrain an animal	lead.n
lead%1:07:01::	the timing of ignition relative to the position of the piston in an internal-combustion engine	lead.n
lead%1:07:02::	an advantage held by a competitor in a race	lead.n
lead%1:09:00::	evidence pointing to a possible solution	lead.n
lead%1:10:00::	a news story of major importance	lead.n
lead%1:10:01::	the introductory section of a story	lead.n
lead%1:10:02::	an indication of potential opportunity	lead.n
lead%1:15:00::	(baseball) the position taken by a base runner preparing to advance to the next base	lead.n
lead%1:18:00::	an actor who plays a principal role	lead.n
lead%1:23:00::	(sports) the score by which a team or individual is winning	lead.n
lead%1:25:00::	the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)	lead.n
lead%1:27:00::	a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey	lead.n
