instanceID	label	comment	annotator
1	able	-	C
2	lighter	-	C
3	shining	-	C
4	clever	-	C
5	clever	-	C
6	gifted	-	C
7	optimistic	-	C
8	vibrant	-	C
9	shiny	-	C
10	clever	-	C
1	intelligent	-	A
2	lighter	-	A
3	glowing	-	A
4	intelligent	-	A
5	intelligent	-	A
6	talented	-	A
7	hopeful	-	A
8	dazzling	-	A
9	lit	-	A
10	brilliant	-	A
1	clever	-	F
2	luminous	-	F
3	colourful	-	F
4	clever	-	F
5	clever	-	F
6	gifted	-	F
7	luminous	-	F
8	shine	-	F
9	happy	-	F
10	clever	-	F
1	clever	-	G
2	lighter	-	G
3	light	-	G
4	clever	-	G
5	clever	-	G
6	clever	-	G
7	optimistic	-	G
8	dazzling	-	G
9	dazzling	-	G
10	clever	-	G
1	clever	-	D
2	more colourful	-	D
3	vivid	-	D
4	smart	-	D
5	most promising	-	D
6	talented	-	D
7	sharp	-	D
8	vivid	-	D
9	sparkly	-	D
10	clever	-	D
1	intelligent	-	H
2	light	-	H
3	colourful	-	H
4	intelligent	-	H
5	intelligent	-	H
6	intelligent	-	H
7	good	-	H
8	vivid	-	H
9	sparkling	-	H
10	good	-	H
1	intelligent	-	I
2	light	-	I
3	colourful	-	I
4	intelligent	-	I
5	smart	-	I
6	smart	-	I
7	good	-	I
8	clear	-	I
9	brilliant	-	I
10	good	-	I
1	promising	-	J
2	light	-	J
3	healthy	-	J
4	sharp	-	J
5	sharp	-	J
6	promising	-	J
7	positive	-	J
8	intensely	-	J
9	glowing	-	J
10	novel	-	J
