instanceID	dataIDs	label_set	non_label
sense0-26120215_1956_02_29_01_004.tcf.xml-18-6	sense0,26120215_1956_02_29_01_004.tcf.xml-18-6	0,1	-
sense1-26120215_1956_02_29_01_004.tcf.xml-18-6	sense1,26120215_1956_02_29_01_004.tcf.xml-18-6	0,1	-
sense2-26120215_1956_02_29_01_004.tcf.xml-18-6	sense2,26120215_1956_02_29_01_004.tcf.xml-18-6	0,1	-
sense3-26120215_1956_02_29_01_004.tcf.xml-18-6	sense3,26120215_1956_02_29_01_004.tcf.xml-18-6	0,1	-
sense4-26120215_1956_02_29_01_004.tcf.xml-18-6	sense4,26120215_1956_02_29_01_004.tcf.xml-18-6	0,1	-
sense0-bauer_buehnenleben_1871-3550-8	sense0,bauer_buehnenleben_1871-3550-8	0,1	-
sense1-bauer_buehnenleben_1871-3550-8	sense1,bauer_buehnenleben_1871-3550-8	0,1	-
sense2-bauer_buehnenleben_1871-3550-8	sense2,bauer_buehnenleben_1871-3550-8	0,1	-
sense3-bauer_buehnenleben_1871-3550-8	sense3,bauer_buehnenleben_1871-3550-8	0,1	-
sense4-bauer_buehnenleben_1871-3550-8	sense4,bauer_buehnenleben_1871-3550-8	0,1	-
sense0-26120215_1971_07_04_01_404.tcf.xml-16-15	sense0,26120215_1971_07_04_01_404.tcf.xml-16-15	0,1	-
sense1-26120215_1971_07_04_01_404.tcf.xml-16-15	sense1,26120215_1971_07_04_01_404.tcf.xml-16-15	0,1	-
sense2-26120215_1971_07_04_01_404.tcf.xml-16-15	sense2,26120215_1971_07_04_01_404.tcf.xml-16-15	0,1	-
sense3-26120215_1971_07_04_01_404.tcf.xml-16-15	sense3,26120215_1971_07_04_01_404.tcf.xml-16-15	0,1	-
sense4-26120215_1971_07_04_01_404.tcf.xml-16-15	sense4,26120215_1971_07_04_01_404.tcf.xml-16-15	0,1	-
sense0-2532889X_1970-09-19_01_372.tcf.xml-194-5	sense0,2532889X_1970-09-19_01_372.tcf.xml-194-5	0,1	-
sense1-2532889X_1970-09-19_01_372.tcf.xml-194-5	sense1,2532889X_1970-09-19_01_372.tcf.xml-194-5	0,1	-
sense2-2532889X_1970-09-19_01_372.tcf.xml-194-5	sense2,2532889X_1970-09-19_01_372.tcf.xml-194-5	0,1	-
sense3-2532889X_1970-09-19_01_372.tcf.xml-194-5	sense3,2532889X_1970-09-19_01_372.tcf.xml-194-5	0,1	-
sense4-2532889X_1970-09-19_01_372.tcf.xml-194-5	sense4,2532889X_1970-09-19_01_372.tcf.xml-194-5	0,1	-
sense0-2532889X_1947-03-08_01_058.tcf.xml-22-1	sense0,2532889X_1947-03-08_01_058.tcf.xml-22-1	0,1	-
sense1-2532889X_1947-03-08_01_058.tcf.xml-22-1	sense1,2532889X_1947-03-08_01_058.tcf.xml-22-1	0,1	-
sense2-2532889X_1947-03-08_01_058.tcf.xml-22-1	sense2,2532889X_1947-03-08_01_058.tcf.xml-22-1	0,1	-
sense3-2532889X_1947-03-08_01_058.tcf.xml-22-1	sense3,2532889X_1947-03-08_01_058.tcf.xml-22-1	0,1	-
sense4-2532889X_1947-03-08_01_058.tcf.xml-22-1	sense4,2532889X_1947-03-08_01_058.tcf.xml-22-1	0,1	-
sense0-2532889X_1980-09-06_01_222.tcf.xml-8-11	sense0,2532889X_1980-09-06_01_222.tcf.xml-8-11	0,1	-
sense1-2532889X_1980-09-06_01_222.tcf.xml-8-11	sense1,2532889X_1980-09-06_01_222.tcf.xml-8-11	0,1	-
sense2-2532889X_1980-09-06_01_222.tcf.xml-8-11	sense2,2532889X_1980-09-06_01_222.tcf.xml-8-11	0,1	-
sense3-2532889X_1980-09-06_01_222.tcf.xml-8-11	sense3,2532889X_1980-09-06_01_222.tcf.xml-8-11	0,1	-
sense4-2532889X_1980-09-06_01_222.tcf.xml-8-11	sense4,2532889X_1980-09-06_01_222.tcf.xml-8-11	0,1	-
sense0-2532889X_1947-07-22_01_135.tcf.xml-13-2	sense0,2532889X_1947-07-22_01_135.tcf.xml-13-2	0,1	-
sense1-2532889X_1947-07-22_01_135.tcf.xml-13-2	sense1,2532889X_1947-07-22_01_135.tcf.xml-13-2	0,1	-
sense2-2532889X_1947-07-22_01_135.tcf.xml-13-2	sense2,2532889X_1947-07-22_01_135.tcf.xml-13-2	0,1	-
sense3-2532889X_1947-07-22_01_135.tcf.xml-13-2	sense3,2532889X_1947-07-22_01_135.tcf.xml-13-2	0,1	-
sense4-2532889X_1947-07-22_01_135.tcf.xml-13-2	sense4,2532889X_1947-07-22_01_135.tcf.xml-13-2	0,1	-
