instanceID	label	comment	annotator
0_player_nn	4.0	 	annotator2
1_player_nn	3.0	 	annotator2
2_player_nn	1.0	 	annotator2
3_player_nn	2.0	 	annotator2
4_player_nn	2.0	 	annotator2
5_player_nn	4.0	 	annotator2
6_player_nn	2.0	 	annotator2
7_player_nn	4.0	 	annotator2
8_player_nn	1.0	 	annotator2
9_player_nn	4.0	 	annotator2
10_player_nn	4.0	 	annotator2
11_player_nn	1.0	 	annotator2
12_player_nn	4.0	 	annotator2
13_player_nn	-	S2 ambiguous	annotator2
14_player_nn	2.0	 	annotator2
15_player_nn	1.0	 	annotator2
16_player_nn	1.0	 	annotator2
17_player_nn	2.0	 	annotator2
18_player_nn	4.0	 	annotator2
19_player_nn	4.0	 	annotator2
20_player_nn	1.0	 	annotator2
21_player_nn	1.0	 	annotator2
22_player_nn	1.0	 	annotator2
23_player_nn	2.0	 	annotator2
24_player_nn	1.0	 	annotator2
25_player_nn	1.0	 	annotator2
26_player_nn	2.0	 	annotator2
27_player_nn	1.0	 	annotator2
28_player_nn	1.0	 	annotator2
29_player_nn	4.0	 	annotator6
30_player_nn	4.0	 	annotator6
31_player_nn	4.0	 	annotator6
32_player_nn	4.0	 	annotator6
33_player_nn	2.0	 	annotator6
10_player_nn	3.0	 	annotator6
34_player_nn	4.0	 	annotator6
35_player_nn	3.0	 	annotator6
36_player_nn	4.0	 	annotator6
37_player_nn	3.0	 	annotator6
38_player_nn	3.0	 	annotator6
39_player_nn	4.0	 	annotator6
40_player_nn	3.0	 	annotator6
41_player_nn	2.0	 	annotator6
19_player_nn	4.0	 	annotator6
42_player_nn	2.0	 	annotator6
43_player_nn	3.0	 	annotator6
44_player_nn	4.0	 	annotator6
45_player_nn	3.0	 	annotator6
46_player_nn	2.0	 	annotator6
47_player_nn	3.0	 	annotator6
48_player_nn	3.0	 	annotator6
49_player_nn	2.0	 	annotator6
50_player_nn	2.0	 	annotator6
51_player_nn	2.0	 	annotator6
52_player_nn	3.0	 	annotator6
22_player_nn	2.0	 	annotator6
53_player_nn	4.0	 	annotator6
54_player_nn	4.0	 	annotator6
55_player_nn	3.0	 	annotator6
56_player_nn	2.0	 	annotator6
57_player_nn	2.0	 	annotator6
58_player_nn	4.0	 	annotator6
59_player_nn	3.0	 	annotator6
60_player_nn	2.0	 	annotator5
61_player_nn	2.0	 	annotator5
62_player_nn	2.0	 	annotator5
63_player_nn	2.0	 	annotator5
64_player_nn	2.0	 	annotator5
65_player_nn	3.0	 	annotator5
66_player_nn	3.0	 	annotator5
67_player_nn	3.0	 	annotator5
68_player_nn	2.0	 	annotator5
19_player_nn	2.0	 	annotator5
69_player_nn	3.0	 	annotator5
30_player_nn	4.0	 	annotator5
70_player_nn	2.0	 	annotator5
71_player_nn	2.0	 	annotator5
72_player_nn	4.0	 	annotator5
73_player_nn	2.0	 	annotator5
74_player_nn	3.0	 	annotator5
9_player_nn	4.0	 	annotator5
18_player_nn	4.0	 	annotator5
75_player_nn	2.0	 	annotator5
76_player_nn	2.0	 	annotator5
58_player_nn	4.0	 	annotator5
77_player_nn	2.0	 	annotator5
35_player_nn	2.0	 	annotator5
78_player_nn	1.0	 	annotator5
79_player_nn	2.0	 	annotator5
80_player_nn	2.0	 	annotator5
81_player_nn	2.0	 	annotator5
82_player_nn	2.0	 	annotator5
83_player_nn	3.0	Unsure; difficult to judge the meaning in sentence 1	annotator0
84_player_nn	4.0	 	annotator0
85_player_nn	2.0	Unsure	annotator0
12_player_nn	4.0	 	annotator0
50_player_nn	2.0	 	annotator0
4_player_nn	3.0	 	annotator0
86_player_nn	2.0	Unsure	annotator0
87_player_nn	2.0	 	annotator0
88_player_nn	2.0	Unsure	annotator0
42_player_nn	2.0	 	annotator0
22_player_nn	2.0	 	annotator0
15_player_nn	2.0	 	annotator0
89_player_nn	2.0	 	annotator0
0_player_nn	3.0	 	annotator0
90_player_nn	4.0	 	annotator0
91_player_nn	2.0	 	annotator0
92_player_nn	-	UNK; I can't determine the meaning in sentence 1	annotator0
93_player_nn	3.0	Unsure	annotator0
94_player_nn	2.0	 	annotator0
95_player_nn	3.0	 	annotator0
70_player_nn	2.0	 	annotator0
29_player_nn	-	UNK; I can't determine the meaning in sentence 2	annotator0
96_player_nn	4.0	 	annotator0
48_player_nn	3.0	 	annotator0
10_player_nn	3.0	 	annotator0
97_player_nn	3.0	 	annotator0
52_player_nn	2.0	Unsure	annotator0
13_player_nn	3.0	 	annotator0
16_player_nn	2.0	 	annotator0
98_player_nn	2.0	 	annotator0
99_player_nn	2.0	 	annotator0
100_player_nn	3.0	 	annotator2
101_player_nn	4.0	 	annotator2
102_player_nn	2.0	 	annotator2
103_player_nn	4.0	 	annotator2
104_player_nn	2.0	 	annotator2
105_player_nn	3.0	 	annotator2
106_player_nn	3.0	 	annotator2
107_player_nn	3.0	 	annotator2
108_player_nn	2.0	 	annotator2
109_player_nn	4.0	 	annotator2
110_player_nn	3.0	 	annotator2
111_player_nn	4.0	 	annotator2
112_player_nn	4.0	 	annotator2
113_player_nn	4.0	 	annotator2
114_player_nn	4.0	 	annotator2
115_player_nn	4.0	 	annotator2
92_player_nn	2.0	 	annotator2
116_player_nn	4.0	 	annotator2
117_player_nn	4.0	 	annotator2
118_player_nn	4.0	 	annotator2
119_player_nn	4.0	 	annotator2
120_player_nn	4.0	 	annotator2
121_player_nn	3.0	 	annotator2
122_player_nn	4.0	 	annotator2
123_player_nn	4.0	 	annotator2
124_player_nn	4.0	 	annotator2
125_player_nn	3.0	 	annotator2
126_player_nn	4.0	 	annotator2
127_player_nn	4.0	 	annotator2
