instanceID	label	comment	annotator
sense0,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense1,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense2,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense3,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense4,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense5,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense6,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense7,26120215_1990_05_16_01_413.tcf.xml-141-12	-	unklar	annotatorA
sense0,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense1,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense2,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense3,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense4,2532889X_1961-09-20_01_030.tcf.xml-3-7	1	metaphorisch	annotatorA
sense5,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense6,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense7,2532889X_1961-09-20_01_030.tcf.xml-3-7	0	-	annotatorA
sense0,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense1,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense2,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense3,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense4,2532889X_1954-08-31_01_050.tcf.xml-20-15	1	-	annotatorA
sense5,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense6,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense7,2532889X_1954-08-31_01_050.tcf.xml-20-15	0	-	annotatorA
sense0,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense1,2532889X_1976-01-27_01_037.tcf.xml-0-10	1	-	annotatorA
sense2,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense3,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense4,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense5,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense6,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense7,2532889X_1976-01-27_01_037.tcf.xml-0-10	0	-	annotatorA
sense0,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense1,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense2,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense3,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense4,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense5,humboldt_kosmos03_1850-5947-11	1	-	annotatorA
sense6,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense7,humboldt_kosmos03_1850-5947-11	0	-	annotatorA
sense0,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense1,kuernberger_amerikamuede_1855-8717-43	1	-	annotatorA
sense2,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense3,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense4,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense5,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense6,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense7,kuernberger_amerikamuede_1855-8717-43	0	-	annotatorA
sense0,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense1,26120215_1962_06_19_01_227.tcf.xml-2-7	1	-	annotatorA
sense2,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense3,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense4,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense5,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense6,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense7,26120215_1962_06_19_01_227.tcf.xml-2-7	0	-	annotatorA
sense0,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense1,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense2,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense3,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense4,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense5,nettelbeck_lebensbeschreibung02_1821-1836-37	1	-	annotatorA
sense6,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense7,nettelbeck_lebensbeschreibung02_1821-1836-37	0	-	annotatorA
sense0,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense1,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense2,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense3,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense4,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense5,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense6,2532889X_1984-03-27_01_120.tcf.xml-15-18	0	-	annotatorA
sense7,2532889X_1984-03-27_01_120.tcf.xml-15-18	1	-	annotatorA
sense0,steub_tirol_1846-5945-7	0	-	annotatorA
sense1,steub_tirol_1846-5945-7	0	-	annotatorA
sense2,steub_tirol_1846-5945-7	0	-	annotatorA
sense3,steub_tirol_1846-5945-7	0	-	annotatorA
sense4,steub_tirol_1846-5945-7	0	-	annotatorA
sense5,steub_tirol_1846-5945-7	1	-	annotatorA
sense6,steub_tirol_1846-5945-7	0	-	annotatorA
sense7,steub_tirol_1846-5945-7	0	-	annotatorA
sense0,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense1,kleist_kaethchen_1810-143-2	1	-	annotatorA
sense2,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense3,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense4,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense5,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense6,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense7,kleist_kaethchen_1810-143-2	0	-	annotatorA
sense0,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense1,berg_ostasien03_1873-3201-15	1	-	annotatorA
sense2,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense3,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense4,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense5,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense6,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense7,berg_ostasien03_1873-3201-15	0	-	annotatorA
sense0,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense1,schopenhauer_eyck01_1822-175-2	1	-	annotatorA
sense2,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense3,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense4,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense5,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense6,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense7,schopenhauer_eyck01_1822-175-2	0	-	annotatorA
sense0,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense1,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense2,2532889X_1981-06-03_01_055.tcf.xml-18-25	1	-	annotatorA
sense3,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense4,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense5,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense6,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense7,2532889X_1981-06-03_01_055.tcf.xml-18-25	0	-	annotatorA
sense0,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense1,poelitz_poetik_1825-5331-20	1	-	annotatorA
sense2,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense3,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense4,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense5,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense6,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense7,poelitz_poetik_1825-5331-20	0	-	annotatorA
sense0,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense1,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense2,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense3,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense4,2532889X_1963-10-02_01_065.tcf.xml-13-38	1	-	annotatorA
sense5,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense6,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense7,2532889X_1963-10-02_01_065.tcf.xml-13-38	0	-	annotatorA
sense0,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense1,26120215_1946_06_28_01_025.tcf.xml-31-46	1	-	annotatorA
sense2,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense3,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense4,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense5,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense6,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense7,26120215_1946_06_28_01_025.tcf.xml-31-46	0	-	annotatorA
sense0,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense1,berlepsch_alpen_1861-944-29	1	-	annotatorA
sense2,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense3,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense4,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense5,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense6,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense7,berlepsch_alpen_1861-944-29	0	-	annotatorA
sense0,2532889X_1982-07-31_01_468.tcf.xml-75-11	0	-	annotatorA
sense1,2532889X_1982-07-31_01_468.tcf.xml-75-11	0	-	annotatorA
sense2,2532889X_1982-07-31_01_468.tcf.xml-75-11	0	-	annotatorA
sense3,2532889X_1982-07-31_01_468.tcf.xml-75-11	0	-	annotatorA
sense4,2532889X_1982-07-31_01_468.tcf.xml-75-11	0	-	annotatorA
