instanceID	label	comment	annotator
0_land_nn	1.0	 	annotator2
1_land_nn	4.0	 	annotator2
2_land_nn	1.0	 	annotator2
3_land_nn	2.0	 	annotator2
4_land_nn	4.0	 	annotator2
5_land_nn	1.0	 	annotator2
6_land_nn	4.0	 	annotator2
7_land_nn	4.0	 	annotator2
8_land_nn	4.0	 	annotator2
9_land_nn	4.0	 	annotator2
10_land_nn	1.0	 	annotator2
11_land_nn	1.0	 	annotator2
12_land_nn	4.0	 	annotator2
13_land_nn	1.0	 	annotator2
14_land_nn	4.0	 	annotator2
15_land_nn	1.0	 	annotator2
16_land_nn	4.0	 	annotator2
17_land_nn	1.0	 	annotator2
18_land_nn	4.0	 	annotator2
19_land_nn	2.0	 	annotator6
1_land_nn	4.0	 	annotator6
20_land_nn	2.0	 	annotator6
21_land_nn	4.0	 	annotator6
22_land_nn	4.0	 	annotator6
23_land_nn	3.0	 	annotator6
24_land_nn	3.0	 	annotator6
25_land_nn	3.0	 	annotator6
26_land_nn	3.0	 	annotator6
27_land_nn	2.0	 	annotator6
4_land_nn	2.0	 	annotator6
28_land_nn	4.0	 	annotator6
29_land_nn	2.0	 	annotator6
30_land_nn	-	 	annotator6
31_land_nn	3.0	 	annotator6
32_land_nn	4.0	 	annotator6
33_land_nn	2.0	 	annotator6
34_land_nn	2.0	 	annotator6
35_land_nn	2.0	 	annotator6
36_land_nn	4.0	 	annotator6
37_land_nn	3.0	 	annotator6
38_land_nn	4.0	 	annotator6
39_land_nn	2.0	 	annotator6
40_land_nn	3.0	 	annotator6
41_land_nn	2.0	 	annotator6
42_land_nn	2.0	 	annotator6
43_land_nn	2.0	 	annotator6
44_land_nn	3.0	 	annotator6
45_land_nn	4.0	 	annotator6
46_land_nn	3.0	 	annotator6
47_land_nn	2.0	 	annotator6
48_land_nn	4.0	 	annotator6
23_land_nn	3.0	 	annotator5
49_land_nn	1.0	 	annotator5
50_land_nn	2.0	 	annotator5
10_land_nn	2.0	 	annotator5
19_land_nn	2.0	 	annotator5
51_land_nn	4.0	 	annotator5
43_land_nn	2.0	 	annotator5
52_land_nn	3.0	 	annotator5
53_land_nn	2.0	 	annotator5
54_land_nn	2.0	 	annotator5
13_land_nn	2.0	 	annotator5
55_land_nn	1.0	 	annotator5
56_land_nn	2.0	 	annotator5
57_land_nn	3.0	 	annotator5
58_land_nn	3.0	 	annotator5
59_land_nn	4.0	 	annotator5
60_land_nn	2.0	 	annotator5
61_land_nn	1.0	 	annotator5
62_land_nn	2.0	 	annotator5
16_land_nn	4.0	 	annotator5
63_land_nn	1.0	 	annotator5
64_land_nn	3.0	 	annotator5
61_land_nn	2.0	Unsure	annotator0
65_land_nn	3.0	Unsure	annotator0
66_land_nn	4.0	 	annotator0
67_land_nn	3.0	Unsure	annotator0
49_land_nn	2.0	Unsure	annotator0
68_land_nn	3.0	Unsure	annotator0
69_land_nn	4.0	Unsure	annotator0
6_land_nn	4.0	 	annotator0
70_land_nn	2.0	Unsure	annotator0
71_land_nn	2.0	Unsure	annotator0
16_land_nn	4.0	 	annotator0
72_land_nn	4.0	 	annotator0
73_land_nn	4.0	 	annotator0
74_land_nn	4.0	 	annotator0
75_land_nn	2.0	Unsure	annotator0
18_land_nn	4.0	 	annotator0
76_land_nn	2.0	Unsure	annotator0
77_land_nn	4.0	 	annotator0
78_land_nn	-	UNK; I can't determine the meaning in sentence 2	annotator0
4_land_nn	4.0	 	annotator0
79_land_nn	4.0	 	annotator2
80_land_nn	4.0	 	annotator2
81_land_nn	3.0	 	annotator2
82_land_nn	4.0	 	annotator2
83_land_nn	4.0	 	annotator2
84_land_nn	4.0	 	annotator2
85_land_nn	4.0	 	annotator2
86_land_nn	4.0	 	annotator2
87_land_nn	4.0	 	annotator2
88_land_nn	4.0	 	annotator2
89_land_nn	1.0	 	annotator2
90_land_nn	3.0	 	annotator2
91_land_nn	4.0	 	annotator2
92_land_nn	4.0	 	annotator2
93_land_nn	4.0	 	annotator2
94_land_nn	4.0	 	annotator2
95_land_nn	4.0	 	annotator2
96_land_nn	4.0	 	annotator2
97_land_nn	4.0	 	annotator2
98_land_nn	4.0	 	annotator2
99_land_nn	4.0	 	annotator2
100_land_nn	4.0	 	annotator2
101_land_nn	4.0	 	annotator2
102_land_nn	1.0	 	annotator2
103_land_nn	3.0	 	annotator2
104_land_nn	1.0	 	annotator2
105_land_nn	1.0	 	annotator2
106_land_nn	4.0	 	annotator2
107_land_nn	4.0	 	annotator2
108_land_nn	4.0	 	annotator2
109_land_nn	4.0	 	annotator2
110_land_nn	4.0	 	annotator2
111_land_nn	4.0	 	annotator2
112_land_nn	4.0	 	annotator2
113_land_nn	4.0	 	annotator2
114_land_nn	4.0	 	annotator2
115_land_nn	4.0	 	annotator2
116_land_nn	4.0	 	annotator2
117_land_nn	4.0	 	annotator2
118_land_nn	4.0	 	annotator2
119_land_nn	1.0	landscape	annotator2
120_land_nn	4.0	 	annotator2
121_land_nn	4.0	 	annotator2
122_land_nn	3.0	 	annotator2
123_land_nn	1.0	 	annotator2
124_land_nn	1.0	 	annotator2
125_land_nn	4.0	 	annotator2
126_land_nn	4.0	 	annotator2
127_land_nn	4.0	 	annotator2
128_land_nn	3.0	 	annotator2
129_land_nn	4.0	 	annotator2
130_land_nn	4.0	 	annotator2
131_land_nn	4.0	 	annotator2
132_land_nn	4.0	 	annotator2
133_land_nn	4.0	 	annotator2
134_land_nn	4.0	 	annotator2
135_land_nn	4.0	 	annotator2
136_land_nn	4.0	 	annotator2
43_land_nn	1.0	 	annotator2
137_land_nn	4.0	 	annotator2
138_land_nn	4.0	 	annotator2
139_land_nn	3.0	 	annotator2
140_land_nn	4.0	 	annotator2
141_land_nn	1.0	 	annotator2
142_land_nn	1.0	 	annotator2
143_land_nn	4.0	 	annotator2
144_land_nn	3.0	 	annotator2
145_land_nn	4.0	 	annotator2
146_land_nn	4.0	 	annotator2
147_land_nn	3.0	 	annotator2
148_land_nn	4.0	 	annotator2
149_land_nn	4.0	 	annotator2
150_land_nn	3.0	 	annotator2
151_land_nn	4.0	 	annotator2
152_land_nn	4.0	 	annotator2
40_land_nn	4.0	 	annotator2
153_land_nn	4.0	 	annotator2
154_land_nn	4.0	 	annotator2
155_land_nn	4.0	 	annotator2
156_land_nn	4.0	 	annotator2
157_land_nn	4.0	 	annotator2
158_land_nn	3.0	 	annotator2
159_land_nn	4.0	 	annotator2
160_land_nn	4.0	 	annotator2
161_land_nn	4.0	 	annotator2
162_land_nn	4.0	 	annotator2
163_land_nn	4.0	 	annotator2
130_land_nn	3.0	 	annotator5
147_land_nn	3.0	 	annotator5
125_land_nn	3.0	 	annotator5
129_land_nn	3.0	 	annotator5
164_land_nn	2.0	 	annotator5
153_land_nn	3.0	 	annotator5
8_land_nn	3.0	 	annotator5
136_land_nn	3.0	 	annotator5
9_land_nn	3.0	 	annotator5
165_land_nn	3.0	 	annotator5
166_land_nn	3.0	 	annotator5
97_land_nn	4.0	 	annotator5
40_land_nn	2.0	 	annotator5
