instanceID	label	comment	annotator
0_head_nn	4.0	 	annotator2
1_head_nn	1.0	 	annotator2
2_head_nn	1.0	 	annotator2
3_head_nn	1.0	 	annotator2
4_head_nn	2.0	 	annotator2
5_head_nn	2.0	 	annotator2
6_head_nn	1.0	 	annotator2
7_head_nn	4.0	 	annotator2
8_head_nn	1.0	 	annotator2
9_head_nn	1.0	 	annotator2
10_head_nn	4.0	 	annotator2
11_head_nn	1.0	 	annotator2
12_head_nn	1.0	 	annotator2
13_head_nn	4.0	 	annotator2
14_head_nn	1.0	 	annotator2
15_head_nn	4.0	 	annotator2
16_head_nn	2.0	 	annotator2
17_head_nn	1.0	 	annotator2
18_head_nn	1.0	 	annotator2
19_head_nn	4.0	 	annotator2
20_head_nn	1.0	 	annotator2
21_head_nn	1.0	 	annotator2
22_head_nn	4.0	 	annotator2
23_head_nn	2.0	 	annotator2
24_head_nn	4.0	 	annotator2
25_head_nn	1.0	 	annotator2
26_head_nn	4.0	 	annotator2
27_head_nn	1.0	 	annotator2
28_head_nn	3.0	 	annotator2
29_head_nn	1.0	 	annotator2
30_head_nn	1.0	 	annotator2
31_head_nn	1.0	 	annotator2
32_head_nn	1.0	 	annotator2
33_head_nn	1.0	 	annotator2
34_head_nn	4.0	 	annotator2
35_head_nn	1.0	 	annotator2
36_head_nn	3.0	 	annotator2
37_head_nn	2.0	 	annotator2
38_head_nn	4.0	 	annotator2
39_head_nn	1.0	 	annotator2
40_head_nn	1.0	 	annotator2
41_head_nn	3.0	 	annotator2
42_head_nn	4.0	 	annotator2
43_head_nn	2.0	 	annotator2
44_head_nn	4.0	 	annotator2
45_head_nn	3.0	 	annotator2
46_head_nn	1.0	 	annotator2
47_head_nn	1.0	 	annotator2
48_head_nn	1.0	 	annotator2
49_head_nn	1.0	 	annotator2
50_head_nn	1.0	 	annotator2
51_head_nn	2.0	 	annotator2
52_head_nn	4.0	 	annotator2
53_head_nn	1.0	 	annotator2
54_head_nn	1.0	 	annotator2
55_head_nn	1.0	 	annotator2
56_head_nn	1.0	 	annotator2
57_head_nn	1.0	 	annotator2
58_head_nn	1.0	 	annotator2
59_head_nn	1.0	 	annotator2
60_head_nn	1.0	 	annotator2
61_head_nn	1.0	 	annotator2
62_head_nn	4.0	 	annotator2
63_head_nn	3.0	 	annotator2
64_head_nn	1.0	 	annotator2
65_head_nn	4.0	 	annotator2
66_head_nn	1.0	 	annotator2
67_head_nn	1.0	 	annotator2
68_head_nn	4.0	 	annotator2
69_head_nn	4.0	 	annotator2
70_head_nn	1.0	 	annotator2
71_head_nn	2.0	 	annotator2
72_head_nn	1.0	 	annotator2
73_head_nn	1.0	 	annotator2
74_head_nn	2.0	 	annotator2
75_head_nn	2.0	 	annotator2
76_head_nn	1.0	 	annotator2
77_head_nn	4.0	 	annotator2
78_head_nn	4.0	 	annotator2
79_head_nn	3.0	 	annotator2
80_head_nn	3.0	 	annotator2
81_head_nn	4.0	 	annotator2
82_head_nn	1.0	 	annotator2
83_head_nn	1.0	 	annotator2
84_head_nn	1.0	 	annotator2
85_head_nn	1.0	 	annotator2
86_head_nn	1.0	 	annotator2
87_head_nn	1.0	 	annotator2
88_head_nn	2.0	 	annotator6
89_head_nn	3.0	 	annotator6
90_head_nn	2.0	 	annotator6
91_head_nn	2.0	 	annotator6
92_head_nn	2.0	 	annotator6
93_head_nn	2.0	 	annotator6
94_head_nn	2.0	 	annotator6
23_head_nn	2.0	 	annotator6
95_head_nn	2.0	 	annotator6
96_head_nn	2.0	 	annotator6
97_head_nn	2.0	 	annotator6
98_head_nn	1.0	 	annotator6
99_head_nn	2.0	 	annotator6
100_head_nn	2.0	 	annotator6
101_head_nn	2.0	 	annotator6
102_head_nn	2.0	 	annotator6
103_head_nn	4.0	 	annotator6
75_head_nn	2.0	 	annotator6
104_head_nn	2.0	 	annotator6
105_head_nn	2.0	 	annotator6
106_head_nn	2.0	 	annotator6
107_head_nn	2.0	 	annotator6
65_head_nn	4.0	 	annotator6
108_head_nn	2.0	 	annotator6
109_head_nn	2.0	 	annotator6
110_head_nn	2.0	 	annotator6
111_head_nn	1.0	 	annotator6
40_head_nn	2.0	 	annotator6
112_head_nn	2.0	 	annotator6
113_head_nn	2.0	 	annotator6
114_head_nn	2.0	 	annotator6
115_head_nn	1.0	 	annotator6
116_head_nn	3.0	 	annotator6
117_head_nn	1.0	 	annotator6
118_head_nn	2.0	 	annotator6
16_head_nn	2.0	 	annotator6
119_head_nn	2.0	 	annotator6
120_head_nn	2.0	 	annotator6
121_head_nn	2.0	 	annotator6
80_head_nn	2.0	 	annotator6
122_head_nn	2.0	 	annotator6
123_head_nn	2.0	 	annotator6
124_head_nn	2.0	 	annotator6
125_head_nn	1.0	 	annotator6
126_head_nn	2.0	 	annotator6
82_head_nn	2.0	 	annotator6
127_head_nn	2.0	 	annotator6
128_head_nn	4.0	 	annotator6
129_head_nn	2.0	 	annotator6
130_head_nn	4.0	 	annotator6
131_head_nn	4.0	 	annotator6
132_head_nn	1.0	 	annotator6
133_head_nn	2.0	 	annotator6
32_head_nn	2.0	 	annotator6
134_head_nn	2.0	 	annotator6
135_head_nn	2.0	 	annotator6
69_head_nn	4.0	 	annotator6
136_head_nn	2.0	 	annotator6
137_head_nn	2.0	 	annotator6
138_head_nn	2.0	 	annotator6
139_head_nn	4.0	 	annotator6
31_head_nn	2.0	 	annotator6
140_head_nn	2.0	 	annotator6
141_head_nn	3.0	 	annotator6
142_head_nn	2.0	 	annotator6
143_head_nn	2.0	 	annotator6
144_head_nn	2.0	 	annotator6
145_head_nn	2.0	 	annotator6
146_head_nn	2.0	 	annotator6
147_head_nn	2.0	 	annotator6
148_head_nn	2.0	 	annotator6
149_head_nn	2.0	 	annotator6
150_head_nn	2.0	 	annotator6
151_head_nn	2.0	 	annotator6
152_head_nn	2.0	 	annotator6
153_head_nn	4.0	 	annotator6
154_head_nn	2.0	 	annotator6
155_head_nn	2.0	 	annotator6
19_head_nn	4.0	 	annotator6
