instanceID	label	comment	annotator
1101	sustain	-	C
1102	sustain	-	C
1103	experience	-	C
1104	endure	-	C
1105	endure	-	C
1106	experience	-	C
1107	tolerate	-	C
1108	endure	-	C
1109	experience	-	C
1110	endure	-	C
1101	endure	-	A
1102	endure	-	A
1103	endure	-	A
1104	endure	-	A
1105	endure	-	A
1106	experience	-	A
1107	endure	-	A
1108	endure	-	A
1109	endure	-	A
1110	experience	-	A
1101	receive	-	F
1102	endure	-	F
1103	endure	-	F
1104	endure	-	F
1105	endure	-	F
1106	experience	-	F
1107	endure	-	F
1108	endure	-	F
1109	face	-	F
1110	endure	-	F
1101	endure	-	G
1102	endure	-	G
1103	endure	-	G
1104	endure	-	G
1105	endure	-	G
1106	endure	-	G
1107	endure	-	G
1108	endure	-	G
1109	undergo	-	G
1110	undergo	-	G
1101	sustain	-	D
1102	endure	-	D
1103	has	-	D
1104	lose out	-	D
1105	cope with	-	D
1106	deal with	-	D
1107	endure	-	D
1108	speak	-	D
1109	come to	-	D
1110	endure	-	D
1101	endure	-	H
1102	experience	-	H
1103	experience	-	H
1104	agony	-	H
1105	endure	-	H
1106	experience	-	H
1107	endure	-	H
1108	endure	-	H
1109	experience	-	H
1110	experience	-	H
1101	recieve	-	I
1102	endure	-	I
1103	have	-	I
1104	hurt	-	I
1105	weather	-	I
1106	recieve	-	I
1107	recieve	-	I
1108	endure	-	I
1109	recieve	-	I
1110	undergo	-	I
1101	experience	-	J
1102	experience	-	J
1103	experience	-	J
1104	forced to endure	-	J
1105	experience	-	J
1106	experience	-	J
1107	experience	-	J
1108	experience	-	J
1109	underwent	-	J
1110	experience	-	J
