dataID	context	indices_target_token	indices_target_sentence	lemma
1951	The result, if implemented correctly, is higher quality output. Increased quality= less quality costs ( scrap , customer returns ) =increased margins . Lean is largely managing processes to increase the velocity of them.	104:110	64:151	scrap.n
1952	"I need to find some better way to check channel listings, this is getting to be more trouble than it is worth. General Update #3 Wednesday , 24th September , 2003 : : 03:56 EDT - Sidenotes - perplexed A little more of the general boring scrap , nothing to get too excited about . I've made 7 candles over the last couple of days, some of which seem likely to be plagued with the \""\""smells like paint thinner\""\"" problem, oh well, costly lesson learned."	237:243	111:279	scrap.n
1953	"There is no need to want to be a better person or to try terribly hard to do good things for others. Indeed this would only be feeding the opposites of good and bad and , as we are reminded by that little scrap of paper on the wall at the Maenllwyd , "" When the opposites arise , the Buddha mind is lost "" . Paying attention means being right there if someone needs you."	205:211	101:307	scrap.n
1954	Now let 's assume another Asian castaway washes up onto the island, and assumes the role of central banker. Now each day the central banker taxes the other Asians on the island by confiscating a portion of the scraps of food the American throws them each day from his table . The central banker than agrees to return these morsels to the other Asians each day, in exchange for each Asian 's daily accumulation of the American 's IOU 's, less a small percentage for himself, because the central banker also has to eat.	210:217	108:275	scrap.n
1955	""" "" Young fool, "" chided the tea-master, "" that is not the way a garden path should be swept. "" Saying this , Rikiu stepped into the garden , shook a tree and scattered over the garden gold and crimson leaves , scraps of the brocade of autumn ! What Rikiu demanded was not cleanliness alone, but the beautiful and the natural also."	211:218	94:244	scrap.n
1956	Pull the threads tightly so that the eyes sink into the head then knot them together three or four times. 6 Cut a nose shape from a scrap of felt the same colour as your nose thread . Trim the pile away directly underneath where the template will be positioned and glue in place.	132:138	106:183	scrap.n
1957	The ICF Invidious shrank rapidly in his main viewport. He saw the spark of an explosion where the main bridge section would have been and smiled in satisfaction as his brain started counting up the scrap value of an Imperial Customs Frigate . Maybe it would cover his expenses.	198:204	55:242	scrap.n
1958	Containers made from recycled plastic save up to 60 percent of the energy required to make the same product from virgin material. Recycled ferrous scrap consumes 75 percent less energy than new ore . Virtually every material recycled uses less energy than using virgin materials.	147:153	130:199	scrap.n
1959	The mouth of the hopper is also exactly the same width as the cutting surface; thus permitting an easy transfer of cut food product from the cutting surface to the hopper with a minimum of spillage. At the opposite end of the chopping board from the chopped food hopper is located another hopper which is used specifically for collecting the cut food scraps . Like the other, the mouth of the scrap hopper is flush with the under surface, and the same width as, the cutting surface.	351:358	199:359	scrap.n
1960	Prefer a few close knit friends verses a whole group? Find out what type of scrap booking sheets fit in their scrap book and create a page or two for them ! We all probably have completely embarrassing or drop dead gorgeous pictures of our friends that they would die to see.	110:116	54:156	scrap.n
