instanceID	label	comment	annotator
sense0,beseler_volksrecht_1843-601-31	0	-	annotatorA
sense1,beseler_volksrecht_1843-601-31	0	-	annotatorA
sense2,beseler_volksrecht_1843-601-31	1	-	annotatorA
sense0,liszt_voelkerrecht_1898-1989-36	-	 	annotatorA
sense1,liszt_voelkerrecht_1898-1989-36	-	 	annotatorA
sense2,liszt_voelkerrecht_1898-1989-36	-	 	annotatorA
sense0,2532889X_1985-03-09_01_422.tcf.xml-5-4	0	-	annotatorA
sense1,2532889X_1985-03-09_01_422.tcf.xml-5-4	0	-	annotatorA
sense2,2532889X_1985-03-09_01_422.tcf.xml-5-4	1	-	annotatorA
sense0,heckert_schulgesetzgebung_1847-4204-8	0	-	annotatorA
sense1,heckert_schulgesetzgebung_1847-4204-8	0	-	annotatorA
sense2,heckert_schulgesetzgebung_1847-4204-8	1	-	annotatorA
sense0,2532889X_1983-08-06_01_467.tcf.xml-49-16	0	-	annotatorA
sense1,2532889X_1983-08-06_01_467.tcf.xml-49-16	0	-	annotatorA
sense2,2532889X_1983-08-06_01_467.tcf.xml-49-16	1	-	annotatorA
sense0,schweiger_armenien_1878-2578-27	0	-	annotatorA
sense1,schweiger_armenien_1878-2578-27	0	-	annotatorA
sense2,schweiger_armenien_1878-2578-27	1	-	annotatorA
sense0,26120215_1988_10_08_01_377.tcf.xml-12-1	0	-	annotatorA
sense1,26120215_1988_10_08_01_377.tcf.xml-12-1	0	-	annotatorA
sense2,26120215_1988_10_08_01_377.tcf.xml-12-1	1	-	annotatorA
sense0,2532889X_1984-09-04_01_046.tcf.xml-13-32	0	-	annotatorA
sense1,2532889X_1984-09-04_01_046.tcf.xml-13-32	0	-	annotatorA
sense2,2532889X_1984-09-04_01_046.tcf.xml-13-32	1	-	annotatorA
sense0,jhering_recht01_1852-3084-9	0	-	annotatorA
sense1,jhering_recht01_1852-3084-9	0	-	annotatorA
sense2,jhering_recht01_1852-3084-9	1	-	annotatorA
sense0,savigny_system01_1840-427-21	0	-	annotatorA
sense1,savigny_system01_1840-427-21	0	-	annotatorA
sense2,savigny_system01_1840-427-21	1	-	annotatorA
sense0,26120215_1982_02_23_01_330.tcf.xml-47-9	0	-	annotatorA
sense1,26120215_1982_02_23_01_330.tcf.xml-47-9	0	-	annotatorA
sense2,26120215_1982_02_23_01_330.tcf.xml-47-9	1	-	annotatorA
sense0,2532889X_1990-07-07_01_209.tcf.xml-60-6	0	-	annotatorA
sense1,2532889X_1990-07-07_01_209.tcf.xml-60-6	1	-	annotatorA
sense2,2532889X_1990-07-07_01_209.tcf.xml-60-6	0	-	annotatorA
sense0,2532889X_1988-03-12_01_050.tcf.xml-51-48	0	-	annotatorA
sense1,2532889X_1988-03-12_01_050.tcf.xml-51-48	0	-	annotatorA
sense2,2532889X_1988-03-12_01_050.tcf.xml-51-48	1	-	annotatorA
sense0,stein_verwaltungslehre02_1866-2728-59	0	-	annotatorA
sense1,stein_verwaltungslehre02_1866-2728-59	0	-	annotatorA
sense2,stein_verwaltungslehre02_1866-2728-59	1	-	annotatorA
sense0,26120215_1969_06_24_01_119.tcf.xml-16-3	0	-	annotatorA
sense1,26120215_1969_06_24_01_119.tcf.xml-16-3	1	(unklar)	annotatorA
