instanceID	label	comment	annotator
sense0,26120215_1986_10_10_01_075.tcf.xml-7-19	0	-	annotatorA
sense1,26120215_1986_10_10_01_075.tcf.xml-7-19	0	-	annotatorA
sense2,26120215_1986_10_10_01_075.tcf.xml-7-19	0	-	annotatorA
sense3,26120215_1986_10_10_01_075.tcf.xml-7-19	1	-	annotatorA
sense4,26120215_1986_10_10_01_075.tcf.xml-7-19	0	-	annotatorA
sense5,26120215_1986_10_10_01_075.tcf.xml-7-19	0	-	annotatorA
sense0,beck_eisen02_1895-8983-27	0	-	annotatorA
sense1,beck_eisen02_1895-8983-27	1	-	annotatorA
sense2,beck_eisen02_1895-8983-27	0	-	annotatorA
sense3,beck_eisen02_1895-8983-27	0	-	annotatorA
sense4,beck_eisen02_1895-8983-27	0	-	annotatorA
sense5,beck_eisen02_1895-8983-27	0	-	annotatorA
sense0,beck_eisen02_1895-13263-28	0	-	annotatorA
sense1,beck_eisen02_1895-13263-28	1	-	annotatorA
sense2,beck_eisen02_1895-13263-28	0	-	annotatorA
sense3,beck_eisen02_1895-13263-28	0	-	annotatorA
sense4,beck_eisen02_1895-13263-28	0	-	annotatorA
sense5,beck_eisen02_1895-13263-28	0	-	annotatorA
sense0,26120215_1963_11_29_01_007.tcf.xml-13-8	0	-	annotatorA
sense1,26120215_1963_11_29_01_007.tcf.xml-13-8	0	-	annotatorA
sense2,26120215_1963_11_29_01_007.tcf.xml-13-8	1	aber metaphorisch	annotatorA
sense3,26120215_1963_11_29_01_007.tcf.xml-13-8	0	-	annotatorA
sense4,26120215_1963_11_29_01_007.tcf.xml-13-8	0	-	annotatorA
sense5,26120215_1963_11_29_01_007.tcf.xml-13-8	0	-	annotatorA
sense0,humboldt_aequinoktial03_1859-726-26	0	-	annotatorA
sense1,humboldt_aequinoktial03_1859-726-26	1	-	annotatorA
sense2,humboldt_aequinoktial03_1859-726-26	0	-	annotatorA
sense3,humboldt_aequinoktial03_1859-726-26	0	-	annotatorA
sense4,humboldt_aequinoktial03_1859-726-26	0	-	annotatorA
sense5,humboldt_aequinoktial03_1859-726-26	0	-	annotatorA
sense0,2532889X_1978-06-09_01_083.tcf.xml-2-32	0	-	annotatorA
sense1,2532889X_1978-06-09_01_083.tcf.xml-2-32	0	-	annotatorA
sense2,2532889X_1978-06-09_01_083.tcf.xml-2-32	0	-	annotatorA
sense3,2532889X_1978-06-09_01_083.tcf.xml-2-32	1	-	annotatorA
sense4,2532889X_1978-06-09_01_083.tcf.xml-2-32	0	-	annotatorA
sense5,2532889X_1978-06-09_01_083.tcf.xml-2-32	0	-	annotatorA
sense0,2532889X_1963-03-05_01_016.tcf.xml-3-16	0	-	annotatorA
sense1,2532889X_1963-03-05_01_016.tcf.xml-3-16	0	-	annotatorA
sense2,2532889X_1963-03-05_01_016.tcf.xml-3-16	0	-	annotatorA
sense3,2532889X_1963-03-05_01_016.tcf.xml-3-16	1	-	annotatorA
sense4,2532889X_1963-03-05_01_016.tcf.xml-3-16	0	-	annotatorA
sense5,2532889X_1963-03-05_01_016.tcf.xml-3-16	0	-	annotatorA
sense0,2532889X_1979-12-15_01_109.tcf.xml-18-28	0	-	annotatorA
sense1,2532889X_1979-12-15_01_109.tcf.xml-18-28	0	-	annotatorA
sense2,2532889X_1979-12-15_01_109.tcf.xml-18-28	0	-	annotatorA
sense3,2532889X_1979-12-15_01_109.tcf.xml-18-28	1	-	annotatorA
sense4,2532889X_1979-12-15_01_109.tcf.xml-18-28	0	-	annotatorA
sense5,2532889X_1979-12-15_01_109.tcf.xml-18-28	0	-	annotatorA
sense0,2532889X_1989-04-04_01_114.tcf.xml-33-25	0	-	annotatorA
sense1,2532889X_1989-04-04_01_114.tcf.xml-33-25	0	-	annotatorA
sense2,2532889X_1989-04-04_01_114.tcf.xml-33-25	0	-	annotatorA
sense3,2532889X_1989-04-04_01_114.tcf.xml-33-25	1	-	annotatorA
