instanceID	label	comment	annotator
0_stab_nn	4.0	 	annotator2
1_stab_nn	1.0	 	annotator2
2_stab_nn	2.0	 	annotator2
3_stab_nn	2.0	 	annotator2
4_stab_nn	3.0	 	annotator2
5_stab_nn	1.0	 	annotator2
6_stab_nn	2.0	 	annotator2
7_stab_nn	1.0	 	annotator2
8_stab_nn	1.0	 	annotator2
9_stab_nn	1.0	 	annotator2
10_stab_nn	4.0	 	annotator2
11_stab_nn	3.0	 	annotator2
12_stab_nn	1.0	 	annotator2
13_stab_nn	4.0	 	annotator2
14_stab_nn	2.0	 	annotator2
15_stab_nn	2.0	 	annotator2
16_stab_nn	1.0	 	annotator2
17_stab_nn	2.0	 	annotator2
18_stab_nn	2.0	 	annotator2
19_stab_nn	1.0	 	annotator2
20_stab_nn	1.0	 	annotator2
21_stab_nn	2.0	 	annotator2
22_stab_nn	1.0	 	annotator2
23_stab_nn	2.0	 	annotator2
24_stab_nn	1.0	 	annotator2
25_stab_nn	1.0	 	annotator2
26_stab_nn	3.0	 	annotator2
27_stab_nn	1.0	 	annotator2
28_stab_nn	2.0	 	annotator2
29_stab_nn	2.0	 	annotator2
30_stab_nn	1.0	 	annotator2
31_stab_nn	3.0	 	annotator2
32_stab_nn	2.0	 	annotator2
33_stab_nn	4.0	 	annotator2
34_stab_nn	3.0	 	annotator2
35_stab_nn	1.0	 	annotator2
36_stab_nn	3.0	 	annotator2
37_stab_nn	3.0	 	annotator2
38_stab_nn	4.0	 	annotator2
39_stab_nn	2.0	 	annotator2
40_stab_nn	3.0	 	annotator2
41_stab_nn	1.0	 	annotator2
42_stab_nn	3.0	 	annotator2
43_stab_nn	3.0	 	annotator2
44_stab_nn	4.0	 	annotator2
45_stab_nn	1.0	 	annotator2
46_stab_nn	2.0	 	annotator2
47_stab_nn	1.0	 	annotator2
48_stab_nn	2.0	 	annotator2
49_stab_nn	1.0	 	annotator2
50_stab_nn	4.0	 	annotator2
51_stab_nn	3.0	 	annotator2
52_stab_nn	1.0	 	annotator2
53_stab_nn	1.0	 	annotator2
54_stab_nn	4.0	 	annotator2
55_stab_nn	3.0	 	annotator2
56_stab_nn	1.0	 	annotator2
57_stab_nn	3.0	 	annotator2
58_stab_nn	2.0	 	annotator2
59_stab_nn	3.0	 	annotator2
60_stab_nn	2.0	 	annotator2
61_stab_nn	2.0	 	annotator2
62_stab_nn	3.0	 	annotator2
63_stab_nn	2.0	 	annotator2
64_stab_nn	2.0	 	annotator2
65_stab_nn	3.0	 	annotator2
66_stab_nn	1.0	 	annotator2
67_stab_nn	2.0	 	annotator2
68_stab_nn	1.0	 	annotator2
69_stab_nn	1.0	 	annotator2
70_stab_nn	1.0	 	annotator2
71_stab_nn	2.0	 	annotator2
72_stab_nn	1.0	 	annotator2
73_stab_nn	2.0	 	annotator2
74_stab_nn	1.0	 	annotator2
75_stab_nn	2.0	 	annotator2
76_stab_nn	1.0	 	annotator2
77_stab_nn	4.0	 	annotator6
78_stab_nn	4.0	 	annotator6
79_stab_nn	2.0	 	annotator6
80_stab_nn	2.0	 	annotator6
81_stab_nn	2.0	 	annotator6
82_stab_nn	4.0	 	annotator6
83_stab_nn	2.0	 	annotator6
84_stab_nn	2.0	 	annotator6
85_stab_nn	2.0	 	annotator6
86_stab_nn	2.0	 	annotator6
87_stab_nn	2.0	 	annotator6
88_stab_nn	3.0	 	annotator6
29_stab_nn	2.0	 	annotator6
89_stab_nn	2.0	 	annotator6
90_stab_nn	2.0	 	annotator6
47_stab_nn	2.0	 	annotator6
91_stab_nn	2.0	 	annotator6
92_stab_nn	3.0	 	annotator6
93_stab_nn	4.0	 	annotator6
94_stab_nn	2.0	 	annotator6
95_stab_nn	2.0	 	annotator6
96_stab_nn	2.0	 	annotator6
97_stab_nn	2.0	 	annotator6
4_stab_nn	2.0	 	annotator6
98_stab_nn	4.0	 	annotator6
35_stab_nn	2.0	 	annotator6
99_stab_nn	2.0	 	annotator6
100_stab_nn	3.0	 	annotator6
101_stab_nn	3.0	 	annotator6
102_stab_nn	3.0	 	annotator6
71_stab_nn	2.0	 	annotator6
103_stab_nn	2.0	 	annotator6
104_stab_nn	2.0	 	annotator6
105_stab_nn	2.0	 	annotator6
106_stab_nn	2.0	 	annotator6
107_stab_nn	2.0	 	annotator6
108_stab_nn	2.0	 	annotator6
109_stab_nn	2.0	 	annotator6
110_stab_nn	3.0	 	annotator6
111_stab_nn	2.0	 	annotator6
112_stab_nn	3.0	 	annotator6
113_stab_nn	2.0	 	annotator6
114_stab_nn	3.0	 	annotator6
115_stab_nn	4.0	 	annotator6
116_stab_nn	2.0	 	annotator6
117_stab_nn	2.0	 	annotator6
118_stab_nn	2.0	 	annotator6
45_stab_nn	2.0	 	annotator6
119_stab_nn	2.0	 	annotator6
120_stab_nn	2.0	 	annotator6
121_stab_nn	2.0	 	annotator6
122_stab_nn	3.0	 	annotator6
123_stab_nn	2.0	 	annotator6
124_stab_nn	4.0	 	annotator6
125_stab_nn	2.0	 	annotator6
126_stab_nn	2.0	 	annotator6
127_stab_nn	2.0	 	annotator6
128_stab_nn	2.0	 	annotator6
129_stab_nn	4.0	 	annotator6
130_stab_nn	2.0	 	annotator6
131_stab_nn	2.0	 	annotator6
132_stab_nn	3.0	 	annotator6
