instanceID	label	comment	annotator
sense0,26120215_1953_05_27_01_094.tcf.xml-4-9	0	-	annotatorA
sense1,26120215_1953_05_27_01_094.tcf.xml-4-9	0	-	annotatorA
sense2,26120215_1953_05_27_01_094.tcf.xml-4-9	1	-	annotatorA
sense0,davidis_kochbuch_1879-583-65	0	-	annotatorA
sense1,davidis_kochbuch_1879-583-65	1	-	annotatorA
sense2,davidis_kochbuch_1879-583-65	0	-	annotatorA
sense0,2532889X_1963-12-14_01_038.tcf.xml-22-3	0	-	annotatorA
sense1,2532889X_1963-12-14_01_038.tcf.xml-22-3	0	-	annotatorA
sense2,2532889X_1963-12-14_01_038.tcf.xml-22-3	1	-	annotatorA
sense0,26120215_1989_02_25_01_393.tcf.xml-29-31	0	-	annotatorA
sense1,26120215_1989_02_25_01_393.tcf.xml-29-31	0	-	annotatorA
sense2,26120215_1989_02_25_01_393.tcf.xml-29-31	1	-	annotatorA
sense0,2532889X_1963-03-21_01_008.tcf.xml-8-12	0	-	annotatorA
sense1,2532889X_1963-03-21_01_008.tcf.xml-8-12	0	-	annotatorA
sense2,2532889X_1963-03-21_01_008.tcf.xml-8-12	1	-	annotatorA
sense0,26120215_1963_02_10_01_145.tcf.xml-31-23	0	-	annotatorA
sense1,26120215_1963_02_10_01_145.tcf.xml-31-23	0	-	annotatorA
sense2,26120215_1963_02_10_01_145.tcf.xml-31-23	1	-	annotatorA
sense0,26120215_1958_12_24_01_169.tcf.xml-28-12	0	-	annotatorA
sense1,26120215_1958_12_24_01_169.tcf.xml-28-12	0	-	annotatorA
sense2,26120215_1958_12_24_01_169.tcf.xml-28-12	1	-	annotatorA
sense0,davidis_kochbuch_1849-2069-31	0	-	annotatorA
sense1,davidis_kochbuch_1849-2069-31	1	-	annotatorA
sense2,davidis_kochbuch_1849-2069-31	0	-	annotatorA
sense0,davidis_kochbuch_1849-4053-7	0	-	annotatorA
sense1,davidis_kochbuch_1849-4053-7	1	-	annotatorA
sense2,davidis_kochbuch_1849-4053-7	0	-	annotatorA
sense0,26120215_1966_11_11_01_073.tcf.xml-81-3	0	-	annotatorA
sense1,26120215_1966_11_11_01_073.tcf.xml-81-3	0	-	annotatorA
sense2,26120215_1966_11_11_01_073.tcf.xml-81-3	1	-	annotatorA
sense0,davidis_kochbuch_1849-5896-7	0	-	annotatorA
sense1,davidis_kochbuch_1849-5896-7	1	-	annotatorA
sense2,davidis_kochbuch_1849-5896-7	0	-	annotatorA
sense0,26120215_1989_04_28_01_171.tcf.xml-2-7	0	-	annotatorA
sense1,26120215_1989_04_28_01_171.tcf.xml-2-7	0	-	annotatorA
sense2,26120215_1989_04_28_01_171.tcf.xml-2-7	1	-	annotatorA
sense0,2532889X_1961-09-16_01_006.tcf.xml-7-11	0	-	annotatorA
sense1,2532889X_1961-09-16_01_006.tcf.xml-7-11	0	-	annotatorA
sense2,2532889X_1961-09-16_01_006.tcf.xml-7-11	1	-	annotatorA
sense0,2532889X_1947-07-06_01_083.tcf.xml-23-39	0	-	annotatorA
sense1,2532889X_1947-07-06_01_083.tcf.xml-23-39	0	-	annotatorA
sense2,2532889X_1947-07-06_01_083.tcf.xml-23-39	1	-	annotatorA
sense0,26120215_1956_04_22_02_105.tcf.xml-65-30	0	-	annotatorA
sense1,26120215_1956_04_22_02_105.tcf.xml-65-30	0	-	annotatorA
sense2,26120215_1956_04_22_02_105.tcf.xml-65-30	1	-	annotatorA
sense0,wedekind_erdgeist_1895-2727-9	-	unklar	annotatorA
sense1,wedekind_erdgeist_1895-2727-9	-	unklar	annotatorA
sense2,wedekind_erdgeist_1895-2727-9	-	unklar	annotatorA
sense0,2532889X_1959-04-28_01_013.tcf.xml-1-26	0	-	annotatorA
sense1,2532889X_1959-04-28_01_013.tcf.xml-1-26	0	-	annotatorA
sense2,2532889X_1959-04-28_01_013.tcf.xml-1-26	1	-	annotatorA
sense0,26120215_1989_12_16_01_134.tcf.xml-25-23	0	-	annotatorA
sense1,26120215_1989_12_16_01_134.tcf.xml-25-23	0	-	annotatorA
sense2,26120215_1989_12_16_01_134.tcf.xml-25-23	1	-	annotatorA
sense0,davidis_kochbuch_1879-3146-3	0	-	annotatorA
sense1,davidis_kochbuch_1879-3146-3	1	-	annotatorA
sense2,davidis_kochbuch_1879-3146-3	0	-	annotatorA
sense0,2532889X_1951-06-24_01_118.tcf.xml-11-23	0	-	annotatorA
sense1,2532889X_1951-06-24_01_118.tcf.xml-11-23	0	-	annotatorA
sense2,2532889X_1951-06-24_01_118.tcf.xml-11-23	1	-	annotatorA
sense0,davidis_kochbuch_1879-3870-3	0	-	annotatorA
sense1,davidis_kochbuch_1879-3870-3	1	-	annotatorA
sense2,davidis_kochbuch_1879-3870-3	0	-	annotatorA
sense0,davidis_kochbuch_1849-3498-5	0	-	annotatorA
sense1,davidis_kochbuch_1849-3498-5	1	-	annotatorA
sense2,davidis_kochbuch_1849-3498-5	0	-	annotatorA
sense0,davidis_kochbuch_1849-2355-12	0	-	annotatorA
sense1,davidis_kochbuch_1849-2355-12	1	-	annotatorA
sense2,davidis_kochbuch_1849-2355-12	0	-	annotatorA
sense0,26120215_1957_05_19_02_149.tcf.xml-23-17	0	-	annotatorA
sense1,26120215_1957_05_19_02_149.tcf.xml-23-17	0	-	annotatorA
sense2,26120215_1957_05_19_02_149.tcf.xml-23-17	1	-	annotatorA
sense0,davidis_kochbuch_1849-3482-6	0	-	annotatorA
sense1,davidis_kochbuch_1849-3482-6	1	-	annotatorA
sense2,davidis_kochbuch_1849-3482-6	0	-	annotatorA
sense0,26120215_1977_10_20_01_265.tcf.xml-13-7	0	-	annotatorA
sense1,26120215_1977_10_20_01_265.tcf.xml-13-7	1	-	annotatorA
sense2,26120215_1977_10_20_01_265.tcf.xml-13-7	0	-	annotatorA
sense0,davidis_kochbuch_1849-3745-3	0	-	annotatorA
sense1,davidis_kochbuch_1849-3745-3	1	-	annotatorA
sense2,davidis_kochbuch_1849-3745-3	0	-	annotatorA
sense0,26120215_1966_05_25_01_169.tcf.xml-16-4	0	-	annotatorA
sense1,26120215_1966_05_25_01_169.tcf.xml-16-4	0	-	annotatorA
sense2,26120215_1966_05_25_01_169.tcf.xml-16-4	1	-	annotatorA
sense0,davidis_kochbuch_1879-4195-4	0	-	annotatorA
