instanceID	label	comment	annotator
0_quilt_nn	4.0	 	annotator2
1_quilt_nn	3.0	 	annotator2
2_quilt_nn	4.0	 	annotator2
3_quilt_nn	3.0	 	annotator2
4_quilt_nn	4.0	 	annotator2
5_quilt_nn	2.0	 	annotator6
6_quilt_nn	4.0	 	annotator6
4_quilt_nn	3.0	 	annotator6
7_quilt_nn	2.0	 	annotator6
8_quilt_nn	2.0	 	annotator6
9_quilt_nn	4.0	 	annotator6
10_quilt_nn	4.0	 	annotator5
11_quilt_nn	4.0	 	annotator5
6_quilt_nn	2.0	 	annotator5
12_quilt_nn	2.0	 	annotator5
13_quilt_nn	4.0	 	annotator5
14_quilt_nn	2.0	Unsure	annotator0
15_quilt_nn	4.0	 	annotator0
16_quilt_nn	4.0	 	annotator0
17_quilt_nn	4.0	 	annotator0
18_quilt_nn	4.0	 	annotator0
12_quilt_nn	4.0	 	annotator0
19_quilt_nn	4.0	 	annotator2
20_quilt_nn	4.0	 	annotator2
21_quilt_nn	4.0	 	annotator2
22_quilt_nn	4.0	 	annotator2
23_quilt_nn	4.0	 	annotator2
24_quilt_nn	4.0	 	annotator2
25_quilt_nn	4.0	 	annotator2
26_quilt_nn	3.0	 	annotator2
27_quilt_nn	4.0	 	annotator2
28_quilt_nn	4.0	 	annotator2
29_quilt_nn	4.0	 	annotator2
30_quilt_nn	4.0	 	annotator2
31_quilt_nn	4.0	 	annotator2
32_quilt_nn	4.0	 	annotator2
33_quilt_nn	4.0	 	annotator2
34_quilt_nn	3.0	 	annotator2
35_quilt_nn	4.0	 	annotator2
36_quilt_nn	4.0	 	annotator2
37_quilt_nn	4.0	 	annotator2
38_quilt_nn	3.0	 	annotator2
39_quilt_nn	4.0	 	annotator2
40_quilt_nn	4.0	 	annotator2
41_quilt_nn	4.0	 	annotator2
42_quilt_nn	4.0	 	annotator2
43_quilt_nn	4.0	 	annotator2
44_quilt_nn	4.0	 	annotator2
45_quilt_nn	4.0	 	annotator2
46_quilt_nn	4.0	 	annotator2
47_quilt_nn	4.0	 	annotator2
48_quilt_nn	4.0	 	annotator2
49_quilt_nn	3.0	 	annotator2
50_quilt_nn	3.0	 	annotator2
51_quilt_nn	3.0	 	annotator2
52_quilt_nn	4.0	 	annotator2
53_quilt_nn	4.0	 	annotator2
54_quilt_nn	4.0	 	annotator2
55_quilt_nn	4.0	 	annotator2
56_quilt_nn	4.0	 	annotator2
57_quilt_nn	4.0	 	annotator2
58_quilt_nn	3.0	 	annotator2
59_quilt_nn	4.0	 	annotator2
60_quilt_nn	4.0	 	annotator2
61_quilt_nn	4.0	 	annotator2
62_quilt_nn	3.0	 	annotator2
63_quilt_nn	4.0	 	annotator2
64_quilt_nn	4.0	 	annotator2
65_quilt_nn	2.0	 	annotator2
66_quilt_nn	4.0	 	annotator2
67_quilt_nn	4.0	 	annotator2
68_quilt_nn	3.0	 	annotator2
69_quilt_nn	4.0	 	annotator2
70_quilt_nn	3.0	 	annotator2
71_quilt_nn	3.0	 	annotator2
72_quilt_nn	4.0	 	annotator2
73_quilt_nn	4.0	 	annotator2
74_quilt_nn	4.0	 	annotator2
75_quilt_nn	3.0	 	annotator2
76_quilt_nn	4.0	 	annotator2
77_quilt_nn	3.0	 	annotator2
78_quilt_nn	4.0	 	annotator2
79_quilt_nn	4.0	 	annotator2
80_quilt_nn	4.0	 	annotator2
81_quilt_nn	4.0	 	annotator2
82_quilt_nn	4.0	 	annotator2
83_quilt_nn	4.0	 	annotator2
84_quilt_nn	4.0	 	annotator2
85_quilt_nn	4.0	 	annotator2
86_quilt_nn	4.0	 	annotator2
87_quilt_nn	4.0	 	annotator2
88_quilt_nn	4.0	 	annotator2
89_quilt_nn	4.0	 	annotator2
90_quilt_nn	4.0	 	annotator2
91_quilt_nn	4.0	 	annotator2
92_quilt_nn	4.0	 	annotator2
