instanceID	label	comment	annotator
1021	organise	-	C
1022	organise	-	C
1023	tell	-	C
1024	organise	-	C
1025	command	-	C
1026	organise	-	C
1027	request	-	C
1028	command	-	C
1029	organise	-	C
1030	confirm	-	C
1021	sequence	-	A
1022	purchase	-	A
1023	instruct	-	A
1024	arrange	-	A
1025	command	-	A
1026	organize	-	A
1027	purchase	-	A
1028	demand	-	A
1029	sequence	-	A
1030	instruct	-	A
1021	sort	-	F
1022	procure	-	F
1023	command	-	F
1024	sort	-	F
1025	command	-	F
1026	sort	-	F
1027	procure	-	F
1028	command	-	F
1029	sort	-	F
1030	command	-	F
1021	list	-	G
1022	book	-	G
1023	tell	-	G
1024	instruct	-	G
1025	command	-	G
1026	organize	-	G
1027	request	-	G
1028	instruct	-	G
1029	organize	-	G
1030	request	-	G
1021	sort	-	D
1022	purchase	-	D
1023	tell	-	D
1024	sort	-	D
1025	send	-	D
1026	manage	-	D
1027	purchase	-	D
1028	instruct	-	D
1029	date	-	D
1030	ask for	-	D
1021	list	-	H
1022	request	-	H
1023	intruct	-	H
1024	organise	-	H
1025	command	-	H
1026	organise	-	H
1027	request	-	H
1028	command	-	H
1029	list	-	H
1030	command	-	H
1021	list	-	I
1022	purchase	-	I
1023	tell	-	I
1024	arrange	-	I
1025	command	-	I
1026	arrange	-	I
1027	purchase	-	I
1028	command	-	I
1029	arrange	-	I
1030	command	-	I
1021	arrange	-	J
1022	request	-	J
1023	command	-	J
1024	arrange	-	J
1025	command	-	J
1026	regulate	-	J
1027	request	-	J
1028	command	-	J
1029	arrange	-	J
1030	authorise	-	J
