instanceID	label	comment	annotator
sense0,2532889X_1988-08-20_01_267.tcf.xml-12-30	0	-	annotatorA
sense1,2532889X_1988-08-20_01_267.tcf.xml-12-30	1	metaphorisch	annotatorA
sense2,2532889X_1988-08-20_01_267.tcf.xml-12-30	0	-	annotatorA
sense0,26120215_1982_11_29_01_097.tcf.xml-47-17	0	-	annotatorA
sense1,26120215_1982_11_29_01_097.tcf.xml-47-17	1	-	annotatorA
sense2,26120215_1982_11_29_01_097.tcf.xml-47-17	0	-	annotatorA
sense0,2532889X_1987-01-26_01_063.tcf.xml-22-22	0	-	annotatorA
sense1,2532889X_1987-01-26_01_063.tcf.xml-22-22	1	-	annotatorA
sense2,2532889X_1987-01-26_01_063.tcf.xml-22-22	0	-	annotatorA
sense0,goerres_volksbuecher_1807-152-102	0	-	annotatorA
sense1,goerres_volksbuecher_1807-152-102	1	-	annotatorA
sense2,goerres_volksbuecher_1807-152-102	0	-	annotatorA
sense0,nn_nrhz090_1848-614-7	0	-	annotatorA
sense1,nn_nrhz090_1848-614-7	0	-	annotatorA
sense2,nn_nrhz090_1848-614-7	1	-	annotatorA
sense0,blumenbach_anatomie_1815-806-31	0	-	annotatorA
sense1,blumenbach_anatomie_1815-806-31	0	-	annotatorA
sense2,blumenbach_anatomie_1815-806-31	1	-	annotatorA
sense0,26120215_1988_08_20_01_052.tcf.xml-20-32	0	-	annotatorA
sense1,26120215_1988_08_20_01_052.tcf.xml-20-32	1	-	annotatorA
sense2,26120215_1988_08_20_01_052.tcf.xml-20-32	0	-	annotatorA
sense0,munzinger_japaner_1898-466-14	0	-	annotatorA
sense1,munzinger_japaner_1898-466-14	1	-	annotatorA
sense2,munzinger_japaner_1898-466-14	0	-	annotatorA
sense0,vischer_aesthetik030204_1857-1991-49	0	-	annotatorA
sense1,vischer_aesthetik030204_1857-1991-49	1	-	annotatorA
sense2,vischer_aesthetik030204_1857-1991-49	0	-	annotatorA
sense0,goethe_farbenlehre01_1810-4726-57	0	-	annotatorA
sense1,goethe_farbenlehre01_1810-4726-57	1	-	annotatorA
sense2,goethe_farbenlehre01_1810-4726-57	0	-	annotatorA
sense0,26120215_1973_08_31_01_082.tcf.xml-4-24	0	-	annotatorA
sense1,26120215_1973_08_31_01_082.tcf.xml-4-24	1	-	annotatorA
sense2,26120215_1973_08_31_01_082.tcf.xml-4-24	0	-	annotatorA
sense0,2532889X_1982-11-11_01_053.tcf.xml-14-7	0	-	annotatorA
sense1,2532889X_1982-11-11_01_053.tcf.xml-14-7	1	-	annotatorA
sense2,2532889X_1982-11-11_01_053.tcf.xml-14-7	0	-	annotatorA
sense0,blumenbach_anatomie2_1805-776-31	0	-	annotatorA
sense1,blumenbach_anatomie2_1805-776-31	0	-	annotatorA
sense2,blumenbach_anatomie2_1805-776-31	1	-	annotatorA
sense0,vischer_aesthetik030204_1857-537-2	0	-	annotatorA
sense1,vischer_aesthetik030204_1857-537-2	1	-	annotatorA
sense2,vischer_aesthetik030204_1857-537-2	0	-	annotatorA
sense0,treviranus_biologie03_1805-380-35	0	-	annotatorA
sense1,treviranus_biologie03_1805-380-35	0	-	annotatorA
sense2,treviranus_biologie03_1805-380-35	1	-	annotatorA
sense0,clodius_poetik01_1804-3105-11	0	-	annotatorA
sense1,clodius_poetik01_1804-3105-11	1	-	annotatorA
sense2,clodius_poetik01_1804-3105-11	0	-	annotatorA
sense0,26120215_1972_08_21_01_116.tcf.xml-14-27	0	-	annotatorA
sense1,26120215_1972_08_21_01_116.tcf.xml-14-27	1	-	annotatorA
sense2,26120215_1972_08_21_01_116.tcf.xml-14-27	0	-	annotatorA
sense0,beyer_poetik01_1882-7479-21	0	-	annotatorA
sense1,beyer_poetik01_1882-7479-21	1	-	annotatorA
sense2,beyer_poetik01_1882-7479-21	0	-	annotatorA
sense0,26120215_1988_07_30_01_137.tcf.xml-5-23	0	-	annotatorA
sense1,26120215_1988_07_30_01_137.tcf.xml-5-23	1	-	annotatorA
sense2,26120215_1988_07_30_01_137.tcf.xml-5-23	0	-	annotatorA
sense0,26120215_1989_07_29_01_027.tcf.xml-44-1	0	-	annotatorA
sense1,26120215_1989_07_29_01_027.tcf.xml-44-1	1	-	annotatorA
sense2,26120215_1989_07_29_01_027.tcf.xml-44-1	0	-	annotatorA
sense0,26120215_1990_04_07_01_173.tcf.xml-55-0	0	-	annotatorA
sense1,26120215_1990_04_07_01_173.tcf.xml-55-0	0	-	annotatorA
sense2,26120215_1990_04_07_01_173.tcf.xml-55-0	1	-	annotatorA
sense0,2532889X_1981-06-09_01_110.tcf.xml-14-1	0	-	annotatorA
sense1,2532889X_1981-06-09_01_110.tcf.xml-14-1	1	-	annotatorA
sense2,2532889X_1981-06-09_01_110.tcf.xml-14-1	0	-	annotatorA
sense0,2532889X_1966-07-09_01_121.tcf.xml-18-14	0	-	annotatorA
sense1,2532889X_1966-07-09_01_121.tcf.xml-18-14	1	-	annotatorA
sense2,2532889X_1966-07-09_01_121.tcf.xml-18-14	0	-	annotatorA
sense0,blumenbach_knochen_1807-1442-28	0	-	annotatorA
sense1,blumenbach_knochen_1807-1442-28	0	-	annotatorA
sense2,blumenbach_knochen_1807-1442-28	1	-	annotatorA
sense0,2532889X_1985-12-07_01_368.tcf.xml-21-8	0	-	annotatorA
sense1,2532889X_1985-12-07_01_368.tcf.xml-21-8	1	-	annotatorA
sense2,2532889X_1985-12-07_01_368.tcf.xml-21-8	0	-	annotatorA
sense0,2532889X_1987-09-18_01_055.tcf.xml-5-5	0	-	annotatorA
sense1,2532889X_1987-09-18_01_055.tcf.xml-5-5	1	-	annotatorA
sense2,2532889X_1987-09-18_01_055.tcf.xml-5-5	0	-	annotatorA
sense0,blumenbach_anatomie2_1805-645-20	0	-	annotatorA
sense1,blumenbach_anatomie2_1805-645-20	0	-	annotatorA
sense2,blumenbach_anatomie2_1805-645-20	1	-	annotatorA
sense0,26120215_1976_12_07_01_188.tcf.xml-12-11	0	-	annotatorA
sense1,26120215_1976_12_07_01_188.tcf.xml-12-11	1	-	annotatorA
sense2,26120215_1976_12_07_01_188.tcf.xml-12-11	0	-	annotatorA
sense0,vogt_briefe02_1851-5741-27	0	-	annotatorA
sense1,vogt_briefe02_1851-5741-27	1	-	annotatorA
sense2,vogt_briefe02_1851-5741-27	0	-	annotatorA
sense0,2532889X_1990-01-17_01_045.tcf.xml-71-15	0	-	annotatorA
sense1,2532889X_1990-01-17_01_045.tcf.xml-71-15	1	-	annotatorA
sense2,2532889X_1990-01-17_01_045.tcf.xml-71-15	0	-	annotatorA
sense0,treviranus_biologie06_1822-2300-25	0	-	annotatorA
sense1,treviranus_biologie06_1822-2300-25	0	-	annotatorA
sense2,treviranus_biologie06_1822-2300-25	1	-	annotatorA
sense0,26120215_1990_01_11_01_089.tcf.xml-68-1	0	-	annotatorA
sense1,26120215_1990_01_11_01_089.tcf.xml-68-1	1	-	annotatorA
sense2,26120215_1990_01_11_01_089.tcf.xml-68-1	0	-	annotatorA
sense0,2532889X_1981-03-21_01_043.tcf.xml-24-31	0	-	annotatorA
sense1,2532889X_1981-03-21_01_043.tcf.xml-24-31	1	-	annotatorA
sense2,2532889X_1981-03-21_01_043.tcf.xml-24-31	0	-	annotatorA
sense0,holtei_vagabunden02_1852-1389-8	0	-	annotatorA
sense1,holtei_vagabunden02_1852-1389-8	1	-	annotatorA
