instanceID	label	comment	annotator
0_record_nn	2.0	 	annotator2
1_record_nn	4.0	 	annotator2
2_record_nn	4.0	 	annotator2
3_record_nn	4.0	 	annotator2
4_record_nn	4.0	 	annotator2
5_record_nn	4.0	 	annotator2
6_record_nn	1.0	 	annotator2
7_record_nn	3.0	 	annotator2
8_record_nn	2.0	 	annotator2
9_record_nn	3.0	 	annotator2
10_record_nn	1.0	 	annotator2
11_record_nn	2.0	 	annotator2
12_record_nn	2.0	 	annotator2
13_record_nn	4.0	 	annotator2
14_record_nn	2.0	 	annotator2
15_record_nn	1.0	 	annotator2
16_record_nn	4.0	 	annotator2
17_record_nn	1.0	 	annotator2
18_record_nn	1.0	 	annotator2
19_record_nn	3.0	 	annotator2
20_record_nn	1.0	 	annotator2
21_record_nn	3.0	 	annotator2
22_record_nn	2.0	 	annotator2
23_record_nn	2.0	 	annotator2
24_record_nn	3.0	 	annotator2
25_record_nn	3.0	 	annotator2
26_record_nn	2.0	 	annotator2
27_record_nn	1.0	 	annotator2
28_record_nn	1.0	 	annotator2
29_record_nn	1.0	 	annotator2
30_record_nn	4.0	 	annotator2
31_record_nn	1.0	 	annotator2
32_record_nn	4.0	 	annotator2
33_record_nn	3.0	 	annotator2
34_record_nn	2.0	 	annotator2
35_record_nn	4.0	 	annotator2
36_record_nn	2.0	 	annotator2
37_record_nn	4.0	 	annotator2
38_record_nn	1.0	 	annotator2
39_record_nn	2.0	 	annotator2
40_record_nn	4.0	 	annotator2
41_record_nn	4.0	 	annotator2
42_record_nn	2.0	 	annotator2
43_record_nn	2.0	 	annotator6
44_record_nn	2.0	 	annotator6
45_record_nn	2.0	 	annotator6
46_record_nn	2.0	 	annotator6
47_record_nn	4.0	 	annotator6
48_record_nn	2.0	 	annotator6
27_record_nn	2.0	 	annotator6
49_record_nn	2.0	 	annotator6
50_record_nn	2.0	 	annotator6
51_record_nn	3.0	 	annotator6
52_record_nn	2.0	 	annotator6
53_record_nn	4.0	 	annotator6
54_record_nn	2.0	 	annotator6
21_record_nn	2.0	 	annotator6
55_record_nn	2.0	 	annotator6
56_record_nn	4.0	 	annotator6
57_record_nn	4.0	 	annotator6
58_record_nn	4.0	 	annotator6
59_record_nn	3.0	 	annotator6
60_record_nn	2.0	 	annotator6
61_record_nn	3.0	 	annotator6
25_record_nn	3.0	 	annotator6
62_record_nn	2.0	 	annotator6
63_record_nn	2.0	 	annotator6
34_record_nn	2.0	 	annotator6
64_record_nn	4.0	 	annotator6
41_record_nn	4.0	 	annotator6
65_record_nn	2.0	 	annotator6
66_record_nn	3.0	 	annotator6
67_record_nn	3.0	 	annotator6
68_record_nn	3.0	 	annotator6
69_record_nn	4.0	 	annotator6
70_record_nn	3.0	 	annotator6
71_record_nn	3.0	 	annotator6
72_record_nn	4.0	 	annotator6
73_record_nn	4.0	 	annotator6
74_record_nn	2.0	 	annotator6
75_record_nn	4.0	 	annotator6
76_record_nn	3.0	 	annotator6
77_record_nn	2.0	 	annotator6
78_record_nn	2.0	 	annotator6
79_record_nn	3.0	 	annotator6
80_record_nn	2.0	 	annotator6
81_record_nn	4.0	 	annotator6
17_record_nn	2.0	 	annotator6
82_record_nn	2.0	 	annotator6
83_record_nn	2.0	 	annotator6
84_record_nn	4.0	 	annotator6
85_record_nn	4.0	 	annotator6
86_record_nn	2.0	 	annotator5
87_record_nn	4.0	 	annotator5
63_record_nn	2.0	 	annotator5
88_record_nn	2.0	 	annotator5
89_record_nn	2.0	 	annotator5
90_record_nn	2.0	 	annotator5
91_record_nn	4.0	 	annotator5
92_record_nn	2.0	 	annotator5
93_record_nn	3.0	 	annotator5
94_record_nn	3.0	 	annotator5
0_record_nn	3.0	 	annotator5
95_record_nn	2.0	 	annotator5
96_record_nn	3.0	 	annotator5
97_record_nn	2.0	 	annotator5
98_record_nn	3.0	 	annotator5
99_record_nn	3.0	 	annotator5
27_record_nn	2.0	 	annotator5
17_record_nn	2.0	 	annotator5
100_record_nn	2.0	 	annotator5
16_record_nn	4.0	 	annotator5
101_record_nn	2.0	 	annotator5
102_record_nn	2.0	 	annotator5
103_record_nn	3.0	 	annotator5
104_record_nn	2.0	 	annotator5
105_record_nn	2.0	 	annotator5
106_record_nn	4.0	 	annotator5
107_record_nn	4.0	 	annotator5
108_record_nn	3.0	 	annotator5
109_record_nn	2.0	 	annotator5
110_record_nn	2.0	 	annotator5
111_record_nn	3.0	 	annotator5
112_record_nn	2.0	 	annotator5
113_record_nn	2.0	 	annotator5
78_record_nn	2.0	 	annotator5
114_record_nn	2.0	 	annotator5
115_record_nn	2.0	 	annotator5
56_record_nn	4.0	 	annotator5
116_record_nn	4.0	 	annotator5
