instanceID	label	comment	annotator
sense0,2532889X_1958-11-05_01_013.tcf.xml-12-20	1	Dominik: moved this comment from headline: Der Sense in C hört sich an wie eine Teilmenge von dem Sense in B.	annotatorA
sense1,2532889X_1958-11-05_01_013.tcf.xml-12-20	0	-	annotatorA
sense2,2532889X_1958-11-05_01_013.tcf.xml-12-20	0	-	annotatorA
sense0,quenstedt_mineralogie_1854-6215-6	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense1,quenstedt_mineralogie_1854-6215-6	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense2,quenstedt_mineralogie_1854-6215-6	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense0,2532889X_1950-03-29_01_082.tcf.xml-6-48	1	-	annotatorA
sense1,2532889X_1950-03-29_01_082.tcf.xml-6-48	0	-	annotatorA
sense2,2532889X_1950-03-29_01_082.tcf.xml-6-48	0	-	annotatorA
sense0,2532889X_1961-05-15_01_041.tcf.xml-98-27	1	-	annotatorA
sense1,2532889X_1961-05-15_01_041.tcf.xml-98-27	0	-	annotatorA
sense2,2532889X_1961-05-15_01_041.tcf.xml-98-27	0	-	annotatorA
sense0,ledebur_eisenhuettenkunde_1884-14016-15	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense1,ledebur_eisenhuettenkunde_1884-14016-15	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense2,ledebur_eisenhuettenkunde_1884-14016-15	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense0,paul_katzenberger01_1809-1358-66	1	-	annotatorA
sense1,paul_katzenberger01_1809-1358-66	0	-	annotatorA
sense2,paul_katzenberger01_1809-1358-66	0	-	annotatorA
sense0,2532889X_1952-12-04_01_034.tcf.xml-131-16	1	-	annotatorA
sense1,2532889X_1952-12-04_01_034.tcf.xml-131-16	0	-	annotatorA
sense2,2532889X_1952-12-04_01_034.tcf.xml-131-16	0	-	annotatorA
sense0,gutzkow_zeitgenossen01_1842-1175-5	0	-	annotatorA
sense1,gutzkow_zeitgenossen01_1842-1175-5	1	-	annotatorA
sense2,gutzkow_zeitgenossen01_1842-1175-5	0	-	annotatorA
sense0,2532889X_1986-04-05_01_411.tcf.xml-34-14	1	-	annotatorA
sense1,2532889X_1986-04-05_01_411.tcf.xml-34-14	0	-	annotatorA
sense2,2532889X_1986-04-05_01_411.tcf.xml-34-14	0	-	annotatorA
sense0,2532889X_1948-02-11_01_009.tcf.xml-174-75	1	-	annotatorA
sense1,2532889X_1948-02-11_01_009.tcf.xml-174-75	0	-	annotatorA
sense2,2532889X_1948-02-11_01_009.tcf.xml-174-75	0	-	annotatorA
sense0,26120215_1981_05_02_01_139.tcf.xml-6-8	0	-	annotatorA
sense1,26120215_1981_05_02_01_139.tcf.xml-6-8	1	-	annotatorA
sense2,26120215_1981_05_02_01_139.tcf.xml-6-8	0	-	annotatorA
sense0,2532889X_1972-09-23_01_175.tcf.xml-5-16	1	-	annotatorA
sense1,2532889X_1972-09-23_01_175.tcf.xml-5-16	0	-	annotatorA
sense2,2532889X_1972-09-23_01_175.tcf.xml-5-16	0	-	annotatorA
sense0,2532889X_1973-07-12_01_153.tcf.xml-60-34	1	-	annotatorA
sense1,2532889X_1973-07-12_01_153.tcf.xml-60-34	0	-	annotatorA
sense2,2532889X_1973-07-12_01_153.tcf.xml-60-34	0	-	annotatorA
sense0,quenstedt_mineralogie_1854-7202-21	1	-	annotatorA
sense1,quenstedt_mineralogie_1854-7202-21	0	-	annotatorA
sense2,quenstedt_mineralogie_1854-7202-21	0	-	annotatorA
sense0,kerl_metallurgische_1866-4246-28	1	-	annotatorA
sense1,kerl_metallurgische_1866-4246-28	0	-	annotatorA
sense2,kerl_metallurgische_1866-4246-28	0	-	annotatorA
sense0,2532889X_1948-10-15_01_038.tcf.xml-20-16	1	-	annotatorA
sense1,2532889X_1948-10-15_01_038.tcf.xml-20-16	0	-	annotatorA
sense2,2532889X_1948-10-15_01_038.tcf.xml-20-16	0	-	annotatorA
sense0,samter_erfindungen_1896-8919-24	1	-	annotatorA
sense1,samter_erfindungen_1896-8919-24	0	-	annotatorA
sense2,samter_erfindungen_1896-8919-24	0	-	annotatorA
sense0,urbanitzky_electricitaet_1885-4651-33	1	-	annotatorA
sense1,urbanitzky_electricitaet_1885-4651-33	0	-	annotatorA
sense2,urbanitzky_electricitaet_1885-4651-33	0	-	annotatorA
sense0,2532889X_1949-09-08_01_010.tcf.xml-5-12	1	-	annotatorA
sense1,2532889X_1949-09-08_01_010.tcf.xml-5-12	0	-	annotatorA
sense2,2532889X_1949-09-08_01_010.tcf.xml-5-12	0	-	annotatorA
sense0,beck_eisen04_1899-14550-30	0	-	annotatorA
sense1,beck_eisen04_1899-14550-30	1	-	annotatorA
sense2,beck_eisen04_1899-14550-30	0	-	annotatorA
sense0,2532889X_1965-09-18_01_056.tcf.xml-21-34	1	-	annotatorA
sense1,2532889X_1965-09-18_01_056.tcf.xml-21-34	0	-	annotatorA
sense2,2532889X_1965-09-18_01_056.tcf.xml-21-34	0	-	annotatorA
sense0,2532889X_1968-10-26_01_124.tcf.xml-94-17	1	-	annotatorA
sense1,2532889X_1968-10-26_01_124.tcf.xml-94-17	0	-	annotatorA
sense2,2532889X_1968-10-26_01_124.tcf.xml-94-17	0	-	annotatorA
sense0,liebig_agricultur_1840-218-49	1	-	annotatorA
sense1,liebig_agricultur_1840-218-49	0	-	annotatorA
sense2,liebig_agricultur_1840-218-49	0	-	annotatorA
sense0,26120215_1968_11_26_01_253.tcf.xml-4-17	1	-	annotatorA
sense1,26120215_1968_11_26_01_253.tcf.xml-4-17	0	-	annotatorA
sense2,26120215_1968_11_26_01_253.tcf.xml-4-17	0	-	annotatorA
sense0,2532889X_1984-10-27_01_180.tcf.xml-1-11	1	-	annotatorA
sense1,2532889X_1984-10-27_01_180.tcf.xml-1-11	0	-	annotatorA
sense2,2532889X_1984-10-27_01_180.tcf.xml-1-11	0	-	annotatorA
sense0,quenstedt_mineralogie_1854-11674-36	1	-	annotatorA
sense1,quenstedt_mineralogie_1854-11674-36	0	-	annotatorA
sense2,quenstedt_mineralogie_1854-11674-36	0	-	annotatorA
sense0,quenstedt_mineralogie_1854-11874-1	1	-	annotatorA
sense1,quenstedt_mineralogie_1854-11874-1	0	-	annotatorA
sense2,quenstedt_mineralogie_1854-11874-1	0	-	annotatorA
sense0,griesinger_psychische_1845-572-34	1	-	annotatorA
sense1,griesinger_psychische_1845-572-34	0	-	annotatorA
sense2,griesinger_psychische_1845-572-34	0	-	annotatorA
sense0,mommsen_roemische03_1856-4692-12	1	-	annotatorA
sense1,mommsen_roemische03_1856-4692-12	0	-	annotatorA
sense2,mommsen_roemische03_1856-4692-12	0	-	annotatorA
sense0,schleiden_pflanze_1848-1508-22	1	-	annotatorA
sense1,schleiden_pflanze_1848-1508-22	0	-	annotatorA
sense2,schleiden_pflanze_1848-1508-22	0	-	annotatorA
sense0,2532889X_1948-08-08_01_035.tcf.xml-369-60	1	-	annotatorA
sense1,2532889X_1948-08-08_01_035.tcf.xml-369-60	0	-	annotatorA
sense2,2532889X_1948-08-08_01_035.tcf.xml-369-60	0	-	annotatorA
sense0,2532889X_1987-10-24_01_365.tcf.xml-5-1	1	-	annotatorA
sense1,2532889X_1987-10-24_01_365.tcf.xml-5-1	0	-	annotatorA
sense2,2532889X_1987-10-24_01_365.tcf.xml-5-1	0	-	annotatorA
sense0,2532889X_1960-07-06_01_172.tcf.xml-206-17	1	-	annotatorA
sense1,2532889X_1960-07-06_01_172.tcf.xml-206-17	0	-	annotatorA
sense2,2532889X_1960-07-06_01_172.tcf.xml-206-17	0	-	annotatorA
sense0,2532889X_1969-04-19_01_193.tcf.xml-2-20	1	-	annotatorA
sense1,2532889X_1969-04-19_01_193.tcf.xml-2-20	0	-	annotatorA
sense2,2532889X_1969-04-19_01_193.tcf.xml-2-20	0	-	annotatorA
sense0,2532889X_1976-11-13_01_450.tcf.xml-16-15	1	-	annotatorA
sense1,2532889X_1976-11-13_01_450.tcf.xml-16-15	0	-	annotatorA
sense2,2532889X_1976-11-13_01_450.tcf.xml-16-15	0	-	annotatorA
sense0,darwin_pflanzen_1876-6353-6	1	-	annotatorA
sense1,darwin_pflanzen_1876-6353-6	0	-	annotatorA
sense2,darwin_pflanzen_1876-6353-6	0	-	annotatorA
sense0,26120215_1973_07_08_01_244.tcf.xml-2-4	1	-	annotatorA
sense1,26120215_1973_07_08_01_244.tcf.xml-2-4	0	-	annotatorA
sense2,26120215_1973_07_08_01_244.tcf.xml-2-4	0	-	annotatorA
sense0,humboldt_aequinoktial01_1859-3347-78	1	-	annotatorA
sense1,humboldt_aequinoktial01_1859-3347-78	0	-	annotatorA
sense2,humboldt_aequinoktial01_1859-3347-78	0	-	annotatorA
sense0,treviranus_biologie04_1814-4295-33	1	-	annotatorA
sense1,treviranus_biologie04_1814-4295-33	0	-	annotatorA
sense2,treviranus_biologie04_1814-4295-33	0	-	annotatorA
sense0,liebig_agricultur_1840-1742-66	1	-	annotatorA
sense1,liebig_agricultur_1840-1742-66	0	-	annotatorA
sense2,liebig_agricultur_1840-1742-66	0	-	annotatorA
sense0,curtius_alterthum01_1875-2280-20	1	-	annotatorA
sense1,curtius_alterthum01_1875-2280-20	0	-	annotatorA
sense2,curtius_alterthum01_1875-2280-20	0	-	annotatorA
sense0,thaer_landwirthschaft04_1812-2451-11	1	-	annotatorA
sense1,thaer_landwirthschaft04_1812-2451-11	0	-	annotatorA
sense2,thaer_landwirthschaft04_1812-2451-11	0	-	annotatorA
sense0,2532889X_1953-11-21_01_040.tcf.xml-49-28	1	-	annotatorA
sense1,2532889X_1953-11-21_01_040.tcf.xml-49-28	0	-	annotatorA
sense2,2532889X_1953-11-21_01_040.tcf.xml-49-28	0	-	annotatorA
sense0,thaer_landwirthschaft02_1810-2279-27	1	-	annotatorA
sense1,thaer_landwirthschaft02_1810-2279-27	0	-	annotatorA
sense2,thaer_landwirthschaft02_1810-2279-27	0	-	annotatorA
sense0,2532889X_1951-02-28_01_035.tcf.xml-19-30	1	-	annotatorA
sense1,2532889X_1951-02-28_01_035.tcf.xml-19-30	0	-	annotatorA
sense2,2532889X_1951-02-28_01_035.tcf.xml-19-30	0	-	annotatorA
sense0,2532889X_1953-02-08_01_037.tcf.xml-142-13	1	-	annotatorA
sense1,2532889X_1953-02-08_01_037.tcf.xml-142-13	0	-	annotatorA
sense2,2532889X_1953-02-08_01_037.tcf.xml-142-13	0	-	annotatorA
sense0,thaer_landwirthschaft02_1810-4102-27	1	-	annotatorA
sense1,thaer_landwirthschaft02_1810-4102-27	0	-	annotatorA
sense2,thaer_landwirthschaft02_1810-4102-27	0	-	annotatorA
sense0,lasswitz_seife_1890-606-28	1	-	annotatorA
sense1,lasswitz_seife_1890-606-28	0	-	annotatorA
