instanceID	label	comment	annotator
0_bit_nn	1.0	 	annotator2
1_bit_nn	1.0	 	annotator2
2_bit_nn	1.0	 	annotator2
3_bit_nn	1.0	 	annotator2
4_bit_nn	1.0	 	annotator2
5_bit_nn	1.0	 	annotator2
6_bit_nn	1.0	 	annotator2
7_bit_nn	1.0	 	annotator2
8_bit_nn	1.0	 	annotator2
9_bit_nn	3.0	 	annotator2
10_bit_nn	1.0	 	annotator2
11_bit_nn	1.0	 	annotator2
12_bit_nn	4.0	 	annotator2
13_bit_nn	3.0	 	annotator2
14_bit_nn	2.0	 	annotator2
15_bit_nn	3.0	 	annotator2
16_bit_nn	3.0	 	annotator2
17_bit_nn	1.0	 	annotator2
18_bit_nn	4.0	 	annotator2
19_bit_nn	1.0	 	annotator2
20_bit_nn	1.0	 	annotator2
21_bit_nn	1.0	 	annotator2
22_bit_nn	1.0	 	annotator2
23_bit_nn	1.0	 	annotator2
24_bit_nn	1.0	 	annotator2
25_bit_nn	1.0	 	annotator2
26_bit_nn	2.0	 	annotator2
27_bit_nn	1.0	 	annotator2
28_bit_nn	1.0	 	annotator2
29_bit_nn	1.0	 	annotator2
30_bit_nn	1.0	 	annotator2
31_bit_nn	3.0	 	annotator2
32_bit_nn	1.0	 	annotator2
33_bit_nn	1.0	 	annotator2
34_bit_nn	1.0	 	annotator2
35_bit_nn	2.0	 	annotator2
36_bit_nn	1.0	 	annotator2
37_bit_nn	1.0	 	annotator2
38_bit_nn	1.0	 	annotator2
39_bit_nn	4.0	 	annotator2
40_bit_nn	1.0	 	annotator2
41_bit_nn	1.0	 	annotator2
42_bit_nn	1.0	 	annotator2
43_bit_nn	3.0	 	annotator2
44_bit_nn	1.0	 	annotator2
45_bit_nn	2.0	 	annotator2
46_bit_nn	1.0	 	annotator2
47_bit_nn	4.0	 	annotator2
48_bit_nn	1.0	 	annotator2
49_bit_nn	1.0	 	annotator2
50_bit_nn	2.0	 	annotator2
51_bit_nn	1.0	 	annotator2
52_bit_nn	3.0	 	annotator2
53_bit_nn	3.0	 	annotator2
54_bit_nn	1.0	 	annotator2
55_bit_nn	1.0	 	annotator2
56_bit_nn	1.0	 	annotator2
57_bit_nn	1.0	 	annotator2
58_bit_nn	3.0	 	annotator2
59_bit_nn	1.0	 	annotator2
60_bit_nn	1.0	 	annotator2
61_bit_nn	1.0	 	annotator2
62_bit_nn	1.0	 	annotator2
63_bit_nn	3.0	 	annotator2
64_bit_nn	1.0	 	annotator2
65_bit_nn	1.0	 	annotator2
66_bit_nn	1.0	 	annotator2
67_bit_nn	1.0	 	annotator2
68_bit_nn	2.0	 	annotator2
69_bit_nn	1.0	 	annotator2
70_bit_nn	1.0	 	annotator2
71_bit_nn	1.0	 	annotator2
72_bit_nn	1.0	 	annotator2
73_bit_nn	1.0	 	annotator2
74_bit_nn	1.0	 	annotator2
75_bit_nn	1.0	 	annotator2
76_bit_nn	2.0	 	annotator2
77_bit_nn	1.0	 	annotator2
78_bit_nn	1.0	 	annotator2
79_bit_nn	1.0	 	annotator2
80_bit_nn	3.0	 	annotator2
81_bit_nn	2.0	 	annotator6
82_bit_nn	1.0	 	annotator6
83_bit_nn	1.0	 	annotator6
84_bit_nn	1.0	 	annotator6
85_bit_nn	1.0	 	annotator6
86_bit_nn	1.0	 	annotator6
87_bit_nn	3.0	 	annotator6
88_bit_nn	1.0	 	annotator6
89_bit_nn	3.0	 	annotator6
90_bit_nn	1.0	 	annotator6
91_bit_nn	1.0	 	annotator6
92_bit_nn	1.0	 	annotator6
93_bit_nn	1.0	 	annotator6
94_bit_nn	1.0	 	annotator6
95_bit_nn	3.0	 	annotator6
96_bit_nn	3.0	 	annotator6
97_bit_nn	2.0	 	annotator6
9_bit_nn	4.0	 	annotator6
98_bit_nn	2.0	 	annotator6
99_bit_nn	3.0	 	annotator6
100_bit_nn	1.0	 	annotator6
101_bit_nn	1.0	 	annotator6
102_bit_nn	1.0	 	annotator6
61_bit_nn	2.0	 	annotator6
103_bit_nn	4.0	 	annotator6
104_bit_nn	2.0	 	annotator6
105_bit_nn	4.0	 	annotator6
106_bit_nn	1.0	 	annotator6
107_bit_nn	1.0	 	annotator6
108_bit_nn	1.0	 	annotator6
109_bit_nn	1.0	 	annotator6
110_bit_nn	1.0	 	annotator6
111_bit_nn	1.0	 	annotator6
112_bit_nn	1.0	 	annotator6
113_bit_nn	1.0	 	annotator6
114_bit_nn	1.0	 	annotator6
115_bit_nn	2.0	 	annotator6
116_bit_nn	1.0	 	annotator6
117_bit_nn	3.0	 	annotator6
78_bit_nn	3.0	 	annotator6
118_bit_nn	3.0	 	annotator6
70_bit_nn	3.0	 	annotator6
119_bit_nn	1.0	 	annotator6
120_bit_nn	3.0	 	annotator6
121_bit_nn	1.0	 	annotator6
122_bit_nn	3.0	 	annotator6
123_bit_nn	1.0	 	annotator6
124_bit_nn	1.0	 	annotator6
125_bit_nn	3.0	 	annotator6
126_bit_nn	3.0	 	annotator6
127_bit_nn	2.0	 	annotator6
128_bit_nn	1.0	 	annotator6
129_bit_nn	2.0	 	annotator6
130_bit_nn	3.0	 	annotator6
131_bit_nn	4.0	 	annotator6
132_bit_nn	2.0	 	annotator6
67_bit_nn	1.0	 	annotator6
133_bit_nn	1.0	 	annotator6
134_bit_nn	2.0	 	annotator6
135_bit_nn	1.0	 	annotator6
136_bit_nn	1.0	 	annotator6
137_bit_nn	2.0	 	annotator6
13_bit_nn	3.0	 	annotator6
138_bit_nn	4.0	 	annotator6
139_bit_nn	1.0	 	annotator6
140_bit_nn	1.0	 	annotator6
141_bit_nn	1.0	 	annotator6
142_bit_nn	3.0	 	annotator6
143_bit_nn	1.0	 	annotator6
144_bit_nn	3.0	 	annotator6
145_bit_nn	2.0	 	annotator6
146_bit_nn	3.0	 	annotator6
59_bit_nn	1.0	 	annotator6
147_bit_nn	2.0	 	annotator6
29_bit_nn	1.0	 	annotator6
148_bit_nn	2.0	 	annotator6
149_bit_nn	4.0	 	annotator6
150_bit_nn	2.0	 	annotator6
74_bit_nn	2.0	 	annotator6
64_bit_nn	2.0	 	annotator6
151_bit_nn	1.0	 	annotator6
152_bit_nn	2.0	 	annotator6
153_bit_nn	2.0	 	annotator6
154_bit_nn	1.0	 	annotator6
155_bit_nn	2.0	 	annotator6
156_bit_nn	1.0	 	annotator6
157_bit_nn	1.0	 	annotator6
158_bit_nn	2.0	 	annotator6
159_bit_nn	1.0	 	annotator6
160_bit_nn	2.0	 	annotator6
161_bit_nn	3.0	 	annotator6
162_bit_nn	3.0	 	annotator6
163_bit_nn	1.0	 	annotator6
164_bit_nn	1.0	 	annotator6
165_bit_nn	4.0	 	annotator5
166_bit_nn	2.0	 	annotator5
167_bit_nn	2.0	 	annotator5
168_bit_nn	1.0	 	annotator5
169_bit_nn	1.0	 	annotator5
83_bit_nn	4.0	 	annotator5
154_bit_nn	2.0	 	annotator5
170_bit_nn	1.0	 	annotator5
171_bit_nn	3.0	 	annotator5
172_bit_nn	2.0	 	annotator5
173_bit_nn	1.0	 	annotator5
174_bit_nn	2.0	 	annotator5
175_bit_nn	1.0	 	annotator5
176_bit_nn	2.0	 	annotator5
177_bit_nn	3.0	 	annotator5
29_bit_nn	1.0	 	annotator5
178_bit_nn	1.0	 	annotator5
61_bit_nn	2.0	 	annotator5
179_bit_nn	3.0	 	annotator5
180_bit_nn	3.0	 	annotator5
181_bit_nn	1.0	 	annotator5
182_bit_nn	1.0	 	annotator5
183_bit_nn	1.0	 	annotator5
184_bit_nn	2.0	 	annotator5
139_bit_nn	1.0	 	annotator5
87_bit_nn	1.0	 	annotator5
185_bit_nn	1.0	 	annotator5
186_bit_nn	2.0	 	annotator5
187_bit_nn	2.0	 	annotator5
188_bit_nn	1.0	 	annotator5
189_bit_nn	1.0	 	annotator5
190_bit_nn	1.0	 	annotator5
191_bit_nn	3.0	 	annotator5
192_bit_nn	3.0	 	annotator5
35_bit_nn	4.0	 	annotator5
193_bit_nn	4.0	 	annotator5
151_bit_nn	1.0	 	annotator5
194_bit_nn	2.0	 	annotator5
