instanceID	label	comment	annotator
sense0,gottschall_poetik_1858-3887-10	1	-	annotatorA
sense1,gottschall_poetik_1858-3887-10	0	-	annotatorA
sense2,gottschall_poetik_1858-3887-10	0	-	annotatorA
sense0,26120215_1989_10_21_01_225.tcf.xml-11-1	1	-	annotatorA
sense1,26120215_1989_10_21_01_225.tcf.xml-11-1	0	-	annotatorA
sense2,26120215_1989_10_21_01_225.tcf.xml-11-1	0	-	annotatorA
sense0,grimm_meistergesang_1811-702-55	1	-	annotatorA
sense1,grimm_meistergesang_1811-702-55	0	-	annotatorA
sense2,grimm_meistergesang_1811-702-55	0	-	annotatorA
sense0,26120215_1947_02_18_01_055.tcf.xml-24-52	0	-	annotatorA
sense1,26120215_1947_02_18_01_055.tcf.xml-24-52	1	-	annotatorA
sense2,26120215_1947_02_18_01_055.tcf.xml-24-52	0	-	annotatorA
sense0,2532889X_1988-11-11_01_091.tcf.xml-4-24	0	-	annotatorA
sense1,2532889X_1988-11-11_01_091.tcf.xml-4-24	1	-	annotatorA
sense2,2532889X_1988-11-11_01_091.tcf.xml-4-24	0	-	annotatorA
sense0,26120215_1964_08_02_01_129.tcf.xml-29-30	-	unklar	annotatorA
sense1,26120215_1964_08_02_01_129.tcf.xml-29-30	-	unklar	annotatorA
sense2,26120215_1964_08_02_01_129.tcf.xml-29-30	-	unklar	annotatorA
sense0,grimm_meistergesang_1811-384-1	1	-	annotatorA
sense1,grimm_meistergesang_1811-384-1	0	-	annotatorA
sense2,grimm_meistergesang_1811-384-1	0	-	annotatorA
sense0,grimm_meistergesang_1811-1993-32	1	-	annotatorA
sense1,grimm_meistergesang_1811-1993-32	0	-	annotatorA
sense2,grimm_meistergesang_1811-1993-32	0	-	annotatorA
sense0,wilamowitz_aristoteles02_1893-1605-362	1	-	annotatorA
sense1,wilamowitz_aristoteles02_1893-1605-362	0	-	annotatorA
sense2,wilamowitz_aristoteles02_1893-1605-362	0	-	annotatorA
sense0,26120215_1989_05_26_01_048.tcf.xml-10-3	0	-	annotatorA
sense1,26120215_1989_05_26_01_048.tcf.xml-10-3	1	-	annotatorA
sense2,26120215_1989_05_26_01_048.tcf.xml-10-3	0	-	annotatorA
sense0,2532889X_1950-06-06_01_033.tcf.xml-51-23	1	-	annotatorA
sense1,2532889X_1950-06-06_01_033.tcf.xml-51-23	0	-	annotatorA
sense2,2532889X_1950-06-06_01_033.tcf.xml-51-23	0	-	annotatorA
sense0,2532889X_1961-03-30_01_045.tcf.xml-6-9	0	-	annotatorA
sense1,2532889X_1961-03-30_01_045.tcf.xml-6-9	1	-	annotatorA
sense2,2532889X_1961-03-30_01_045.tcf.xml-6-9	0	-	annotatorA
sense0,beyer_poetik01_1882-17040-22	1	-	annotatorA
sense1,beyer_poetik01_1882-17040-22	0	-	annotatorA
sense2,beyer_poetik01_1882-17040-22	0	-	annotatorA
sense0,26120215_1975_06_27_01_111.tcf.xml-3-13	1	-	annotatorA
sense1,26120215_1975_06_27_01_111.tcf.xml-3-13	0	-	annotatorA
sense2,26120215_1975_06_27_01_111.tcf.xml-3-13	0	-	annotatorA
sense0,grimm_meistergesang_1811-757-20	1	-	annotatorA
sense1,grimm_meistergesang_1811-757-20	0	-	annotatorA
sense2,grimm_meistergesang_1811-757-20	0	-	annotatorA
sense0,beyer_poetik01_1882-18181-6	1	-	annotatorA
sense1,beyer_poetik01_1882-18181-6	0	-	annotatorA
sense2,beyer_poetik01_1882-18181-6	0	-	annotatorA
sense0,26120215_1990_10_13_01_206.tcf.xml-2-5	0	-	annotatorA
sense1,26120215_1990_10_13_01_206.tcf.xml-2-5	1	-	annotatorA
