instanceID	dataIDs	label_set	non_label
tweet0	0	0,1,2	-
tweet1	1	0,1,2	-
tweet2	2	0,1,2	-
tweet3	3	0,1,2	-
tweet4	4	0,1,2	-
tweet5	5	0,1,2	-
tweet6	6	0,1,2	-
tweet7	7	0,1,2	-
tweet8	8	0,1,2	-
tweet9	9	0,1,2	-
tweet10	10	0,1,2	-
tweet11	11	0,1,2	-
tweet12	12	0,1,2	-
tweet13	13	0,1,2	-
tweet14	14	0,1,2	-
tweet15	15	0,1,2	-
tweet16	16	0,1,2	-
tweet17	17	0,1,2	-
tweet18	18	0,1,2	-
tweet19	19	0,1,2	-
tweet20	20	0,1,2	-
tweet21	21	0,1,2	-
tweet22	22	0,1,2	-
tweet23	23	0,1,2	-
tweet24	24	0,1,2	-
tweet25	25	0,1,2	-
tweet26	26	0,1,2	-
tweet27	27	0,1,2	-
tweet28	28	0,1,2	-
tweet29	29	0,1,2	-
tweet30	30	0,1,2	-
tweet31	31	0,1,2	-
tweet32	32	0,1,2	-
tweet33	33	0,1,2	-
tweet34	34	0,1,2	-
tweet35	35	0,1,2	-
tweet36	36	0,1,2	-
tweet37	37	0,1,2	-
tweet38	38	0,1,2	-
tweet39	39	0,1,2	-
tweet40	40	0,1,2	-
tweet41	41	0,1,2	-
tweet42	42	0,1,2	-
tweet43	43	0,1,2	-
tweet44	44	0,1,2	-
tweet45	45	0,1,2	-
tweet46	46	0,1,2	-
tweet47	47	0,1,2	-
tweet48	48	0,1,2	-
tweet49	49	0,1,2	-
tweet50	50	0,1,2	-
tweet51	51	0,1,2	-
tweet52	52	0,1,2	-
tweet53	53	0,1,2	-
tweet54	54	0,1,2	-
tweet55	55	0,1,2	-
tweet56	56	0,1,2	-
tweet57	57	0,1,2	-
tweet58	58	0,1,2	-
tweet59	59	0,1,2	-
tweet60	60	0,1,2	-
tweet61	61	0,1,2	-
tweet62	62	0,1,2	-
tweet63	63	0,1,2	-
tweet64	64	0,1,2	-
tweet65	65	0,1,2	-
tweet66	66	0,1,2	-
tweet67	67	0,1,2	-
tweet68	68	0,1,2	-
tweet69	69	0,1,2	-
