instanceID	label	comment	annotator
0_ball_nn	1.0	 	annotator2
1_ball_nn	1.0	 	annotator2
2_ball_nn	3.0	 	annotator2
3_ball_nn	4.0	 	annotator2
4_ball_nn	1.0	 	annotator2
5_ball_nn	4.0	 	annotator2
6_ball_nn	2.0	 	annotator2
7_ball_nn	1.0	 	annotator2
8_ball_nn	3.0	 	annotator2
9_ball_nn	1.0	 	annotator2
10_ball_nn	4.0	 	annotator2
11_ball_nn	1.0	 	annotator2
12_ball_nn	4.0	 	annotator2
13_ball_nn	2.0	 	annotator2
14_ball_nn	1.0	 	annotator2
15_ball_nn	1.0	 	annotator2
16_ball_nn	4.0	 	annotator2
17_ball_nn	3.0	 	annotator2
18_ball_nn	4.0	 	annotator2
19_ball_nn	3.0	 	annotator2
20_ball_nn	4.0	 	annotator2
21_ball_nn	4.0	 	annotator2
22_ball_nn	4.0	 	annotator2
23_ball_nn	-	 	annotator2
24_ball_nn	2.0	 	annotator2
25_ball_nn	1.0	 	annotator2
26_ball_nn	4.0	 	annotator2
27_ball_nn	4.0	 	annotator2
28_ball_nn	3.0	 	annotator2
29_ball_nn	-	 	annotator2
30_ball_nn	1.0	 	annotator2
31_ball_nn	1.0	 	annotator2
32_ball_nn	4.0	 	annotator2
33_ball_nn	3.0	 	annotator2
34_ball_nn	4.0	 	annotator2
35_ball_nn	3.0	 	annotator2
36_ball_nn	2.0	 	annotator2
37_ball_nn	4.0	 	annotator2
38_ball_nn	3.0	 	annotator2
39_ball_nn	4.0	 	annotator2
40_ball_nn	2.0	 	annotator2
41_ball_nn	1.0	 	annotator2
42_ball_nn	1.0	 	annotator2
43_ball_nn	1.0	 	annotator2
44_ball_nn	3.0	 	annotator2
45_ball_nn	3.0	 	annotator2
46_ball_nn	1.0	 	annotator2
47_ball_nn	1.0	 	annotator2
48_ball_nn	1.0	 	annotator2
49_ball_nn	3.0	 	annotator2
50_ball_nn	1.0	 	annotator2
51_ball_nn	4.0	 	annotator2
52_ball_nn	1.0	 	annotator2
53_ball_nn	2.0	 	annotator2
54_ball_nn	4.0	 	annotator2
55_ball_nn	1.0	 	annotator2
56_ball_nn	1.0	 	annotator2
57_ball_nn	3.0	 	annotator2
58_ball_nn	1.0	 	annotator2
59_ball_nn	1.0	 	annotator2
60_ball_nn	2.0	 	annotator2
61_ball_nn	3.0	 	annotator2
62_ball_nn	4.0	 	annotator6
63_ball_nn	1.0	 	annotator6
64_ball_nn	2.0	 	annotator6
65_ball_nn	3.0	 	annotator6
66_ball_nn	2.0	 	annotator6
67_ball_nn	3.0	 	annotator6
55_ball_nn	1.0	 	annotator6
68_ball_nn	1.0	 	annotator6
12_ball_nn	4.0	 	annotator6
40_ball_nn	2.0	 	annotator6
69_ball_nn	2.0	 	annotator6
70_ball_nn	3.0	 	annotator6
71_ball_nn	1.0	 	annotator6
72_ball_nn	2.0	 	annotator6
73_ball_nn	2.0	 	annotator6
74_ball_nn	4.0	 	annotator6
75_ball_nn	2.0	 	annotator6
76_ball_nn	1.0	 	annotator6
77_ball_nn	1.0	 	annotator6
78_ball_nn	4.0	 	annotator6
7_ball_nn	3.0	 	annotator6
79_ball_nn	4.0	 	annotator6
16_ball_nn	4.0	 	annotator6
41_ball_nn	1.0	 	annotator6
80_ball_nn	1.0	 	annotator6
81_ball_nn	1.0	 	annotator6
82_ball_nn	4.0	 	annotator6
83_ball_nn	3.0	 	annotator6
84_ball_nn	2.0	 	annotator6
34_ball_nn	3.0	 	annotator6
85_ball_nn	3.0	 	annotator6
86_ball_nn	2.0	 	annotator6
87_ball_nn	1.0	 	annotator6
88_ball_nn	1.0	 	annotator6
89_ball_nn	3.0	 	annotator6
90_ball_nn	2.0	 	annotator6
28_ball_nn	2.0	 	annotator6
91_ball_nn	4.0	 	annotator6
92_ball_nn	4.0	 	annotator6
93_ball_nn	4.0	 	annotator6
94_ball_nn	1.0	 	annotator6
95_ball_nn	3.0	 	annotator6
96_ball_nn	2.0	 	annotator6
97_ball_nn	1.0	 	annotator6
98_ball_nn	4.0	 	annotator6
99_ball_nn	1.0	 	annotator6
100_ball_nn	1.0	 	annotator6
101_ball_nn	3.0	 	annotator6
102_ball_nn	1.0	 	annotator6
103_ball_nn	1.0	 	annotator6
104_ball_nn	1.0	 	annotator6
105_ball_nn	1.0	 	annotator6
106_ball_nn	3.0	 	annotator6
107_ball_nn	2.0	 	annotator6
108_ball_nn	3.0	 	annotator6
109_ball_nn	1.0	 	annotator6
110_ball_nn	2.0	 	annotator6
111_ball_nn	3.0	 	annotator6
112_ball_nn	1.0	 	annotator6
38_ball_nn	2.0	 	annotator6
113_ball_nn	2.0	 	annotator6
114_ball_nn	2.0	 	annotator6
115_ball_nn	1.0	 	annotator6
116_ball_nn	3.0	 	annotator6
117_ball_nn	2.0	 	annotator6
54_ball_nn	3.0	 	annotator6
118_ball_nn	1.0	 	annotator6
119_ball_nn	1.0	 	annotator6
120_ball_nn	3.0	 	annotator6
121_ball_nn	2.0	 	annotator6
122_ball_nn	2.0	 	annotator5
51_ball_nn	1.0	 	annotator5
99_ball_nn	1.0	 	annotator5
96_ball_nn	2.0	 	annotator5
123_ball_nn	1.0	 	annotator5
98_ball_nn	4.0	 	annotator5
124_ball_nn	2.0	 	annotator5
125_ball_nn	1.0	 	annotator5
55_ball_nn	1.0	 	annotator5
126_ball_nn	1.0	 	annotator5
127_ball_nn	1.0	 	annotator5
23_ball_nn	2.0	 	annotator5
128_ball_nn	2.0	 	annotator5
129_ball_nn	2.0	 	annotator5
8_ball_nn	2.0	 	annotator5
130_ball_nn	1.0	 	annotator5
131_ball_nn	2.0	 	annotator5
113_ball_nn	2.0	 	annotator5
132_ball_nn	1.0	 	annotator5
133_ball_nn	2.0	 	annotator5
134_ball_nn	1.0	 	annotator5
22_ball_nn	4.0	 	annotator5
12_ball_nn	4.0	 	annotator5
114_ball_nn	2.0	 	annotator5
135_ball_nn	1.0	 	annotator5
136_ball_nn	2.0	 	annotator5
137_ball_nn	1.0	 	annotator5
138_ball_nn	1.0	 	annotator5
17_ball_nn	2.0	 	annotator5
139_ball_nn	2.0	 	annotator5
140_ball_nn	1.0	 	annotator5
141_ball_nn	4.0	 	annotator5
142_ball_nn	2.0	 	annotator5
143_ball_nn	1.0	 	annotator5
19_ball_nn	2.0	 	annotator5
144_ball_nn	4.0	 	annotator5
145_ball_nn	2.0	 	annotator5
146_ball_nn	2.0	 	annotator5
88_ball_nn	2.0	 	annotator5
147_ball_nn	2.0	 	annotator5
148_ball_nn	2.0	 	annotator5
149_ball_nn	1.0	 	annotator5
150_ball_nn	1.0	 	annotator5
6_ball_nn	2.0	 	annotator5
151_ball_nn	1.0	 	annotator5
69_ball_nn	2.0	 	annotator5
152_ball_nn	2.0	 	annotator5
111_ball_nn	2.0	 	annotator5
153_ball_nn	1.0	 	annotator5
110_ball_nn	2.0	 	annotator5
154_ball_nn	2.0	 	annotator5
155_ball_nn	4.0	 	annotator5
156_ball_nn	2.0	 	annotator5
157_ball_nn	2.0	 	annotator5
158_ball_nn	1.0	 	annotator0
159_ball_nn	1.0	 	annotator0
