instanceID	label	comment	annotator
81	cure	-	C
82	correct	-	C
83	correct	-	C
84	cure	-	C
85	mend	-	C
86	mend	-	C
87	repair	-	C
88	correct	-	C
89	correct	-	C
90	decide	-	C
81	cure	-	A
82	resolve	-	A
83	repair	-	A
84	cure	-	A
85	eliminate	-	A
86	mend	-	A
87	repair	-	A
88	resolve	-	A
89	sort	-	A
90	set	-	A
81	heal	-	F
82	repair	-	F
83	repair	-	F
84	heal	-	F
85	repair	-	F
86	repair	-	F
87	repair	-	F
88	repair	-	F
89	repair	-	F
90	determine	-	F
81	mend	-	G
82	mend	-	G
83	mend	-	G
84	mend	-	G
85		-	G
86	mend	-	G
87	mend	-	G
88	resolve	-	G
89	resolve	-	G
90	set	-	G
81	cure	-	D
82	sort	-	D
83	sort	-	D
84	mend	-	D
85	stick	-	D
86	mend	-	D
87	mend	-	D
88	cure	-	D
89	figure	-	D
90	set	-	D
81	cure	-	H
82	solve	-	H
83	solve	-	H
84	heal	-	H
85	mend	-	H
86	repair	-	H
87	repair	-	H
88	solve	-	H
89	solve	-	H
90	intend	-	H
81	cure	-	I
82	mend	-	I
83	sort	-	I
84	cure	-	I
85	mend	-	I
86	mend	-	I
87	repare	-	I
88	end	-	I
89	change	-	I
90	determine	-	I
81	heal	-	J
82	solve	-	J
83	repair	-	J
84	heal	-	J
85	solve	-	J
86	repair	-	J
87	repair	-	J
88	maintain	-	J
89	solve	-	J
90	set	-	J
