dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1950-05-07_01_127.tcf.xml-15-4	„sprechenden Verkehrsampeln bald allen Knotenpunkten unserer Stadt eine unentbehrliche Einrichtung sein.	39:52	0:104	Knotenpunkt
2532889X_1951-03-28_01_048.tcf.xml-76-13	Wir sprechen von dem neuen Stahlwerk in Fürstenberg / Oder, das einen Knotenpunkt der Freundschaft zwischen den Völkern der Sowjetunion, gern polnischen und dem deutschen Volk sein wird.	70:81	0:186	Knotenpunkt
2532889X_1958-11-27_01_040.tcf.xml-55-0	Knotenpunkt zur raschen Steigerung der Arbeitsproduktivität, ist die Technologie.	0:11	0:81	Knotenpunkt
2532889X_1958-11-30_01_011.tcf.xml-4-13	Weil Westberlin unter den Besatzungsregimen der drei Westmachte sich zu einem der gefährlichsten Knotenpunkte und Gefahrenherde der internationalen Spannungen entwickelt hat.	97:109	0:174	Knotenpunkt
2532889X_1962-03-02_01_062.tcf.xml-38-10	Zur Zeit entsteht dafür bei Mukatschewo in der Westukraine ein Knotenpunkt.	63:74	0:75	Knotenpunkt
2532889X_1963-04-03_01_066.tcf.xml-66-12	Das alles führt zu einer Verstärkung der bestehenden und zum Entstehen neuer Knotenpunkte der imperialistischen Rivalität und der Konflikte, Wodurch das System des Kapitalismus Insgesamt geschwächt wird.	77:89	0:203	Knotenpunkt
2532889X_1965-01-19_01_055.tcf.xml-14-19	Das chemische Zentrum wird bei der Gemeinschaftseinrichtung der LPG und GPG in Manschnow gebaut, wo sich bereits ein Knotenpunkt der Eisenbahn befindet.	117:128	0:152	Knotenpunkt
2532889X_1968-05-07_01_098.tcf.xml-4-7	Im Stern, so nennen wir jenen Knotenpunkt im Tunnel, wo sich zwei Wegstrecken vereinen, feierten wir unser Richtfest.	30:41	0:117	Knotenpunkt
2532889X_1970-04-02_01_150.tcf.xml-46-49	Diese Werke sind ein Ausdruck dafür, daß mit der estaltung des entwickelten gesellschaftlichen Systems sich auch eine Literatur herausgebilde hat, die sich als Ganzes nunmeh r auf systemeigenen sozialöko omisehen Grundlagen entfaltet, Dieser Übergang der Literatu auf systemeigene sozialistische Gr undlagen ist ein ganz wesentl er Knotenpunkt in der Gesch te unserer sozialistischen deuts hen Nationalliteratur.	332:343	0:412	Knotenpunkt
2532889X_1973-03-29_01_375.tcf.xml-0-27	Straßensperrung Wegen Durchführung von Straßenbauarbeiten auf der F96, — Greifswalder Chaussee —, Ortsdurchfahrt Stralsund, wird der Teilabschnitt von km 211,030 Andershof bis km 214,330 Knotenpunkt Werftstraße vom 26. März bis 30. Juni 1973 für den Durchgangsverkehr gesperrt außer für den a) Berufs-und Linienverkehr im öberlandverkehr, b) innerstädtischen Berufs-und Anliegerverkehr.	187:198	0:386	Knotenpunkt
2532889X_1977-07-28_01_097.tcf.xml-5-39	Neben bereits auf der Wirtschaftskarte des Landes bekannten Zentren wie Bukarest, Ploiesti, Galati und Constanta entwickelten sich auch Städte wie Pitesti, Gheorghiu Dej, Tirgoviste, um nur einige zu nennen, rasch zu wichtigen industriellen Knotenpunkten.	241:254	0:255	Knotenpunkt
2532889X_1978-06-24_01_211.tcf.xml-16-13	Dieses und weitere Privilegien trugen maßgeblich dazu bei, daß Poznan, am Knotenpunkt wichtiger Handelswege gelegen, im Mittelalter ein großes Zentrum des Fernhandels wurde und sein Johannismarkt zu den bekanntesten Europas zählte.	74:85	0:231	Knotenpunkt
2532889X_1980-02-09_01_592.tcf.xml-2-15	Eine Steuerzentrale auf dem Kalvinplatz wertet die Signale von 60 Detektoren an den 16 wichtigsten Knotenpunkten der Innenstadt aus.	99:112	0:132	Knotenpunkt
2532889X_1984-02-01_01_082.tcf.xml-17-7	Sie verbinden zum Beispiel in Jakutien den Knotenpunkt Chandyga an der Straße nach Magadan mit den Buntmetallgruben des Kolyma-Beckens oder Chabarowsk im Fernen Osten mit der Hafenstadt Nikolajewsk am Amur.	43:54	0:206	Knotenpunkt
2532889X_1988-09-10_01_026.tcf.xml-19-7	Die Leipziger Messe hat ihre Rolle als Knotenpunkt der Ost-West-Beziehungen in ökonomischer wie politischer Hinsicht eineut glänzend erfüllt.	39:50	0:141	Knotenpunkt
26120215_1948_06_19_01_181.tcf.xml-3-7	Polizeikräfte gestiefelt und gespornt vor allen wichtigen Knotenpunkten, Bahnhöfen, Ministerien.	58:71	0:96	Knotenpunkt
26120215_1949_09_09_01_190.tcf.xml-28-6	Es ist beabsichtigt, an diesem Knotenpunkt des Krafverkehrs zwischen.	31:42	0:69	Knotenpunkt
26120215_1962_06_23_01_221.tcf.xml-6-4	Bahnhofsgaststätten entstanden an allen Knotenpunkten des Eisenbahnverkehrs, an den Einsatz-, Halte-und Endstationen von D-und Eil-Zügen, In allen weiteren Zentren des Berufsverkehrs, des Erholungsverkehrs und an den Grenzbahnhöfen.	40:53	0:232	Knotenpunkt
26120215_1962_08_28_01_163.tcf.xml-56-14	Unter den neueren Betrieben ragen in der Hauptstadt Tscheboksary ein Elektroapparatewerk und im Eisenbahn-Knotenpunkt Kanasch ein Waggonreparaturbetrieb hervor.	106:117	0:160	Knotenpunkt
26120215_1966_09_18_01_339.tcf.xml-259-41	So gibt es z. B. ein Projekt zum Einsatz von zwei miteinander gekoppelten Großrechenanlagen im Wertumfang von etwa 20 Millionen VM und Gesamtinvestitionskosten von 140 Millionen Mark zur automatisierten Disposition und Abrechnung des Güterfahrzeugparkes, das über Fernschreibeinnchtungen mit den wichtigsten Knotenpunkten des Bahnnetzes verbunden ist.	308:321	0:351	Knotenpunkt
26120215_1971_07_25_01_162.tcf.xml-12-21	Die FnrM<omhination Grün-Gelb p.-leichtert den Fahrzeugführern die Entscheidung darüber, ob sie beim Farbzeichenwechsel von Grün auf Gelb vor dem Knotenpunkt anhalten müssen oder ihn noch passieren können.	146:157	0:205	Knotenpunkt
26120215_1973_04_09_01_003.tcf.xml-5-19	In den ersten vier Apriltage gelangten allein 40000 Tonnen Eisenerze und Roheisen vom Haup thandelspartner UdSSR über diesen bedeutenden Knotenpunkt der Fre undschaftsmagistrale an die Metallurgiekombinate der Republik.	137:148	0:219	Knotenpunkt
