instanceID	label	comment	annotator
0_fiction_nn	3.0	 	annotator2
1_fiction_nn	4.0	 	annotator2
2_fiction_nn	4.0	 	annotator2
3_fiction_nn	3.0	 	annotator6
4_fiction_nn	3.0	 	annotator6
5_fiction_nn	3.0	 	annotator6
6_fiction_nn	2.0	 	annotator6
7_fiction_nn	3.0	 	annotator6
8_fiction_nn	2.0	 	annotator6
9_fiction_nn	4.0	 	annotator6
10_fiction_nn	4.0	 	annotator6
11_fiction_nn	2.0	 	annotator6
12_fiction_nn	4.0	 	annotator6
13_fiction_nn	3.0	 	annotator6
14_fiction_nn	3.0	 	annotator6
15_fiction_nn	3.0	 	annotator6
14_fiction_nn	3.0	 	annotator5
16_fiction_nn	3.0	 	annotator5
17_fiction_nn	4.0	 	annotator5
18_fiction_nn	2.0	 	annotator5
19_fiction_nn	3.0	 	annotator5
20_fiction_nn	3.0	 	annotator5
21_fiction_nn	4.0	 	annotator5
0_fiction_nn	4.0	 	annotator5
22_fiction_nn	2.0	 	annotator5
17_fiction_nn	4.0	 	annotator0
23_fiction_nn	4.0	 	annotator0
24_fiction_nn	4.0	 	annotator0
25_fiction_nn	4.0	 	annotator0
26_fiction_nn	3.0	 	annotator0
27_fiction_nn	4.0	 	annotator0
28_fiction_nn	4.0	 	annotator0
19_fiction_nn	3.0	 	annotator0
29_fiction_nn	3.0	 	annotator0
30_fiction_nn	4.0	 	annotator2
31_fiction_nn	4.0	 	annotator2
32_fiction_nn	3.0	 	annotator2
33_fiction_nn	4.0	 	annotator2
34_fiction_nn	4.0	 	annotator2
35_fiction_nn	3.0	 	annotator2
36_fiction_nn	4.0	 	annotator2
37_fiction_nn	3.0	 	annotator2
38_fiction_nn	4.0	 	annotator2
39_fiction_nn	4.0	 	annotator2
40_fiction_nn	4.0	 	annotator2
41_fiction_nn	3.0	 	annotator2
42_fiction_nn	2.0	 	annotator2
43_fiction_nn	2.0	 	annotator2
44_fiction_nn	2.0	 	annotator2
45_fiction_nn	2.0	 	annotator2
46_fiction_nn	4.0	 	annotator2
47_fiction_nn	3.0	 	annotator2
48_fiction_nn	3.0	 	annotator2
49_fiction_nn	3.0	 	annotator2
50_fiction_nn	3.0	 	annotator2
51_fiction_nn	4.0	 	annotator2
52_fiction_nn	4.0	 	annotator2
53_fiction_nn	3.0	 	annotator2
54_fiction_nn	2.0	 	annotator2
55_fiction_nn	4.0	 	annotator2
56_fiction_nn	3.0	 	annotator2
57_fiction_nn	2.0	 	annotator2
58_fiction_nn	4.0	 	annotator2
59_fiction_nn	4.0	 	annotator2
60_fiction_nn	3.0	 	annotator2
61_fiction_nn	4.0	 	annotator2
4_fiction_nn	2.0	 	annotator2
62_fiction_nn	4.0	 	annotator2
63_fiction_nn	3.0	 	annotator2
64_fiction_nn	2.0	 	annotator2
65_fiction_nn	4.0	 	annotator2
66_fiction_nn	2.0	 	annotator2
67_fiction_nn	4.0	 	annotator2
68_fiction_nn	4.0	 	annotator2
69_fiction_nn	3.0	 	annotator2
70_fiction_nn	3.0	 	annotator2
71_fiction_nn	1.0	 	annotator2
72_fiction_nn	4.0	 	annotator2
73_fiction_nn	3.0	 	annotator2
74_fiction_nn	4.0	 	annotator2
75_fiction_nn	4.0	 	annotator2
26_fiction_nn	2.0	 	annotator2
76_fiction_nn	1.0	 	annotator2
77_fiction_nn	4.0	 	annotator2
78_fiction_nn	3.0	 	annotator2
79_fiction_nn	4.0	 	annotator2
80_fiction_nn	4.0	 	annotator2
81_fiction_nn	4.0	 	annotator2
82_fiction_nn	4.0	 	annotator2
83_fiction_nn	3.0	 	annotator2
84_fiction_nn	4.0	 	annotator2
85_fiction_nn	4.0	 	annotator2
86_fiction_nn	4.0	 	annotator2
87_fiction_nn	3.0	 	annotator2
88_fiction_nn	3.0	 	annotator2
89_fiction_nn	4.0	 	annotator2
90_fiction_nn	4.0	 	annotator2
91_fiction_nn	4.0	 	annotator2
92_fiction_nn	4.0	 	annotator2
93_fiction_nn	4.0	 	annotator2
94_fiction_nn	4.0	 	annotator2
95_fiction_nn	4.0	 	annotator2
96_fiction_nn	4.0	 	annotator2
97_fiction_nn	2.0	 	annotator2
98_fiction_nn	3.0	 	annotator2
99_fiction_nn	3.0	 	annotator2
100_fiction_nn	4.0	 	annotator2
101_fiction_nn	4.0	 	annotator2
102_fiction_nn	3.0	 	annotator2
10_fiction_nn	2.0	 	annotator2
103_fiction_nn	2.0	 	annotator2
104_fiction_nn	3.0	 	annotator2
105_fiction_nn	3.0	 	annotator2
24_fiction_nn	2.0	 	annotator2
106_fiction_nn	4.0	 	annotator2
107_fiction_nn	2.0	 	annotator2
108_fiction_nn	4.0	 	annotator2
109_fiction_nn	3.0	 	annotator2
110_fiction_nn	4.0	 	annotator2
61_fiction_nn	3.0	 	annotator5
4_fiction_nn	3.0	 	annotator5
48_fiction_nn	4.0	 	annotator5
111_fiction_nn	3.0	 	annotator5
112_fiction_nn	3.0	 	annotator5
113_fiction_nn	3.0	 	annotator5
42_fiction_nn	3.0	 	annotator5
99_fiction_nn	4.0	 	annotator5
114_fiction_nn	3.0	 	annotator5
115_fiction_nn	3.0	 	annotator5
77_fiction_nn	3.0	 	annotator5
116_fiction_nn	4.0	 	annotator5
117_fiction_nn	2.0	 	annotator5
118_fiction_nn	4.0	 	annotator5
119_fiction_nn	4.0	 	annotator5
76_fiction_nn	-	not the same root	annotator5
120_fiction_nn	3.0	 	annotator5
