instanceID	label	comment	annotator
sense0,26120215_1974_12_09_01_020.tcf.xml-4-16	1	-	annotatorA
sense1,26120215_1974_12_09_01_020.tcf.xml-4-16	0	-	annotatorA
sense2,26120215_1974_12_09_01_020.tcf.xml-4-16	0	-	annotatorA
sense0,beck_eisen01_1884-10056-7	1	-	annotatorA
sense1,beck_eisen01_1884-10056-7	0	-	annotatorA
sense2,beck_eisen01_1884-10056-7	0	-	annotatorA
sense0,varnhagen_rahel03_1834-1540-5	0	-	annotatorA
sense1,varnhagen_rahel03_1834-1540-5	0	-	annotatorA
sense2,varnhagen_rahel03_1834-1540-5	1	-	annotatorA
sense0,heeren_staatensystem_1809-2664-13	1	-	annotatorA
sense1,heeren_staatensystem_1809-2664-13	0	-	annotatorA
sense2,heeren_staatensystem_1809-2664-13	0	-	annotatorA
sense0,wernicke_symptomencomplex_1874-1065-4	0	-	annotatorA
sense1,wernicke_symptomencomplex_1874-1065-4	0	-	annotatorA
sense2,wernicke_symptomencomplex_1874-1065-4	1	-	annotatorA
sense0,nn_nrhz231b2_1849-269-7	-	unklar	annotatorA
sense1,nn_nrhz231b2_1849-269-7	-	unklar	annotatorA
sense2,nn_nrhz231b2_1849-269-7	-	unklar	annotatorA
sense0,26120215_1964_01_05_01_199.tcf.xml-6-3	1	Grammatikfehler?	annotatorA
sense1,26120215_1964_01_05_01_199.tcf.xml-6-3	0	-	annotatorA
sense2,26120215_1964_01_05_01_199.tcf.xml-6-3	0	-	annotatorA
sense0,26120215_1978_01_18_01_122.tcf.xml-5-5	1	-	annotatorA
sense1,26120215_1978_01_18_01_122.tcf.xml-5-5	0	-	annotatorA
sense2,26120215_1978_01_18_01_122.tcf.xml-5-5	0	-	annotatorA
sense0,fontane_brandenburg01_1862-3207-6	1	-	annotatorA
sense1,fontane_brandenburg01_1862-3207-6	0	-	annotatorA
sense2,fontane_brandenburg01_1862-3207-6	0	-	annotatorA
sense0,26120215_1951_12_12_01_041.tcf.xml-11-1	1	-	annotatorA
sense1,26120215_1951_12_12_01_041.tcf.xml-11-1	0	-	annotatorA
sense2,26120215_1951_12_12_01_041.tcf.xml-11-1	0	-	annotatorA
sense0,2532889X_1970-03-16_01_139.tcf.xml-8-49	1	-	annotatorA
sense1,2532889X_1970-03-16_01_139.tcf.xml-8-49	0	-	annotatorA
sense2,2532889X_1970-03-16_01_139.tcf.xml-8-49	0	-	annotatorA
sense0,2532889X_1957-10-06_01_008.tcf.xml-6-6	1	-	annotatorA
sense1,2532889X_1957-10-06_01_008.tcf.xml-6-6	0	-	annotatorA
sense2,2532889X_1957-10-06_01_008.tcf.xml-6-6	0	-	annotatorA
sense0,2532889X_1977-06-09_01_132.tcf.xml-16-44	1	-	annotatorA
sense1,2532889X_1977-06-09_01_132.tcf.xml-16-44	0	-	annotatorA
sense2,2532889X_1977-06-09_01_132.tcf.xml-16-44	0	-	annotatorA
sense0,26120215_1986_08_06_01_108.tcf.xml-8-12	1	-	annotatorA
sense1,26120215_1986_08_06_01_108.tcf.xml-8-12	0	-	annotatorA
sense2,26120215_1986_08_06_01_108.tcf.xml-8-12	0	-	annotatorA
sense0,scherer_poetik_1888-2121-12	1	-	annotatorA
sense1,scherer_poetik_1888-2121-12	0	-	annotatorA
sense2,scherer_poetik_1888-2121-12	0	-	annotatorA
sense0,nn_nrhz239_1849-249-1	0	-	annotatorA
sense1,nn_nrhz239_1849-249-1	0	-	annotatorA
sense2,nn_nrhz239_1849-249-1	1	-	annotatorA
sense0,26120215_1951_01_18_01_174.tcf.xml-5-17	1	-	annotatorA
sense1,26120215_1951_01_18_01_174.tcf.xml-5-17	0	-	annotatorA
sense2,26120215_1951_01_18_01_174.tcf.xml-5-17	0	-	annotatorA
sense0,26120215_1974_07_11_01_188.tcf.xml-31-2	1	-	annotatorA
sense1,26120215_1974_07_11_01_188.tcf.xml-31-2	0	-	annotatorA
sense2,26120215_1974_07_11_01_188.tcf.xml-31-2	0	-	annotatorA
sense0,26120215_1956_02_04_01_099.tcf.xml-41-3	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense1,26120215_1956_02_04_01_099.tcf.xml-41-3	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense2,26120215_1956_02_04_01_099.tcf.xml-41-3	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense0,freud_hysterie_1895-2484-2	0	-	annotatorA
sense1,freud_hysterie_1895-2484-2	0	-	annotatorA
sense2,freud_hysterie_1895-2484-2	1	-	annotatorA
sense0,26120215_1954_06_09_01_082.tcf.xml-58-14	1	-	annotatorA
sense1,26120215_1954_06_09_01_082.tcf.xml-58-14	0	-	annotatorA
sense2,26120215_1954_06_09_01_082.tcf.xml-58-14	0	-	annotatorA
sense0,26120215_1987_11_20_01_102.tcf.xml-34-12	1	-	annotatorA
sense1,26120215_1987_11_20_01_102.tcf.xml-34-12	0	-	annotatorA
sense2,26120215_1987_11_20_01_102.tcf.xml-34-12	0	-	annotatorA
sense0,26120215_1955_07_20_01_038.tcf.xml-44-6	1	-	annotatorA
sense1,26120215_1955_07_20_01_038.tcf.xml-44-6	0	-	annotatorA
sense2,26120215_1955_07_20_01_038.tcf.xml-44-6	0	-	annotatorA
sense0,26120215_1949_11_05_01_260.tcf.xml-3-25	1	-	annotatorA
sense1,26120215_1949_11_05_01_260.tcf.xml-3-25	0	-	annotatorA
sense2,26120215_1949_11_05_01_260.tcf.xml-3-25	0	-	annotatorA
sense0,26120215_1970_07_20_01_086.tcf.xml-16-8	1	-	annotatorA
sense1,26120215_1970_07_20_01_086.tcf.xml-16-8	0	-	annotatorA
sense2,26120215_1970_07_20_01_086.tcf.xml-16-8	0	-	annotatorA
sense0,nn_nrhz139_1848-737-10	0	-	annotatorA
sense1,nn_nrhz139_1848-737-10	0	-	annotatorA
sense2,nn_nrhz139_1848-737-10	1	-	annotatorA
sense0,jung_lebensgeschichte_1835-6643-3	0	-	annotatorA
sense1,jung_lebensgeschichte_1835-6643-3	0	-	annotatorA
sense2,jung_lebensgeschichte_1835-6643-3	1	-	annotatorA
sense0,griesinger_psychische_1845-1977-19	0	-	annotatorA
sense1,griesinger_psychische_1845-1977-19	0	-	annotatorA
sense2,griesinger_psychische_1845-1977-19	1	-	annotatorA
sense0,nn_nrhz093_1848-80-19	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense1,nn_nrhz093_1848-80-19	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense2,nn_nrhz093_1848-80-19	-	Dominik: Zwei mal annotiert (Spalte B+C)	annotatorA
sense0,26120215_1971_07_16_01_102.tcf.xml-2-1	1	-	annotatorA
sense1,26120215_1971_07_16_01_102.tcf.xml-2-1	0	-	annotatorA
sense2,26120215_1971_07_16_01_102.tcf.xml-2-1	0	-	annotatorA
sense0,2532889X_1988-02-17_01_026.tcf.xml-12-0	1	-	annotatorA
sense1,2532889X_1988-02-17_01_026.tcf.xml-12-0	0	-	annotatorA
sense2,2532889X_1988-02-17_01_026.tcf.xml-12-0	0	-	annotatorA
sense0,herbart_psychologie02_1825-4886-21	0	-	annotatorA
sense1,herbart_psychologie02_1825-4886-21	0	-	annotatorA
sense2,herbart_psychologie02_1825-4886-21	1	-	annotatorA
sense0,26120215_1959_07_15_01_007.tcf.xml-3-2	1	-	annotatorA
sense1,26120215_1959_07_15_01_007.tcf.xml-3-2	0	-	annotatorA
sense2,26120215_1959_07_15_01_007.tcf.xml-3-2	0	-	annotatorA
sense0,26120215_1950_09_06_01_040.tcf.xml-10-13	1	-	annotatorA
sense1,26120215_1950_09_06_01_040.tcf.xml-10-13	0	-	annotatorA
sense2,26120215_1950_09_06_01_040.tcf.xml-10-13	0	-	annotatorA
sense0,2532889X_1964-11-24_01_060.tcf.xml-5-19	1	-	annotatorA
sense1,2532889X_1964-11-24_01_060.tcf.xml-5-19	0	-	annotatorA
sense2,2532889X_1964-11-24_01_060.tcf.xml-5-19	0	-	annotatorA
sense0,2532889X_1967-08-07_01_047.tcf.xml-2-5	1	-	annotatorA
sense1,2532889X_1967-08-07_01_047.tcf.xml-2-5	0	-	annotatorA
sense2,2532889X_1967-08-07_01_047.tcf.xml-2-5	0	-	annotatorA
sense0,herbart_psychologie02_1825-3297-76	0	-	annotatorA
sense1,herbart_psychologie02_1825-3297-76	0	-	annotatorA
sense2,herbart_psychologie02_1825-3297-76	1	Englisch	annotatorA
sense0,fessler_eleusinien01_1802-1334-9	0	-	annotatorA
sense1,fessler_eleusinien01_1802-1334-9	0	-	annotatorA
sense2,fessler_eleusinien01_1802-1334-9	1	-	annotatorA
sense0,beyer_poetik02_1883-11562-27	0	-	annotatorA
sense1,beyer_poetik02_1883-11562-27	0	-	annotatorA
sense2,beyer_poetik02_1883-11562-27	1	-	annotatorA
sense0,nn_nrhz092_1848-192-2	-	unklar	annotatorA
sense1,nn_nrhz092_1848-192-2	-	unklar	annotatorA
sense2,nn_nrhz092_1848-192-2	-	unklar	annotatorA
sense0,spielhagen_problematische02_1861-1394-7	0	-	annotatorA
sense1,spielhagen_problematische02_1861-1394-7	0	-	annotatorA
sense2,spielhagen_problematische02_1861-1394-7	1	-	annotatorA
sense0,andreas_fenitschka_1898-1244-55	0	-	annotatorA
sense1,andreas_fenitschka_1898-1244-55	0	-	annotatorA
sense2,andreas_fenitschka_1898-1244-55	1	-	annotatorA
sense0,26120215_1952_04_24_01_036.tcf.xml-4-33	0	-	annotatorA
sense1,26120215_1952_04_24_01_036.tcf.xml-4-33	0	-	annotatorA
sense2,26120215_1952_04_24_01_036.tcf.xml-4-33	1	-	annotatorA
sense0,26120215_1970_11_18_01_030.tcf.xml-14-5	1	-	annotatorA
sense1,26120215_1970_11_18_01_030.tcf.xml-14-5	0	-	annotatorA
sense2,26120215_1970_11_18_01_030.tcf.xml-14-5	0	-	annotatorA
sense0,26120215_1960_09_10_01_097.tcf.xml-1-4	1	-	annotatorA
sense1,26120215_1960_09_10_01_097.tcf.xml-1-4	0	-	annotatorA
sense2,26120215_1960_09_10_01_097.tcf.xml-1-4	0	-	annotatorA
sense0,nn_nrhz106_1848-470-6	0	-	annotatorA
sense1,nn_nrhz106_1848-470-6	0	-	annotatorA
sense2,nn_nrhz106_1848-470-6	1	-	annotatorA
