instanceID	label	comment	annotator
521	moult	-	C
522	lose	-	C
523	throw	-	C
524	cast	-	C
525	lose	-	C
526	reduce	-	C
527	pass	-	C
528	produce	-	C
529	lose	-	C
530	gave	-	C
521	lose	-	A
522	lose	-	A
523	explain	-	A
524	deliver	-	A
525	rid	-	A
526	lose	-	A
527	spread	-	A
528	lose	-	A
529	gave	-	A
530	illuminate	-	A
521	molt	-	F
522	lose	-	F
523	explain	-	F
524	shine	-	F
525	lose	-	F
526	lose	-	F
527	pass	-	F
528	lost	-	F
529	lose	-	F
530	release	-	F
521	lose	-	G
522	lose	-	G
523	reveal	-	G
524	cast	-	G
525	cast	-	G
526	lose	-	G
527	lose	-	G
528	lose	-	G
529	lose	-	G
530	cast	-	G
521	lose it	-	D
522	lose	-	D
523	shine	-	D
524	shine	-	D
525	get rid of	-	D
526	lose	-	D
527	spread	-	D
528	lose	-	D
529	lose	-	D
530	give off	-	D
521	discard	-	H
522	lose	-	H
523	reveal	-	H
524	emanate 	-	H
525	lose	-	H
526	discard	-	H
527	discard	-	H
528	drop	-	H
529	lose	-	H
530	reveal	-	H
521	molt	-	I
522	lose	-	I
523	put	-	I
524	leave	-	I
525	lose	-	I
526	lose	-	I
527	pass	-	I
528	drop	-	I
529	spill	-	I
530	cast	-	I
521	discard	-	J
522	discard	-	J
523	bring new	-	J
524	reveal	-	J
525	lose	-	J
526	discard	-	J
527	cast	-	J
528	discard	-	J
529	lose	-	J
530	produce	-	J
