dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1957-10-06_01_008.tcf.xml-6-6	Polinowski bezeichnete die TASS-Meldung als größte Sensation der letzten Jahre.	51:60	0:79	Sensation
2532889X_1964-11-24_01_060.tcf.xml-5-19	Die Burger bauten Stadt und Münster wieder auf. neue Industriewerke entstanden, der Reichtum wuchs, doch die Sensation, von der noch die Enkel sprechen würden, blieb aus.	109:118	0:170	Sensation
2532889X_1967-08-07_01_047.tcf.xml-2-5	Fernsehen: 10.35 Marktplatz der Sensationen: 11.55 Chilenische Impressionen (2): 15.30 Du und dein Haushalt: 16. 00. Meister des Liedes; 16.30 Ferien mit Pfiff: 17.05 Zu zweit kein Problem; 19.00 Die Umschau: 20.00 Chronik armer Liebesleute, Spielfilm; 21.45 Der schwarze Kanal: 22.09 Heute in Bialystok.	32:43	0:304	Sensation
2532889X_1970-03-16_01_139.tcf.xml-8-49	Das Endergebnis war dann aber doch eindeutig, weil die Berliner, vor allem Harald Kratzer und Rainer Würdig, kaum Verständnis für die Schweizer Absichten aufbringen wollten, Mit 18: 8 schafften sie sich einen Vorsprung von zehn Toren, und es wäre in Zürich schon eine Sensation zu nennen, wenn Dynamo nicht das Halbfinale erreichen würde, Vor über 2000 Zuschauern	268:277	0:363	Sensation
2532889X_1977-06-09_01_132.tcf.xml-16-44	"Was die sogenannten sowjetischen Dissidenten betrifft, die in den letzten Jahren in den USA, speziell im Weißen Haus, so viel Aufmerksamkeit finden, so muß das wiederholt werden, was bereits wohlbekannt ist: Diejenigen, die es nach gefälschten antisowjetischen Sensationen gelüstet, können sich auch noch so sehr mühen, das Gewünschte für das Tatsächliche auszugeben und die Dissidenten als eine „innere Opposition"" in der UdSSR darzustellen, sie in den Rang von Schriftstellern und Wissenschaftlern zu erheben, die angeblich wegen ihrer Überzeugungen verfolgt werden: Tatsache bleibt, daß es sich dabei um nichts anderes als um ein Häuf ein ehrloser Menschen handelt, die bereit sind, für dreißig Silberlinge oder noch billiger ihre Heimat zu verraten und sich als Agenten bei westlichen Geheimdiensten zu verdingen."	261:272	0:817	Sensation
2532889X_1988-02-17_01_026.tcf.xml-12-0	Sensation, Halbwahrheiten der 20er, 30er und 40er Jahre, das Abgehen von der	0:9	0:76	Sensation
26120215_1949_11_05_01_260.tcf.xml-3-25	Es. gibt neben der üblichen Voltige (Helma Ehlemannj, den gelungenen Pferdedressuren und einem exotischen Potpourri (Herrmann Ullmann) vor allem die Sensation im Löwenkäfig, in den hinein Hano Cimarro seinen Todessprung vollführt, eine doppelt tollkühne Angelegenheit, da die Löwinnen, die tragend sind, alles andere als friedlich gesonnen sind.	149:158	0:345	Sensation
26120215_1950_09_06_01_040.tcf.xml-10-13	Ehrlicher Wille mag bei der Produktion dieses Streifens geholfen haben, der keineswegs Sensationen bringt.	87:98	0:106	Sensation
26120215_1951_01_18_01_174.tcf.xml-5-17	Auch gestern wurde dem begeisterten Publikum und den Lesern der Westpresse wieder — wie angekündigt — eine Sensation serviert, die es in sich hatte.	107:116	0:148	Sensation
26120215_1951_12_12_01_041.tcf.xml-11-1	Die Sensation in der dritten Runde der Berliner Schach-Mannschaftsmeisterschaft brachte die zum großen Teil aus jungen Nachwuchs-^ sPielern bestehende Mannschaft von Union	4:13	0:171	Sensation
