instanceID	label	comment	annotator
111	abundant	-	C
112	wealthy	-	C
113	wealthy	-	C
114	high	-	C
115	wealthy	-	C
116	wealthy	-	C
117	full	-	C
118	deep	-	C
119	wealthy	-	C
120	wealthy	-	C
111	full	-	A
112	wealthy	-	A
113	wealthy	-	A
114	loaded	-	A
115	wealthy	-	A
116	wealthy	-	A
117	full	-	A
118	fruitful	-	A
119	wealthy	-	A
120	wealthy	-	A
111	productive	-	F
112	wealth	-	F
113	wealth	-	F
114	strong	-	F
115	wealth	-	F
116	wealth	-	F
117	sumptuous	-	F
118	plentiful	-	F
119	wealth	-	F
120	wealth	-	F
111	abundant	-	G
112	wealthy	-	G
113	wealthy	-	G
114	abundant	-	G
115	wealthy	-	G
116	wealthy	-	G
117	opulent	-	G
118	affluent	-	G
119	wealthy	-	G
120	wealthy	-	G
111	fulfilling	-	D
112	affluent	-	D
113	prosperous	-	D
114	high	-	D
115	affluent	-	D
116	successful	-	D
117	intense	-	D
118	grand	-	D
119	affluent	-	D
120	affluent	-	D
111	wholesome	-	H
112	wealthy	-	H
113	wealthy	-	H
114	abundant	-	H
115	wealthy	-	H
116	wealthy	-	H
117	potent	-	H
118	complete	-	H
119	wealthy	-	H
120	wealthy	-	H
111	diverse	-	I
112	wealthy	-	I
113	wealthy	-	I
114	high	-	I
115	wealthy	-	I
116	wealthy	-	I
117	full	-	I
118	strong	-	I
119	wealthy	-	I
120	wealthy	-	I
111	deep	-	J
112	wealthy	-	J
113	wealthy	-	J
114	high	-	J
115	wealthy	-	J
116	wealthy	-	J
117	with more quality	-	J
118	quality abundant	-	J
119	wealthy	-	J
120	wealthy	-	J
