instanceID	label	comment	annotator
0_rally_nn	3.0	 	annotator2
1_rally_nn	2.0	 	annotator2
2_rally_nn	2.0	 	annotator2
3_rally_nn	3.0	 	annotator2
4_rally_nn	3.0	 	annotator2
5_rally_nn	4.0	 	annotator2
6_rally_nn	3.0	 	annotator2
7_rally_nn	3.0	 	annotator2
8_rally_nn	4.0	 	annotator2
9_rally_nn	3.0	 	annotator2
10_rally_nn	3.0	 	annotator2
11_rally_nn	4.0	 	annotator2
12_rally_nn	4.0	 	annotator2
13_rally_nn	3.0	 	annotator2
14_rally_nn	2.0	 	annotator2
15_rally_nn	4.0	 	annotator2
16_rally_nn	4.0	 	annotator2
17_rally_nn	3.0	 	annotator2
18_rally_nn	2.0	 	annotator2
19_rally_nn	4.0	 	annotator2
20_rally_nn	4.0	 	annotator2
21_rally_nn	3.0	 	annotator2
22_rally_nn	4.0	 	annotator2
23_rally_nn	4.0	 	annotator2
24_rally_nn	3.0	 	annotator2
25_rally_nn	3.0	 	annotator6
26_rally_nn	2.0	 	annotator6
10_rally_nn	3.0	 	annotator6
27_rally_nn	2.0	 	annotator6
28_rally_nn	3.0	 	annotator6
29_rally_nn	3.0	 	annotator6
6_rally_nn	3.0	 	annotator6
30_rally_nn	1.0	 	annotator6
31_rally_nn	3.0	 	annotator6
32_rally_nn	4.0	 	annotator6
13_rally_nn	3.0	 	annotator6
8_rally_nn	3.0	 	annotator6
33_rally_nn	3.0	 	annotator6
34_rally_nn	3.0	 	annotator6
35_rally_nn	3.0	 	annotator6
36_rally_nn	2.0	 	annotator6
37_rally_nn	1.0	 	annotator6
38_rally_nn	3.0	 	annotator6
39_rally_nn	3.0	 	annotator6
40_rally_nn	1.0	 	annotator6
41_rally_nn	2.0	 	annotator6
16_rally_nn	3.0	 	annotator6
42_rally_nn	3.0	 	annotator6
43_rally_nn	2.0	 	annotator6
44_rally_nn	2.0	 	annotator6
45_rally_nn	2.0	 	annotator6
46_rally_nn	2.0	 	annotator6
47_rally_nn	3.0	 	annotator6
48_rally_nn	3.0	 	annotator6
49_rally_nn	3.0	 	annotator6
50_rally_nn	4.0	 	annotator6
51_rally_nn	3.0	 	annotator6
52_rally_nn	2.0	 	annotator6
53_rally_nn	4.0	 	annotator5
54_rally_nn	4.0	 	annotator5
9_rally_nn	3.0	 	annotator5
55_rally_nn	4.0	 	annotator5
56_rally_nn	2.0	 	annotator5
57_rally_nn	3.0	 	annotator5
58_rally_nn	3.0	 	annotator5
59_rally_nn	2.0	 	annotator5
60_rally_nn	3.0	 	annotator5
21_rally_nn	4.0	 	annotator5
35_rally_nn	3.0	 	annotator5
61_rally_nn	2.0	 	annotator5
62_rally_nn	2.0	 	annotator5
63_rally_nn	3.0	 	annotator5
37_rally_nn	2.0	 	annotator5
64_rally_nn	1.0	Unsure; I think the target word in sentence 2 is a misspelling of really	annotator0
16_rally_nn	4.0	 	annotator0
65_rally_nn	3.0	 	annotator0
66_rally_nn	4.0	 	annotator0
67_rally_nn	3.0	 	annotator0
21_rally_nn	4.0	 	annotator0
68_rally_nn	3.0	 	annotator0
69_rally_nn	3.0	 	annotator0
32_rally_nn	4.0	 	annotator0
70_rally_nn	3.0	 	annotator0
71_rally_nn	4.0	 	annotator0
53_rally_nn	4.0	 	annotator0
72_rally_nn	3.0	 	annotator0
73_rally_nn	3.0	 	annotator0
74_rally_nn	4.0	Unsure	annotator0
75_rally_nn	3.0	 	annotator0
76_rally_nn	3.0	 	annotator0
61_rally_nn	3.0	 	annotator0
77_rally_nn	4.0	 	annotator0
78_rally_nn	-	don't understand	annotator2
79_rally_nn	4.0	 	annotator2
80_rally_nn	3.0	 	annotator2
81_rally_nn	3.0	 	annotator2
82_rally_nn	1.0	 	annotator2
83_rally_nn	1.0	 	annotator2
61_rally_nn	3.0	 	annotator2
84_rally_nn	1.0	 	annotator2
58_rally_nn	3.0	 	annotator2
85_rally_nn	3.0	 	annotator2
86_rally_nn	3.0	 	annotator2
87_rally_nn	1.0	generally	annotator2
88_rally_nn	3.0	 	annotator2
89_rally_nn	4.0	 	annotator2
90_rally_nn	-	 	annotator2
91_rally_nn	3.0	 	annotator2
59_rally_nn	3.0	 	annotator2
92_rally_nn	-	 	annotator2
93_rally_nn	4.0	 	annotator2
94_rally_nn	1.0	 	annotator2
95_rally_nn	4.0	 	annotator2
96_rally_nn	4.0	 	annotator2
97_rally_nn	1.0	 	annotator2
98_rally_nn	-	 	annotator2
99_rally_nn	4.0	 	annotator2
100_rally_nn	-	 	annotator2
101_rally_nn	-	 	annotator2
102_rally_nn	3.0	 	annotator2
103_rally_nn	-	 	annotator2
104_rally_nn	-	 	annotator2
105_rally_nn	1.0	generally	annotator2
106_rally_nn	-	 	annotator2
107_rally_nn	1.0	 	annotator2
108_rally_nn	3.0	 	annotator2
109_rally_nn	4.0	 	annotator2
110_rally_nn	4.0	 	annotator2
111_rally_nn	4.0	 	annotator2
112_rally_nn	1.0	 	annotator2
113_rally_nn	-	 	annotator2
114_rally_nn	-	 	annotator2
115_rally_nn	4.0	 	annotator2
116_rally_nn	3.0	 	annotator2
117_rally_nn	3.0	 	annotator2
118_rally_nn	3.0	 	annotator2
119_rally_nn	1.0	 	annotator2
120_rally_nn	2.0	 	annotator2
121_rally_nn	-	 	annotator2
122_rally_nn	1.0	 	annotator2
123_rally_nn	1.0	 	annotator2
124_rally_nn	1.0	 	annotator2
125_rally_nn	3.0	 	annotator2
126_rally_nn	3.0	 	annotator2
127_rally_nn	4.0	 	annotator2
128_rally_nn	3.0	 	annotator2
129_rally_nn	-	 	annotator2
130_rally_nn	1.0	 	annotator2
131_rally_nn	4.0	 	annotator2
132_rally_nn	3.0	 	annotator2
133_rally_nn	4.0	 	annotator2
134_rally_nn	4.0	 	annotator2
135_rally_nn	1.0	 	annotator2
136_rally_nn	4.0	 	annotator2
137_rally_nn	-	 	annotator2
138_rally_nn	1.0	generally	annotator2
139_rally_nn	3.0	 	annotator2
140_rally_nn	4.0	 	annotator2
141_rally_nn	4.0	 	annotator2
142_rally_nn	1.0	 	annotator2
143_rally_nn	-	 	annotator2
144_rally_nn	3.0	 	annotator2
145_rally_nn	4.0	 	annotator2
146_rally_nn	4.0	 	annotator2
69_rally_nn	4.0	 	annotator2
147_rally_nn	1.0	 	annotator2
148_rally_nn	1.0	 	annotator2
149_rally_nn	1.0	 	annotator2
150_rally_nn	1.0	 	annotator2
151_rally_nn	3.0	 	annotator2
152_rally_nn	3.0	 	annotator2
153_rally_nn	1.0	 	annotator2
154_rally_nn	-	 	annotator2
47_rally_nn	3.0	 	annotator2
155_rally_nn	3.0	 	annotator2
156_rally_nn	4.0	 	annotator2
157_rally_nn	4.0	 	annotator2
158_rally_nn	4.0	 	annotator2
159_rally_nn	-	 	annotator2
160_rally_nn	4.0	 	annotator2
161_rally_nn	4.0	 	annotator2
162_rally_nn	3.0	 	annotator2
163_rally_nn	3.0	 	annotator2
164_rally_nn	4.0	 	annotator2
26_rally_nn	4.0	 	annotator2
165_rally_nn	3.0	 	annotator2
166_rally_nn	4.0	 	annotator2
167_rally_nn	-	 	annotator2
168_rally_nn	3.0	 	annotator2
77_rally_nn	3.0	 	annotator2
169_rally_nn	4.0	 	annotator2
170_rally_nn	4.0	 	annotator2
171_rally_nn	3.0	 	annotator2
172_rally_nn	-	 	annotator2
173_rally_nn	4.0	 	annotator2
174_rally_nn	3.0	 	annotator2
175_rally_nn	4.0	 	annotator2
176_rally_nn	1.0	 	annotator2
177_rally_nn	1.0	 	annotator2
178_rally_nn	2.0	 	annotator2
179_rally_nn	4.0	 	annotator2
180_rally_nn	4.0	 	annotator2
33_rally_nn	3.0	 	annotator2
181_rally_nn	1.0	 	annotator2
182_rally_nn	3.0	 	annotator2
68_rally_nn	3.0	 	annotator2
183_rally_nn	3.0	 	annotator2
184_rally_nn	1.0	 	annotator2
185_rally_nn	1.0	 	annotator2
186_rally_nn	3.0	 	annotator2
187_rally_nn	1.0	 	annotator2
188_rally_nn	4.0	 	annotator2
189_rally_nn	4.0	 	annotator2
190_rally_nn	4.0	 	annotator2
191_rally_nn	4.0	 	annotator2
192_rally_nn	4.0	 	annotator2
193_rally_nn	4.0	 	annotator2
194_rally_nn	4.0	 	annotator2
195_rally_nn	3.0	 	annotator2
196_rally_nn	1.0	 	annotator2
197_rally_nn	4.0	 	annotator2
198_rally_nn	1.0	 	annotator2
199_rally_nn	1.0	 	annotator2
200_rally_nn	1.0	 	annotator2
201_rally_nn	3.0	 	annotator2
202_rally_nn	1.0	 	annotator2
203_rally_nn	1.0	 	annotator2
204_rally_nn	4.0	 	annotator2
205_rally_nn	3.0	 	annotator2
206_rally_nn	1.0	 	annotator2
207_rally_nn	4.0	 	annotator2
208_rally_nn	1.0	 	annotator2
209_rally_nn	-	 	annotator2
210_rally_nn	3.0	 	annotator2
211_rally_nn	3.0	 	annotator2
212_rally_nn	4.0	 	annotator2
213_rally_nn	4.0	 	annotator2
214_rally_nn	1.0	 	annotator2
215_rally_nn	1.0	 	annotator2
216_rally_nn	4.0	 	annotator2
217_rally_nn	4.0	 	annotator2
218_rally_nn	1.0	 	annotator2
219_rally_nn	4.0	 	annotator2
220_rally_nn	4.0	 	annotator2
73_rally_nn	4.0	 	annotator2
221_rally_nn	4.0	 	annotator2
222_rally_nn	1.0	 	annotator2
223_rally_nn	1.0	 	annotator2
224_rally_nn	1.0	 	annotator2
225_rally_nn	1.0	 	annotator2
226_rally_nn	4.0	 	annotator2
227_rally_nn	4.0	 	annotator2
228_rally_nn	3.0	 	annotator2
229_rally_nn	1.0	 	annotator2
230_rally_nn	2.0	 	annotator2
231_rally_nn	4.0	 	annotator2
232_rally_nn	4.0	 	annotator2
233_rally_nn	1.0	*generally	annotator2
234_rally_nn	1.0	 	annotator2
235_rally_nn	3.0	 	annotator2
236_rally_nn	3.0	 	annotator2
237_rally_nn	4.0	 	annotator2
238_rally_nn	1.0	 	annotator2
239_rally_nn	4.0	 	annotator2
240_rally_nn	3.0	 	annotator2
241_rally_nn	1.0	 	annotator2
242_rally_nn	1.0	 	annotator2
243_rally_nn	1.0	 	annotator2
67_rally_nn	4.0	 	annotator2
244_rally_nn	4.0	 	annotator2
245_rally_nn	4.0	 	annotator2
