instanceID	label	comment	annotator
0_gas_nn	4.0	 	annotator2
1_gas_nn	4.0	 	annotator2
2_gas_nn	3.0	 	annotator2
3_gas_nn	4.0	 	annotator2
4_gas_nn	2.0	 	annotator2
5_gas_nn	4.0	 	annotator2
6_gas_nn	2.0	 	annotator2
7_gas_nn	4.0	 	annotator2
8_gas_nn	2.0	 	annotator2
9_gas_nn	4.0	 	annotator2
10_gas_nn	3.0	 	annotator2
11_gas_nn	2.0	 	annotator6
1_gas_nn	4.0	 	annotator6
12_gas_nn	3.0	 	annotator6
13_gas_nn	3.0	 	annotator6
14_gas_nn	1.0	 	annotator6
15_gas_nn	1.0	 	annotator6
16_gas_nn	1.0	 	annotator6
17_gas_nn	3.0	 	annotator6
5_gas_nn	3.0	 	annotator6
18_gas_nn	3.0	 	annotator6
19_gas_nn	3.0	 	annotator6
20_gas_nn	1.0	 	annotator6
21_gas_nn	3.0	 	annotator6
22_gas_nn	4.0	 	annotator6
23_gas_nn	3.0	 	annotator6
24_gas_nn	3.0	 	annotator6
25_gas_nn	2.0	 	annotator6
26_gas_nn	2.0	 	annotator5
8_gas_nn	2.0	 	annotator5
27_gas_nn	2.0	 	annotator5
28_gas_nn	2.0	 	annotator5
9_gas_nn	2.0	 	annotator5
16_gas_nn	2.0	 	annotator5
29_gas_nn	3.0	 	annotator5
15_gas_nn	2.0	 	annotator5
30_gas_nn	3.0	 	annotator5
31_gas_nn	2.0	 	annotator5
32_gas_nn	4.0	 	annotator0
33_gas_nn	2.0	 	annotator0
26_gas_nn	3.0	 	annotator0
11_gas_nn	4.0	 	annotator0
34_gas_nn	3.0	 	annotator0
35_gas_nn	4.0	 	annotator0
23_gas_nn	3.0	 	annotator0
36_gas_nn	3.0	 	annotator0
37_gas_nn	4.0	 	annotator0
38_gas_nn	3.0	 	annotator0
39_gas_nn	4.0	 	annotator0
40_gas_nn	3.0	both are petrol	annotator2
41_gas_nn	4.0	 	annotator2
42_gas_nn	4.0	 	annotator2
43_gas_nn	3.0	 	annotator2
44_gas_nn	4.0	 	annotator2
45_gas_nn	4.0	 	annotator2
46_gas_nn	4.0	 	annotator2
47_gas_nn	4.0	 	annotator2
48_gas_nn	4.0	 	annotator2
49_gas_nn	4.0	 	annotator2
50_gas_nn	4.0	 	annotator2
51_gas_nn	4.0	 	annotator2
52_gas_nn	4.0	 	annotator2
11_gas_nn	2.0	 	annotator2
53_gas_nn	4.0	 	annotator2
54_gas_nn	4.0	 	annotator2
55_gas_nn	4.0	 	annotator2
56_gas_nn	3.0	 	annotator2
57_gas_nn	3.0	 	annotator2
58_gas_nn	4.0	 	annotator2
59_gas_nn	4.0	 	annotator2
60_gas_nn	3.0	 	annotator2
61_gas_nn	3.0	 	annotator2
62_gas_nn	4.0	 	annotator2
63_gas_nn	3.0	 	annotator2
25_gas_nn	4.0	 	annotator2
64_gas_nn	4.0	 	annotator2
65_gas_nn	4.0	 	annotator2
66_gas_nn	4.0	 	annotator2
67_gas_nn	4.0	 	annotator2
68_gas_nn	3.0	 	annotator2
69_gas_nn	4.0	 	annotator2
70_gas_nn	3.0	 	annotator2
71_gas_nn	4.0	 	annotator2
72_gas_nn	4.0	 	annotator2
73_gas_nn	4.0	 	annotator2
74_gas_nn	3.0	 	annotator2
75_gas_nn	4.0	 	annotator2
76_gas_nn	4.0	 	annotator2
