instanceID	label	comment	annotator
0_bag_nn	4.0	 	annotator2
1_bag_nn	4.0	 	annotator2
2_bag_nn	3.0	 	annotator2
3_bag_nn	4.0	 	annotator2
4_bag_nn	4.0	 	annotator2
5_bag_nn	3.0	 	annotator6
6_bag_nn	3.0	 	annotator6
7_bag_nn	3.0	 	annotator6
2_bag_nn	3.0	 	annotator6
1_bag_nn	3.0	 	annotator5
8_bag_nn	4.0	 	annotator5
9_bag_nn	4.0	 	annotator5
10_bag_nn	3.0	 	annotator5
11_bag_nn	4.0	 	annotator5
12_bag_nn	4.0	 	annotator0
13_bag_nn	4.0	 	annotator0
14_bag_nn	4.0	 	annotator0
15_bag_nn	4.0	 	annotator0
16_bag_nn	4.0	 	annotator0
17_bag_nn	4.0	 	annotator2
18_bag_nn	3.0	 	annotator2
19_bag_nn	4.0	 	annotator2
20_bag_nn	4.0	 	annotator2
21_bag_nn	4.0	 	annotator2
22_bag_nn	4.0	 	annotator2
23_bag_nn	4.0	 	annotator2
24_bag_nn	4.0	 	annotator2
25_bag_nn	4.0	 	annotator2
26_bag_nn	4.0	 	annotator2
27_bag_nn	4.0	 	annotator2
28_bag_nn	4.0	 	annotator2
29_bag_nn	4.0	 	annotator2
30_bag_nn	4.0	 	annotator2
31_bag_nn	4.0	 	annotator2
32_bag_nn	4.0	 	annotator2
33_bag_nn	4.0	 	annotator2
34_bag_nn	4.0	 	annotator2
35_bag_nn	4.0	 	annotator2
36_bag_nn	2.0	 	annotator2
37_bag_nn	4.0	 	annotator2
38_bag_nn	4.0	 	annotator2
39_bag_nn	4.0	 	annotator2
40_bag_nn	4.0	 	annotator2
41_bag_nn	4.0	 	annotator2
42_bag_nn	4.0	 	annotator2
43_bag_nn	4.0	 	annotator2
44_bag_nn	4.0	 	annotator2
45_bag_nn	4.0	 	annotator2
46_bag_nn	4.0	 	annotator2
47_bag_nn	4.0	 	annotator2
48_bag_nn	4.0	 	annotator2
49_bag_nn	4.0	 	annotator2
50_bag_nn	4.0	 	annotator2
51_bag_nn	4.0	 	annotator2
52_bag_nn	3.0	 	annotator2
53_bag_nn	-	 	annotator2
54_bag_nn	4.0	 	annotator2
55_bag_nn	4.0	 	annotator2
56_bag_nn	2.0	 	annotator2
57_bag_nn	4.0	 	annotator2
58_bag_nn	4.0	 	annotator2
59_bag_nn	4.0	 	annotator2
