instanceID	label	comment	annotator
0_heel_nn	2.0	 	annotator2
1_heel_nn	3.0	 	annotator2
2_heel_nn	1.0	 	annotator2
3_heel_nn	1.0	 	annotator2
4_heel_nn	3.0	 	annotator2
5_heel_nn	1.0	 	annotator2
6_heel_nn	4.0	 	annotator2
7_heel_nn	4.0	 	annotator2
8_heel_nn	3.0	 	annotator2
9_heel_nn	1.0	 	annotator2
10_heel_nn	4.0	 	annotator2
11_heel_nn	1.0	 	annotator2
12_heel_nn	3.0	 	annotator2
13_heel_nn	4.0	 	annotator2
14_heel_nn	4.0	 	annotator2
15_heel_nn	1.0	 	annotator2
16_heel_nn	4.0	 	annotator2
17_heel_nn	2.0	 	annotator2
18_heel_nn	2.0	 	annotator2
19_heel_nn	4.0	 	annotator2
20_heel_nn	4.0	 	annotator2
21_heel_nn	1.0	 	annotator2
22_heel_nn	2.0	 	annotator2
23_heel_nn	3.0	 	annotator2
24_heel_nn	2.0	 	annotator2
25_heel_nn	2.0	 	annotator2
26_heel_nn	2.0	 	annotator2
27_heel_nn	3.0	 	annotator2
28_heel_nn	3.0	 	annotator2
29_heel_nn	4.0	 	annotator2
30_heel_nn	3.0	 	annotator2
31_heel_nn	2.0	 	annotator2
32_heel_nn	4.0	 	annotator2
33_heel_nn	2.0	 	annotator2
34_heel_nn	3.0	 	annotator2
35_heel_nn	2.0	 	annotator2
36_heel_nn	4.0	 	annotator2
37_heel_nn	2.0	 	annotator2
38_heel_nn	3.0	 	annotator2
39_heel_nn	2.0	 	annotator2
40_heel_nn	1.0	 	annotator2
41_heel_nn	4.0	 	annotator2
42_heel_nn	3.0	 	annotator6
43_heel_nn	2.0	 	annotator6
44_heel_nn	4.0	 	annotator6
45_heel_nn	3.0	 	annotator6
46_heel_nn	2.0	 	annotator6
9_heel_nn	3.0	 	annotator6
47_heel_nn	3.0	 	annotator6
48_heel_nn	3.0	 	annotator6
49_heel_nn	3.0	 	annotator6
50_heel_nn	4.0	 	annotator6
51_heel_nn	3.0	 	annotator6
52_heel_nn	3.0	 	annotator6
53_heel_nn	2.0	 	annotator6
54_heel_nn	2.0	 	annotator6
55_heel_nn	3.0	 	annotator6
56_heel_nn	4.0	 	annotator6
57_heel_nn	2.0	 	annotator6
58_heel_nn	2.0	 	annotator6
59_heel_nn	2.0	 	annotator6
60_heel_nn	2.0	 	annotator6
61_heel_nn	2.0	 	annotator6
62_heel_nn	2.0	 	annotator6
31_heel_nn	2.0	 	annotator6
63_heel_nn	2.0	 	annotator6
64_heel_nn	4.0	 	annotator6
29_heel_nn	2.0	 	annotator6
4_heel_nn	2.0	 	annotator6
65_heel_nn	3.0	 	annotator6
27_heel_nn	2.0	 	annotator6
3_heel_nn	2.0	 	annotator6
66_heel_nn	4.0	 	annotator6
67_heel_nn	2.0	 	annotator6
68_heel_nn	2.0	 	annotator6
69_heel_nn	2.0	 	annotator6
70_heel_nn	2.0	 	annotator6
38_heel_nn	2.0	 	annotator6
71_heel_nn	2.0	 	annotator6
72_heel_nn	2.0	 	annotator6
73_heel_nn	3.0	 	annotator6
74_heel_nn	2.0	 	annotator6
75_heel_nn	2.0	 	annotator6
21_heel_nn	2.0	 	annotator6
76_heel_nn	2.0	 	annotator6
77_heel_nn	2.0	 	annotator6
78_heel_nn	2.0	 	annotator6
79_heel_nn	4.0	 	annotator6
80_heel_nn	2.0	 	annotator6
81_heel_nn	2.0	 	annotator6
82_heel_nn	2.0	 	annotator6
83_heel_nn	2.0	 	annotator6
84_heel_nn	2.0	 	annotator6
85_heel_nn	2.0	 	annotator6
86_heel_nn	2.0	 	annotator6
87_heel_nn	2.0	 	annotator6
88_heel_nn	2.0	 	annotator6
89_heel_nn	2.0	 	annotator6
90_heel_nn	2.0	 	annotator6
91_heel_nn	2.0	 	annotator6
92_heel_nn	2.0	 	annotator6
93_heel_nn	2.0	 	annotator6
94_heel_nn	2.0	 	annotator6
95_heel_nn	2.0	 	annotator6
96_heel_nn	4.0	 	annotator5
97_heel_nn	2.0	 	annotator5
68_heel_nn	2.0	 	annotator5
98_heel_nn	3.0	 	annotator5
99_heel_nn	2.0	 	annotator5
88_heel_nn	4.0	 	annotator5
100_heel_nn	2.0	 	annotator5
101_heel_nn	4.0	 	annotator5
102_heel_nn	2.0	 	annotator5
103_heel_nn	2.0	 	annotator5
104_heel_nn	2.0	 	annotator5
56_heel_nn	4.0	 	annotator5
66_heel_nn	4.0	 	annotator5
105_heel_nn	4.0	 	annotator5
72_heel_nn	2.0	 	annotator5
106_heel_nn	2.0	 	annotator5
107_heel_nn	4.0	 	annotator5
20_heel_nn	4.0	 	annotator5
108_heel_nn	2.0	 	annotator5
43_heel_nn	2.0	 	annotator5
109_heel_nn	4.0	 	annotator5
110_heel_nn	2.0	 	annotator5
111_heel_nn	2.0	 	annotator5
112_heel_nn	4.0	 	annotator5
113_heel_nn	4.0	 	annotator5
114_heel_nn	4.0	 	annotator5
78_heel_nn	2.0	 	annotator5
40_heel_nn	4.0	 	annotator5
115_heel_nn	2.0	 	annotator5
116_heel_nn	2.0	 	annotator5
117_heel_nn	2.0	 	annotator5
49_heel_nn	4.0	 	annotator5
118_heel_nn	3.0	 	annotator5
119_heel_nn	4.0	 	annotator5
22_heel_nn	3.0	 	annotator5
120_heel_nn	2.0	 	annotator5
121_heel_nn	4.0	 	annotator5
122_heel_nn	3.0	 	annotator5
123_heel_nn	2.0	 	annotator5
124_heel_nn	2.0	 	annotator5
125_heel_nn	4.0	 	annotator5
126_heel_nn	3.0	 	annotator5
70_heel_nn	2.0	 	annotator5
82_heel_nn	3.0	 	annotator5
127_heel_nn	4.0	 	annotator0
128_heel_nn	3.0	 	annotator0
129_heel_nn	3.0	Unsure	annotator0
130_heel_nn	4.0	 	annotator0
77_heel_nn	3.0	Unsure	annotator0
131_heel_nn	3.0	 	annotator0
3_heel_nn	2.0	 	annotator0
132_heel_nn	4.0	 	annotator0
133_heel_nn	4.0	 	annotator0
134_heel_nn	4.0	 	annotator0
85_heel_nn	4.0	 	annotator0
123_heel_nn	3.0	 	annotator0
135_heel_nn	4.0	 	annotator0
136_heel_nn	4.0	 	annotator0
0_heel_nn	4.0	 	annotator0
137_heel_nn	2.0	 	annotator0
117_heel_nn	3.0	Unsure	annotator0
16_heel_nn	4.0	 	annotator0
138_heel_nn	3.0	 	annotator0
139_heel_nn	3.0	 	annotator0
140_heel_nn	3.0	 	annotator0
76_heel_nn	2.0	 	annotator0
141_heel_nn	2.0	 	annotator0
142_heel_nn	3.0	 	annotator0
118_heel_nn	4.0	 	annotator0
143_heel_nn	4.0	 	annotator0
121_heel_nn	4.0	 	annotator0
144_heel_nn	4.0	 	annotator0
145_heel_nn	2.0	 	annotator0
146_heel_nn	4.0	 	annotator0
147_heel_nn	4.0	 	annotator0
148_heel_nn	4.0	 	annotator0
149_heel_nn	4.0	 	annotator0
18_heel_nn	3.0	 	annotator0
150_heel_nn	4.0	 	annotator0
13_heel_nn	4.0	 	annotator0
151_heel_nn	3.0	 	annotator0
152_heel_nn	2.0	 	annotator0
153_heel_nn	4.0	 	annotator0
154_heel_nn	4.0	 	annotator0
155_heel_nn	3.0	 	annotator0
52_heel_nn	4.0	 	annotator0
156_heel_nn	2.0	Unsure	annotator0
105_heel_nn	4.0	 	annotator0
157_heel_nn	4.0	 	annotator2
158_heel_nn	4.0	 	annotator2
159_heel_nn	2.0	 	annotator2
116_heel_nn	-	no clue what heels are referring to in s1	annotator2
112_heel_nn	3.0	 	annotator2
160_heel_nn	3.0	 	annotator2
85_heel_nn	2.0	 	annotator2
161_heel_nn	4.0	 	annotator2
162_heel_nn	3.0	 	annotator2
163_heel_nn	2.0	 	annotator2
164_heel_nn	4.0	 	annotator2
165_heel_nn	2.0	 	annotator2
166_heel_nn	4.0	 	annotator2
167_heel_nn	4.0	 	annotator2
168_heel_nn	3.0	 	annotator2
169_heel_nn	1.0	 	annotator2
170_heel_nn	3.0	 	annotator2
171_heel_nn	4.0	 	annotator2
172_heel_nn	1.0	 	annotator2
173_heel_nn	4.0	 	annotator2
174_heel_nn	2.0	 	annotator2
175_heel_nn	2.0	 	annotator2
176_heel_nn	4.0	 	annotator2
177_heel_nn	1.0	 	annotator2
78_heel_nn	2.0	 	annotator2
178_heel_nn	3.0	 	annotator2
179_heel_nn	4.0	 	annotator2
180_heel_nn	3.0	 	annotator2
181_heel_nn	4.0	 	annotator2
182_heel_nn	2.0	 	annotator2
183_heel_nn	2.0	 	annotator2
73_heel_nn	2.0	 	annotator2
184_heel_nn	1.0	 	annotator2
185_heel_nn	3.0	 	annotator2
186_heel_nn	-	 	annotator2
187_heel_nn	3.0	 	annotator2
188_heel_nn	1.0	 	annotator2
189_heel_nn	4.0	 	annotator2
101_heel_nn	4.0	 	annotator2
190_heel_nn	4.0	 	annotator2
191_heel_nn	1.0	 	annotator2
192_heel_nn	3.0	 	annotator2
193_heel_nn	4.0	 	annotator2
194_heel_nn	3.0	 	annotator2
135_heel_nn	4.0	 	annotator2
195_heel_nn	2.0	 	annotator2
196_heel_nn	4.0	 	annotator2
197_heel_nn	3.0	 	annotator2
198_heel_nn	2.0	 	annotator2
81_heel_nn	3.0	 	annotator2
199_heel_nn	3.0	 	annotator2
200_heel_nn	3.0	 	annotator2
201_heel_nn	2.0	 	annotator2
202_heel_nn	3.0	 	annotator2
203_heel_nn	2.0	 	annotator2
47_heel_nn	3.0	 	annotator2
204_heel_nn	1.0	 	annotator2
205_heel_nn	2.0	 	annotator2
109_heel_nn	4.0	 	annotator2
206_heel_nn	4.0	 	annotator2
68_heel_nn	3.0	 	annotator2
207_heel_nn	4.0	 	annotator2
208_heel_nn	2.0	 	annotator2
209_heel_nn	3.0	 	annotator2
210_heel_nn	3.0	 	annotator2
211_heel_nn	1.0	 	annotator2
212_heel_nn	3.0	 	annotator2
213_heel_nn	3.0	 	annotator2
214_heel_nn	3.0	 	annotator2
215_heel_nn	4.0	 	annotator2
216_heel_nn	2.0	 	annotator2
217_heel_nn	4.0	 	annotator2
218_heel_nn	2.0	 	annotator2
219_heel_nn	3.0	 	annotator2
220_heel_nn	4.0	 	annotator2
221_heel_nn	3.0	 	annotator2
222_heel_nn	4.0	 	annotator2
223_heel_nn	1.0	 	annotator2
224_heel_nn	1.0	 	annotator2
225_heel_nn	2.0	 	annotator2
226_heel_nn	3.0	 	annotator2
227_heel_nn	3.0	 	annotator2
228_heel_nn	3.0	 	annotator2
229_heel_nn	3.0	 	annotator2
43_heel_nn	3.0	 	annotator2
230_heel_nn	3.0	 	annotator2
231_heel_nn	3.0	 	annotator2
232_heel_nn	4.0	 	annotator2
233_heel_nn	4.0	 	annotator2
234_heel_nn	3.0	 	annotator2
235_heel_nn	2.0	 	annotator2
236_heel_nn	2.0	 	annotator2
237_heel_nn	4.0	 	annotator2
238_heel_nn	3.0	 	annotator2
239_heel_nn	1.0	 	annotator2
240_heel_nn	2.0	 	annotator2
241_heel_nn	4.0	 	annotator2
242_heel_nn	4.0	 	annotator2
243_heel_nn	3.0	 	annotator2
244_heel_nn	2.0	 	annotator2
245_heel_nn	1.0	 	annotator2
246_heel_nn	4.0	 	annotator2
247_heel_nn	4.0	 	annotator2
248_heel_nn	4.0	 	annotator2
249_heel_nn	2.0	 	annotator2
250_heel_nn	3.0	 	annotator2
251_heel_nn	3.0	 	annotator2
252_heel_nn	3.0	 	annotator2
253_heel_nn	-	 	annotator2
254_heel_nn	2.0	 	annotator2
255_heel_nn	3.0	 	annotator2
256_heel_nn	4.0	 	annotator2
257_heel_nn	3.0	 	annotator2
258_heel_nn	4.0	 	annotator2
83_heel_nn	3.0	 	annotator2
108_heel_nn	3.0	 	annotator2
259_heel_nn	-	 	annotator2
260_heel_nn	3.0	 	annotator2
261_heel_nn	3.0	 	annotator2
262_heel_nn	2.0	 	annotator2
263_heel_nn	-	 	annotator2
264_heel_nn	3.0	 	annotator2
265_heel_nn	4.0	 	annotator2
266_heel_nn	2.0	 	annotator2
267_heel_nn	-	 	annotator2
268_heel_nn	3.0	 	annotator2
269_heel_nn	1.0	 	annotator2
270_heel_nn	2.0	 	annotator2
53_heel_nn	2.0	 	annotator2
271_heel_nn	4.0	 	annotator2
272_heel_nn	3.0	 	annotator2
273_heel_nn	1.0	 	annotator2
274_heel_nn	4.0	 	annotator2
275_heel_nn	4.0	 	annotator2
276_heel_nn	2.0	 	annotator2
277_heel_nn	4.0	 	annotator2
278_heel_nn	3.0	 	annotator2
279_heel_nn	4.0	 	annotator2
280_heel_nn	1.0	 	annotator2
281_heel_nn	2.0	 	annotator2
282_heel_nn	1.0	 	annotator2
283_heel_nn	4.0	 	annotator2
284_heel_nn	4.0	 	annotator2
285_heel_nn	4.0	 	annotator2
286_heel_nn	4.0	 	annotator2
287_heel_nn	4.0	 	annotator2
288_heel_nn	4.0	 	annotator2
289_heel_nn	4.0	 	annotator2
290_heel_nn	4.0	 	annotator2
291_heel_nn	4.0	 	annotator2
292_heel_nn	3.0	 	annotator2
293_heel_nn	4.0	 	annotator2
294_heel_nn	2.0	 	annotator2
295_heel_nn	4.0	 	annotator2
296_heel_nn	4.0	 	annotator2
113_heel_nn	3.0	 	annotator2
297_heel_nn	2.0	 	annotator2
298_heel_nn	2.0	 	annotator2
299_heel_nn	1.0	 	annotator2
97_heel_nn	2.0	 	annotator2
300_heel_nn	4.0	 	annotator2
