instanceID	label	comment	annotator
1611-soft%3:00:00::	0	-	C
1611-soft%3:00:01::	0	-	C
1611-soft%3:00:02::	0	-	C
1611-soft%3:00:03::	0	-	C
1611-soft%3:00:04::	0	-	C
1611-soft%3:00:05::	0	-	C
1611-soft%3:00:06::	0	-	C
1611-soft%3:00:07::	0	-	C
1611-soft%5:00:00:clement:02	0	-	C
1611-soft%5:00:00:conciliatory:00	0	-	C
1611-soft%5:00:00:dull:02	0	-	C
1611-soft%5:00:00:easy:01	1	-	C
1611-soft%5:00:00:falling:00	0	-	C
1611-soft%5:00:00:light:08	0	-	C
1611-soft%5:00:00:mild:00	0	-	C
1611-soft%5:00:00:permissive:01	0	-	C
1611-soft%5:00:00:qualitative:00	1	-	C
1611-soft%5:00:00:tender:02	0	-	C
1611-soft%5:00:00:unfit:01	0	-	C
1612-soft%3:00:00::	0	-	C
1612-soft%3:00:01::	0	-	C
1612-soft%3:00:02::	0	-	C
1612-soft%3:00:03::	0	-	C
1612-soft%3:00:04::	1	-	C
1612-soft%3:00:05::	0	-	C
1612-soft%3:00:06::	0	-	C
1612-soft%3:00:07::	0	-	C
1612-soft%5:00:00:clement:02	0	-	C
1612-soft%5:00:00:conciliatory:00	0	-	C
1612-soft%5:00:00:dull:02	0	-	C
1612-soft%5:00:00:easy:01	0	-	C
1612-soft%5:00:00:falling:00	0	-	C
1612-soft%5:00:00:light:08	0	-	C
1612-soft%5:00:00:mild:00	0	-	C
1612-soft%5:00:00:permissive:01	0	-	C
1612-soft%5:00:00:qualitative:00	0	-	C
1612-soft%5:00:00:tender:02	0	-	C
1612-soft%5:00:00:unfit:01	0	-	C
1613-soft%3:00:00::	0	-	C
1613-soft%3:00:01::	0	-	C
1613-soft%3:00:02::	1	-	C
1613-soft%3:00:03::	0	-	C
1613-soft%3:00:04::	0	-	C
1613-soft%3:00:05::	0	-	C
1613-soft%3:00:06::	0	-	C
1613-soft%3:00:07::	0	-	C
1613-soft%5:00:00:clement:02	0	-	C
1613-soft%5:00:00:conciliatory:00	0	-	C
1613-soft%5:00:00:dull:02	0	-	C
1613-soft%5:00:00:easy:01	0	-	C
1613-soft%5:00:00:falling:00	0	-	C
1613-soft%5:00:00:light:08	0	-	C
1613-soft%5:00:00:mild:00	0	-	C
1613-soft%5:00:00:permissive:01	0	-	C
1613-soft%5:00:00:qualitative:00	0	-	C
1613-soft%5:00:00:tender:02	0	-	C
1613-soft%5:00:00:unfit:01	0	-	C
1614-soft%3:00:00::	0	-	C
1614-soft%3:00:01::	1	-	C
1614-soft%3:00:02::	0	-	C
1614-soft%3:00:03::	0	-	C
1614-soft%3:00:04::	0	-	C
1614-soft%3:00:05::	0	-	C
1614-soft%3:00:06::	0	-	C
1614-soft%3:00:07::	0	-	C
1614-soft%5:00:00:clement:02	0	-	C
