dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1969-02-18_01_092.tcf.xml-39-11	Bei mir war noch niemand die bekannte Redewendung wurde fortan zum Ohrwurm	67:74	0:74	Ohrwurm
2532889X_1971-05-11_01_158.tcf.xml-9-6	"Leider allerdings fehlt ein ausgesprochener „Ohrwurm"", eine Melodie wenigstens, die rich -"	45:52	0:90	Ohrwurm
2532889X_1972-09-07_01_053.tcf.xml-21-5	"Badinskis Melodien sind keine „Ohrwürmer"", im Gegenteil, er schreibt eine nicht immer sofort verständliche Musik, sondern eine, die der schöpferischen An -"	31:40	0:155	Ohrwurm
2532889X_1973-02-03_01_347.tcf.xml-11-30	"Thomas Natschinskis „JoseHne"" oder „Mokka-Milch-Eisbar"", Horst Krugers „Sieh mal an erweisen sich hier wie. überall, wo sie erklingen, als „Ohrwürmer"", wie es"	140:149	0:158	Ohrwurm
2532889X_1977-12-20_01_057.tcf.xml-4-29	"Auf dem ersten Rang plazierten sich die Roten Gitarren aus der VR Polen mit ihrem Lied „Weißes Boot"", das sicherlich vielen Zuhörern noch lange als „Ohrwurm"" nachgehen wird."	149:156	0:173	Ohrwurm
2532889X_1983-01-22_01_311.tcf.xml-29-1	Der Ohrwurm 16.00 Der Wunschbriefkasten 17.00 Nachrichten 17.05 Sport aktuell 18.25 Gewinnzahlen der Woche 18.45 Programmvorschau 18.50 Unser Sandmännchen 19.00 Tele-Lotto 19.25 Das Wetter 19.30 Aktuelle Kamera 20.00 Märkische Chronik (5)	4:11	0:238	Ohrwurm
2532889X_1984-10-26_01_061.tcf.xml-18-2	"Kein „Ohrwurm"" mehr wie etwa die Walzer des „Rosenkavaliers"", keine Dramatik a la „Elektra"", kein Perlmuttglanz wie in „Ariadne"" — dafür Grazie des Parlando, Rossim-Bno, orchestrale Finessen, Humor und weise Selbsterkenntnis."	6:13	0:225	Ohrwurm
2532889X_1985-11-21_01_061.tcf.xml-19-29	"Man spürt, daß es den Akteuren selber Spaß macht — etwa, wenn Gert Kießling die Hintergründigkeit der Verse vom Hinterhof lied des Lumpensammlers"" auskostet oder beim Ohrwurm „Die Linden entlang, Galopp, Galopp!"" komö -"	167:174	0:219	Ohrwurm
2532889X_1986-07-29_01_081.tcf.xml-6-12	Manche erklangen im Originalarrangement, andere wurden rhythmisch verjüngt, wie der Ohrwurm über die Caprifischer, den Bisser Kirow zaghaft verrockte.	84:91	0:150	Ohrwurm
2532889X_1988-01-05_01_062.tcf.xml-14-25	"Jedenfalls hört man Melodien, die nie die Banalitäten des Librettos der Herren-Haller und Redeamus erreichen, im „Armen Wandergesell"" ihren lyrischen Ohrwurm haben und in dem „Onkel und Tante, ja das sind Verwandte"" ausgesprochen drollig daherkommen."	150:157	0:250	Ohrwurm
2532889X_1988-12-27_01_066.tcf.xml-17-1	„Ohrwürmer von Johann und Josef Strauß, dirigiert von Carlos Kleiber (Sonntag. 12.15 Uhr.	1:10	0:89	Ohrwurm
2532889X_1989-09-08_01_107.tcf.xml-23-23	Einfache, eingängige Melodien erleichtern das Vorhaben, und ein Lied über Suhler Mädchen, die Schmücke oder zwitschernde Vögelein avanciert schnell zum Ohrwurm, dessen Lebensdauer vorerst nicht wichtig ist.	152:159	0:206	Ohrwurm
2532889X_1990-05-29_01_086.tcf.xml-10-3	Auch ohne eigentlichen Ohrwurm, ohne prall hingesetzten Cancan verleugnet der Musiker nie sein Theaterblut.	23:30	0:107	Ohrwurm
