instanceID	label	comment	annotator
0_lass_nn	4.0	 	annotator2
1_lass_nn	4.0	 	annotator2
2_lass_nn	1.0	 	annotator2
3_lass_nn	4.0	 	annotator2
4_lass_nn	4.0	 	annotator2
5_lass_nn	1.0	 	annotator2
6_lass_nn	1.0	 	annotator6
7_lass_nn	4.0	 	annotator6
8_lass_nn	4.0	 	annotator6
9_lass_nn	4.0	 	annotator6
10_lass_nn	4.0	 	annotator6
11_lass_nn	1.0	 	annotator6
12_lass_nn	4.0	 	annotator5
13_lass_nn	4.0	 	annotator5
14_lass_nn	4.0	 	annotator5
3_lass_nn	4.0	 	annotator5
15_lass_nn	4.0	 	annotator0
9_lass_nn	4.0	 	annotator0
16_lass_nn	4.0	 	annotator0
17_lass_nn	4.0	 	annotator0
18_lass_nn	4.0	 	annotator0
19_lass_nn	4.0	 	annotator0
20_lass_nn	4.0	 	annotator2
21_lass_nn	4.0	 	annotator2
22_lass_nn	1.0	 	annotator2
23_lass_nn	4.0	 	annotator2
24_lass_nn	1.0	 	annotator2
25_lass_nn	1.0	 	annotator2
26_lass_nn	1.0	 	annotator2
27_lass_nn	1.0	 	annotator2
28_lass_nn	4.0	 	annotator2
29_lass_nn	1.0	 	annotator2
30_lass_nn	4.0	 	annotator2
31_lass_nn	1.0	 	annotator2
32_lass_nn	1.0	 	annotator2
33_lass_nn	4.0	 	annotator2
34_lass_nn	1.0	 	annotator2
35_lass_nn	4.0	 	annotator2
36_lass_nn	1.0	 	annotator2
37_lass_nn	1.0	 	annotator2
38_lass_nn	4.0	 	annotator2
39_lass_nn	1.0	 	annotator2
40_lass_nn	-	 	annotator2
41_lass_nn	4.0	 	annotator2
42_lass_nn	4.0	 	annotator2
43_lass_nn	4.0	 	annotator2
44_lass_nn	4.0	 	annotator2
45_lass_nn	1.0	 	annotator2
46_lass_nn	1.0	 	annotator2
47_lass_nn	4.0	 	annotator2
48_lass_nn	1.0	 	annotator2
49_lass_nn	4.0	 	annotator2
50_lass_nn	1.0	 	annotator2
51_lass_nn	4.0	 	annotator2
52_lass_nn	4.0	 	annotator2
53_lass_nn	1.0	 	annotator2
54_lass_nn	4.0	 	annotator2
55_lass_nn	1.0	 	annotator2
56_lass_nn	1.0	 	annotator2
57_lass_nn	4.0	 	annotator2
58_lass_nn	1.0	 	annotator2
59_lass_nn	1.0	 	annotator2
60_lass_nn	4.0	 	annotator2
61_lass_nn	4.0	 	annotator2
62_lass_nn	1.0	 	annotator2
63_lass_nn	1.0	 	annotator2
64_lass_nn	4.0	 	annotator2
65_lass_nn	1.0	 	annotator2
66_lass_nn	1.0	 	annotator2
67_lass_nn	1.0	 	annotator2
68_lass_nn	1.0	 	annotator2
69_lass_nn	1.0	 	annotator2
70_lass_nn	1.0	 	annotator2
71_lass_nn	1.0	 	annotator2
72_lass_nn	1.0	 	annotator2
73_lass_nn	1.0	 	annotator2
74_lass_nn	1.0	 	annotator2
75_lass_nn	4.0	 	annotator2
76_lass_nn	1.0	 	annotator2
77_lass_nn	4.0	 	annotator2
78_lass_nn	4.0	 	annotator2
79_lass_nn	1.0	 	annotator2
80_lass_nn	1.0	 	annotator2
81_lass_nn	4.0	 	annotator2
82_lass_nn	1.0	 	annotator2
83_lass_nn	1.0	 	annotator2
84_lass_nn	4.0	 	annotator2
85_lass_nn	1.0	 	annotator2
86_lass_nn	4.0	 	annotator2
87_lass_nn	4.0	 	annotator2
88_lass_nn	1.0	 	annotator2
89_lass_nn	4.0	 	annotator2
90_lass_nn	4.0	 	annotator2
91_lass_nn	1.0	 	annotator2
92_lass_nn	1.0	 	annotator2
93_lass_nn	4.0	 	annotator2
94_lass_nn	1.0	 	annotator2
95_lass_nn	1.0	 	annotator2
96_lass_nn	1.0	 	annotator2
97_lass_nn	1.0	 	annotator2
98_lass_nn	1.0	 	annotator2
99_lass_nn	4.0	 	annotator2
100_lass_nn	4.0	 	annotator2
101_lass_nn	1.0	 	annotator2
102_lass_nn	1.0	 	annotator2
103_lass_nn	4.0	 	annotator2
104_lass_nn	4.0	 	annotator2
105_lass_nn	1.0	 	annotator2
106_lass_nn	1.0	 	annotator2
107_lass_nn	4.0	 	annotator2
108_lass_nn	1.0	 	annotator2
109_lass_nn	4.0	 	annotator2
110_lass_nn	1.0	 	annotator2
111_lass_nn	4.0	 	annotator2
112_lass_nn	4.0	 	annotator2
113_lass_nn	1.0	 	annotator2
114_lass_nn	1.0	 	annotator2
115_lass_nn	4.0	 	annotator2
116_lass_nn	1.0	 	annotator2
117_lass_nn	4.0	 	annotator2
118_lass_nn	4.0	 	annotator2
119_lass_nn	1.0	 	annotator2
120_lass_nn	1.0	 	annotator2
121_lass_nn	4.0	 	annotator2
122_lass_nn	4.0	 	annotator2
123_lass_nn	1.0	 	annotator2
124_lass_nn	4.0	 	annotator2
125_lass_nn	4.0	 	annotator2
126_lass_nn	4.0	 	annotator2
19_lass_nn	1.0	 	annotator2
127_lass_nn	1.0	 	annotator2
128_lass_nn	1.0	 	annotator2
129_lass_nn	1.0	 	annotator2
130_lass_nn	1.0	 	annotator2
131_lass_nn	1.0	 	annotator2
132_lass_nn	1.0	 	annotator2
133_lass_nn	4.0	 	annotator2
134_lass_nn	4.0	 	annotator2
135_lass_nn	1.0	 	annotator2
136_lass_nn	4.0	 	annotator2
137_lass_nn	1.0	 	annotator2
138_lass_nn	4.0	 	annotator2
139_lass_nn	1.0	 	annotator2
140_lass_nn	4.0	 	annotator2
141_lass_nn	1.0	 	annotator2
142_lass_nn	1.0	 	annotator2
143_lass_nn	4.0	 	annotator2
144_lass_nn	4.0	 	annotator2
145_lass_nn	4.0	 	annotator2
146_lass_nn	4.0	 	annotator2
147_lass_nn	1.0	 	annotator2
148_lass_nn	1.0	 	annotator2
149_lass_nn	4.0	 	annotator2
150_lass_nn	1.0	 	annotator2
151_lass_nn	1.0	 	annotator2
152_lass_nn	1.0	 	annotator2
153_lass_nn	4.0	 	annotator2
154_lass_nn	4.0	 	annotator2
155_lass_nn	4.0	 	annotator2
156_lass_nn	4.0	 	annotator2
157_lass_nn	4.0	 	annotator2
158_lass_nn	4.0	 	annotator2
159_lass_nn	4.0	 	annotator2
160_lass_nn	4.0	 	annotator2
161_lass_nn	1.0	 	annotator2
162_lass_nn	4.0	 	annotator2
163_lass_nn	4.0	 	annotator2
164_lass_nn	1.0	 	annotator2
165_lass_nn	1.0	 	annotator2
166_lass_nn	4.0	 	annotator2
167_lass_nn	4.0	 	annotator2
168_lass_nn	1.0	 	annotator2
169_lass_nn	1.0	 	annotator2
170_lass_nn	1.0	 	annotator2
171_lass_nn	4.0	 	annotator2
172_lass_nn	1.0	 	annotator2
173_lass_nn	4.0	 	annotator2
174_lass_nn	4.0	 	annotator2
175_lass_nn	4.0	 	annotator2
176_lass_nn	1.0	 	annotator2
177_lass_nn	4.0	 	annotator2
178_lass_nn	1.0	 	annotator2
179_lass_nn	4.0	 	annotator2
180_lass_nn	4.0	 	annotator2
181_lass_nn	4.0	 	annotator2
182_lass_nn	1.0	 	annotator2
183_lass_nn	4.0	 	annotator2
184_lass_nn	4.0	 	annotator2
185_lass_nn	1.0	 	annotator2
186_lass_nn	4.0	 	annotator2
187_lass_nn	-	not the same root	annotator5
188_lass_nn	4.0	 	annotator5
189_lass_nn	4.0	 	annotator5
42_lass_nn	4.0	 	annotator5
190_lass_nn	4.0	 	annotator5
191_lass_nn	3.0	 	annotator5
192_lass_nn	-	uncertain context, sentence 2	annotator5
193_lass_nn	-	not the same root	annotator5
194_lass_nn	-	not the same root	annotator5
182_lass_nn	-	not the same root	annotator5
195_lass_nn	-	not the same root	annotator5
196_lass_nn	-	not the same root	annotator5
197_lass_nn	4.0	 	annotator5
107_lass_nn	3.0	 	annotator5
198_lass_nn	-	not the same root	annotator5
199_lass_nn	3.0	 	annotator5
200_lass_nn	-	not the same root	annotator5
165_lass_nn	-	not the same root	annotator5
201_lass_nn	4.0	 	annotator5
202_lass_nn	2.0	 	annotator5
91_lass_nn	-	not the same root	annotator5
54_lass_nn	4.0	 	annotator5
203_lass_nn	-	not the same root	annotator5
204_lass_nn	4.0	 	annotator5
205_lass_nn	-	not the same root	annotator5
124_lass_nn	4.0	 	annotator5
206_lass_nn	4.0	 	annotator5
207_lass_nn	-	not the same root	annotator5
208_lass_nn	-	not the same root	annotator5
99_lass_nn	3.0	 	annotator5
169_lass_nn	-	not the same root	annotator5
209_lass_nn	4.0	 	annotator5
51_lass_nn	3.0	 	annotator5
45_lass_nn	-	not the same root	annotator5
210_lass_nn	3.0	 	annotator5
73_lass_nn	-	not the same root	annotator5
211_lass_nn	-	not the same root	annotator5
212_lass_nn	4.0	 	annotator5
213_lass_nn	-	not the same root	annotator5
214_lass_nn	-	not the same root	annotator5
215_lass_nn	-	not the same root	annotator5
216_lass_nn	3.0	 	annotator5
60_lass_nn	4.0	 	annotator5
217_lass_nn	-	not the same root	annotator5
218_lass_nn	-	not the same root	annotator5
219_lass_nn	-	not the same root	annotator5
220_lass_nn	-	not the same root	annotator5
221_lass_nn	-	not the same root	annotator5
120_lass_nn	-	not the same root	annotator5
222_lass_nn	3.0	 	annotator5
178_lass_nn	-	not the same root	annotator5
223_lass_nn	3.0	 	annotator5
224_lass_nn	4.0	 	annotator5
225_lass_nn	3.0	 	annotator5
226_lass_nn	4.0	 	annotator5
88_lass_nn	-	not the same root	annotator5
227_lass_nn	4.0	 	annotator5
106_lass_nn	-	not the same root	annotator5
228_lass_nn	-	not the same root	annotator5
52_lass_nn	4.0	 	annotator5
229_lass_nn	4.0	 	annotator5
230_lass_nn	-	not the same root	annotator5
231_lass_nn	4.0	 	annotator5
47_lass_nn	4.0	 	annotator5
232_lass_nn	-	not the same root	annotator5
233_lass_nn	-	not the same root	annotator5
141_lass_nn	-	not the same root	annotator5
234_lass_nn	-	not the same root	annotator5
235_lass_nn	3.0	 	annotator5
236_lass_nn	4.0	 	annotator5
61_lass_nn	4.0	 	annotator5
113_lass_nn	-	not the same root	annotator5
144_lass_nn	3.0	 	annotator5
237_lass_nn	-	not the same root	annotator5
103_lass_nn	4.0	 	annotator5
238_lass_nn	3.0	 	annotator5
24_lass_nn	-	not the same root	annotator5
6_lass_nn	-	not the same root	annotator5
239_lass_nn	4.0	 	annotator5
240_lass_nn	-	not the same root	annotator5
132_lass_nn	-	not the same root	annotator5
37_lass_nn	-	not the same root	annotator5
36_lass_nn	-	not the same root	annotator5
241_lass_nn	3.0	 	annotator5
242_lass_nn	4.0	 	annotator5
118_lass_nn	3.0	 	annotator5
243_lass_nn	3.0	 	annotator5
244_lass_nn	4.0	 	annotator5
74_lass_nn	-	not the same root	annotator5
11_lass_nn	-	not the same root	annotator5
172_lass_nn	-	not the same root	annotator5
245_lass_nn	-	not the same root	annotator5
154_lass_nn	3.0	 	annotator5
246_lass_nn	4.0	 	annotator5
247_lass_nn	3.0	 	annotator5
248_lass_nn	4.0	 	annotator5
112_lass_nn	4.0	 	annotator5
249_lass_nn	4.0	 	annotator5
96_lass_nn	-	not the same root	annotator5
250_lass_nn	-	not the same root	annotator5
251_lass_nn	-	not the same root	annotator5
167_lass_nn	4.0	 	annotator5
252_lass_nn	4.0	 	annotator5
25_lass_nn	-	not the same root	annotator5
253_lass_nn	-	not the same root	annotator5
93_lass_nn	4.0	 	annotator5
162_lass_nn	4.0	 	annotator5
254_lass_nn	4.0	 	annotator5
255_lass_nn	-	not the same root	annotator5
41_lass_nn	4.0	 	annotator5
256_lass_nn	4.0	 	annotator5
257_lass_nn	4.0	 	annotator5
258_lass_nn	-	not the same root	annotator5
259_lass_nn	-	not the same root	annotator5
260_lass_nn	4.0	 	annotator5
261_lass_nn	4.0	 	annotator5
95_lass_nn	-	not the same root	annotator5
262_lass_nn	4.0	 	annotator5
147_lass_nn	-	not the same root	annotator5
263_lass_nn	-	not the same root	annotator5
264_lass_nn	-	not the same root	annotator5
265_lass_nn	4.0	 	annotator5
266_lass_nn	-	not the same root	annotator5
127_lass_nn	-	not the same root	annotator5
32_lass_nn	-	not the same root	annotator5
267_lass_nn	4.0	 	annotator5
268_lass_nn	4.0	 	annotator5
46_lass_nn	-	not the same root	annotator5
269_lass_nn	4.0	 	annotator5
270_lass_nn	-	not the same root	annotator5
271_lass_nn	-	not the same root	annotator5
272_lass_nn	3.0	 	annotator5
53_lass_nn	-	not the same root	annotator5
273_lass_nn	-	not the same root	annotator5
83_lass_nn	-	not the same root	annotator5
274_lass_nn	-	not the same root	annotator5
133_lass_nn	4.0	 	annotator5
146_lass_nn	4.0	 	annotator5
275_lass_nn	-	not the same root	annotator5
276_lass_nn	4.0	 	annotator5
80_lass_nn	4.0	 	annotator5
75_lass_nn	4.0	 	annotator5
277_lass_nn	-	not same root	annotator5
136_lass_nn	4.0	 	annotator5
278_lass_nn	4.0	 	annotator5
177_lass_nn	4.0	 	annotator5
279_lass_nn	4.0	 	annotator5
161_lass_nn	-	not same root	annotator5
280_lass_nn	-	not same root	annotator5
131_lass_nn	-	not same root	annotator5
281_lass_nn	-	not same root	annotator5
282_lass_nn	-	not same root	annotator5
283_lass_nn	4.0	 	annotator5
160_lass_nn	4.0	 	annotator5
284_lass_nn	-	not same root	annotator5
76_lass_nn	-	not same root	annotator5
168_lass_nn	-	not same root	annotator5
285_lass_nn	4.0	 	annotator5
286_lass_nn	4.0	 	annotator5
287_lass_nn	-	not same root	annotator5
82_lass_nn	-	not same root	annotator5
288_lass_nn	4.0	 	annotator5
289_lass_nn	3.0	 	annotator5
129_lass_nn	-	not same root	annotator5
290_lass_nn	-	not same root	annotator5
150_lass_nn	-	not same root	annotator5
291_lass_nn	-	not same root	annotator5
153_lass_nn	-	same word, but not target root	annotator5
109_lass_nn	4.0	 	annotator5
292_lass_nn	-	not same root	annotator5
283_lass_nn	4.0	 	annotator4
91_lass_nn	1.0	 	annotator4
123_lass_nn	1.0	 	annotator4
198_lass_nn	-	 	annotator4
284_lass_nn	1.0	 	annotator4
