instanceID	label	comment	annotator
0_part_nn	2.0	 	annotator2
1_part_nn	2.0	 	annotator2
2_part_nn	2.0	 	annotator2
3_part_nn	1.0	 	annotator2
4_part_nn	2.0	 	annotator2
5_part_nn	2.0	 	annotator2
6_part_nn	2.0	 	annotator2
7_part_nn	2.0	 	annotator2
8_part_nn	2.0	 	annotator2
9_part_nn	2.0	 	annotator2
10_part_nn	4.0	 	annotator2
11_part_nn	3.0	 	annotator2
12_part_nn	2.0	 	annotator2
13_part_nn	2.0	 	annotator2
14_part_nn	3.0	 	annotator2
15_part_nn	4.0	 	annotator2
16_part_nn	3.0	 	annotator2
17_part_nn	2.0	 	annotator2
18_part_nn	2.0	 	annotator2
19_part_nn	2.0	 	annotator2
20_part_nn	3.0	 	annotator2
21_part_nn	2.0	 	annotator2
22_part_nn	2.0	 	annotator2
23_part_nn	2.0	 	annotator2
24_part_nn	1.0	 	annotator2
25_part_nn	1.0	 	annotator2
26_part_nn	2.0	 	annotator2
27_part_nn	2.0	 	annotator2
28_part_nn	1.0	 	annotator2
29_part_nn	1.0	 	annotator2
30_part_nn	1.0	 	annotator2
31_part_nn	4.0	 	annotator2
32_part_nn	3.0	 	annotator2
33_part_nn	4.0	 	annotator2
34_part_nn	3.0	 	annotator2
35_part_nn	2.0	 	annotator2
36_part_nn	1.0	 	annotator2
37_part_nn	1.0	 	annotator2
38_part_nn	4.0	 	annotator2
39_part_nn	1.0	 	annotator2
40_part_nn	2.0	 	annotator2
41_part_nn	2.0	 	annotator2
42_part_nn	2.0	 	annotator2
43_part_nn	3.0	 	annotator2
44_part_nn	2.0	 	annotator2
45_part_nn	1.0	 	annotator2
46_part_nn	2.0	 	annotator2
47_part_nn	2.0	 	annotator2
48_part_nn	2.0	 	annotator2
49_part_nn	4.0	 	annotator2
50_part_nn	1.0	 	annotator2
51_part_nn	1.0	 	annotator2
52_part_nn	3.0	 	annotator2
53_part_nn	2.0	 	annotator2
54_part_nn	1.0	 	annotator2
55_part_nn	1.0	 	annotator2
56_part_nn	1.0	 	annotator2
57_part_nn	3.0	 	annotator2
58_part_nn	2.0	 	annotator2
59_part_nn	2.0	 	annotator2
60_part_nn	2.0	 	annotator2
61_part_nn	2.0	 	annotator2
62_part_nn	2.0	 	annotator2
63_part_nn	2.0	 	annotator2
64_part_nn	3.0	 	annotator2
65_part_nn	2.0	 	annotator2
66_part_nn	4.0	 	annotator2
67_part_nn	3.0	 	annotator2
68_part_nn	3.0	 	annotator2
69_part_nn	1.0	 	annotator2
70_part_nn	2.0	 	annotator2
71_part_nn	2.0	 	annotator2
72_part_nn	2.0	 	annotator2
73_part_nn	2.0	 	annotator2
74_part_nn	1.0	 	annotator2
75_part_nn	1.0	 	annotator2
76_part_nn	2.0	 	annotator2
77_part_nn	1.0	 	annotator2
78_part_nn	2.0	 	annotator2
79_part_nn	1.0	 	annotator2
80_part_nn	1.0	 	annotator2
81_part_nn	2.0	 	annotator2
82_part_nn	1.0	 	annotator2
83_part_nn	2.0	 	annotator2
84_part_nn	3.0	 	annotator2
85_part_nn	3.0	 	annotator2
86_part_nn	3.0	 	annotator2
87_part_nn	2.0	 	annotator2
88_part_nn	4.0	 	annotator2
89_part_nn	2.0	 	annotator2
90_part_nn	2.0	 	annotator2
91_part_nn	3.0	 	annotator2
92_part_nn	2.0	 	annotator2
93_part_nn	1.0	 	annotator2
94_part_nn	2.0	 	annotator2
95_part_nn	2.0	 	annotator2
96_part_nn	2.0	 	annotator2
97_part_nn	2.0	 	annotator2
98_part_nn	1.0	 	annotator2
99_part_nn	1.0	 	annotator2
100_part_nn	3.0	 	annotator2
101_part_nn	2.0	 	annotator2
102_part_nn	4.0	 	annotator2
103_part_nn	2.0	 	annotator2
104_part_nn	2.0	 	annotator2
105_part_nn	2.0	 	annotator2
106_part_nn	2.0	 	annotator2
107_part_nn	4.0	 	annotator2
108_part_nn	1.0	 	annotator6
109_part_nn	2.0	 	annotator6
75_part_nn	3.0	 	annotator6
110_part_nn	2.0	 	annotator6
111_part_nn	3.0	 	annotator6
112_part_nn	3.0	 	annotator6
113_part_nn	4.0	 	annotator6
114_part_nn	2.0	 	annotator6
115_part_nn	2.0	 	annotator6
48_part_nn	2.0	 	annotator6
116_part_nn	3.0	 	annotator6
117_part_nn	2.0	 	annotator6
118_part_nn	3.0	 	annotator6
119_part_nn	2.0	 	annotator6
120_part_nn	3.0	 	annotator6
121_part_nn	3.0	 	annotator6
122_part_nn	2.0	 	annotator6
123_part_nn	3.0	 	annotator6
124_part_nn	2.0	 	annotator6
125_part_nn	3.0	 	annotator6
89_part_nn	4.0	 	annotator6
126_part_nn	2.0	 	annotator6
127_part_nn	2.0	 	annotator6
128_part_nn	2.0	 	annotator6
