dataID	context	indices_target_token	indices_target_sentence	lemma
fic_1851_2538.txt-2611-9	There was but a small quantity of powder and ball, few tools to build entrenchments with, and a great deficiency of provisions and clothes for the soldiers.	45:49	0:156	ball_nn
fic_1847_1094.txt-1927-13	, and studded here and there with the ripened spheres, like gilded balls.	67:72	0:73	ball_nn
fic_1834_7252.txt-1700-18	such strange things as they know how to make, -- they know everything, -- calico and balls of thread, and a thousand things more strange. '	85:90	0:139	ball_nn
fic_1854_9218.txt-3589-17	He never came near me all day, and toward night I began to dress for the ball.	73:77	0:78	ball_nn
fic_1848_7005.txt-128-33	The lid of one eye was closed entirely; and that of the other so much so, as just to leave a dull, lead-colored rim of the lower part of the ball visible.	141:145	0:154	ball_nn
mag_1856_576366.txt-108-8	"To be sure, he admitted, these balls were nothing to the times in spring, when the lumbermen came out of the woods, to these rural inns. """	31:36	0:138	ball_nn
fic_1859_9220.txt-2340-13	No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have	48:52	0:165	ball_nn
fic_1860_9165.txt-196-14	"said Miss Gilbert; and out came a smart little chap with a smaller ball in his hand, and began walking obediently around the chalk circle next the sun. """	67:71	0:153	ball_nn
fic_1835_7272.txt-979-1	"The ball is given in honour of her arrival, I hear. """	4:8	0:53	ball_nn
fic_1843_7074.txt-2889-5	i. e. potatoes rolled into balls as big as marbles, and baked brown.	27:32	0:68	ball_nn
fic_1839_7088.txt-3560-5	"I believe a score of balls struck my person, yet they seemed to fall from my cloak harmlessly like hailstones. """	21:26	0:112	ball_nn
mag_1835_554348.txt-508-19	The a-frighted birds fled swiftly, gathering themselves into a mass so dense, that it resembled a black ball.	104:108	0:109	ball_nn
fic_1835_7064.txt-1770-4	There was a magnificent ball at the Prince M -- ' s the second evening after Norman's adventure with the panel.	24:28	0:111	ball_nn
fic_1835_5605.txt-353-29	Mr. Millinet reached New York in safety, and solaced himself for his defeat in New England by attention to his pretty person, and his pretty customers, balls, assemblies, and billiards; in process of time made a fashionable failure, a fashionable marriage, and commenced business afresh.	152:157	0:287	ball_nn
fic_1859_9220.txt-2326-10	worth seeing, I am told, -- the Century Ball especially.	40:44	0:56	ball_nn
