instanceID	label	comment	annotator
1941	circle	-	C
1942	holder	-	C
1943	shadow	-	C
1944	circle	-	C
1945	call	-	C
1946	feel	-	C
1947	circle	-	C
1948	circle	-	C
1949		-	C
1950	section	-	C
1941	band	-	A
1942	loop	-	A
1943	circle	-	A
1944	area	-	A
1945	call	-	A
1946	sound	-	A
1947	circle	-	A
1948	loop	-	A
1949	hoop	-	A
1950	loop	-	A
1941	circle	-	F
1942	fob	-	F
1943	circle	-	F
1944	circle	-	F
1945	call	-	F
1946	sound	-	F
1947	circle	-	F
1948	circle	-	F
1949		-	F
1950	circle	-	F
1941	circle	-	G
1942	hoop	-	G
1943	circle	-	G
1944	alliance	-	G
1945	call	-	G
1946	buzz	-	G
1947	circle	-	G
1948	organization	-	G
1949	circle	-	G
1950	circle	-	G
1941	circle	-	D
1942	chain	-	D
1943	circle	-	D
1944	area	-	D
1945	call	-	D
1946	bounce	-	D
1947	circle	-	D
1948	group	-	D
1949	cord	-	D
1950	circle	-	D
1941	circle	-	H
1942	chain	-	H
1943	circle	-	H
1944	community	-	H
1945	call	-	H
1946	chime	-	H
1947	circle	-	H
1948	community	-	H
1949	loop	-	H
1950	circle	-	H
1941	loop	-	I
1942	chain	-	I
1943	patch	-	I
1944	group	-	I
1945	phone	-	I
1946	sound	-	I
1947	band	-	I
1948	group	-	I
1949	band	-	I
1950	orbital	-	I
1941	band	-	J
1942	hoop	-	J
1943	circle	-	J
1944	group	-	J
1945	call	-	J
1946	chime	-	J
1947	circle	-	J
1948	group	-	J
1949	band	-	J
1950	hoop	-	J
