instanceID	label	comment	annotator
0_pin_vb	4.0	 	annotator2
1_pin_vb	3.0	 	annotator2
2_pin_vb	4.0	 	annotator2
3_pin_vb	3.0	 	annotator2
4_pin_vb	3.0	 	annotator2
5_pin_vb	2.0	 	annotator2
6_pin_vb	2.0	 	annotator2
7_pin_vb	3.0	 	annotator2
8_pin_vb	3.0	 	annotator2
9_pin_vb	2.0	 	annotator2
10_pin_vb	2.0	 	annotator2
11_pin_vb	2.0	 	annotator2
12_pin_vb	2.0	 	annotator2
13_pin_vb	3.0	 	annotator2
14_pin_vb	2.0	 	annotator2
15_pin_vb	2.0	 	annotator2
16_pin_vb	2.0	 	annotator2
17_pin_vb	4.0	 	annotator2
18_pin_vb	3.0	 	annotator2
19_pin_vb	1.0	 	annotator2
20_pin_vb	3.0	 	annotator2
21_pin_vb	3.0	 	annotator2
22_pin_vb	3.0	 	annotator2
23_pin_vb	4.0	 	annotator2
24_pin_vb	3.0	 	annotator2
25_pin_vb	4.0	 	annotator2
26_pin_vb	3.0	 	annotator2
27_pin_vb	2.0	 	annotator2
28_pin_vb	3.0	 	annotator2
29_pin_vb	2.0	 	annotator2
30_pin_vb	1.0	 	annotator2
31_pin_vb	2.0	 	annotator2
32_pin_vb	3.0	 	annotator2
33_pin_vb	3.0	 	annotator2
34_pin_vb	3.0	 	annotator2
35_pin_vb	4.0	 	annotator2
36_pin_vb	3.0	 	annotator2
37_pin_vb	4.0	 	annotator2
38_pin_vb	3.0	 	annotator2
39_pin_vb	3.0	 	annotator2
40_pin_vb	3.0	 	annotator2
41_pin_vb	4.0	 	annotator2
42_pin_vb	4.0	 	annotator2
43_pin_vb	3.0	 	annotator2
44_pin_vb	3.0	 	annotator2
45_pin_vb	3.0	 	annotator2
46_pin_vb	2.0	 	annotator2
47_pin_vb	2.0	 	annotator2
48_pin_vb	4.0	 	annotator2
49_pin_vb	4.0	 	annotator2
50_pin_vb	3.0	 	annotator2
51_pin_vb	3.0	 	annotator2
52_pin_vb	2.0	 	annotator2
53_pin_vb	4.0	 	annotator2
54_pin_vb	4.0	 	annotator2
55_pin_vb	3.0	 	annotator2
56_pin_vb	3.0	 	annotator2
57_pin_vb	2.0	 	annotator2
58_pin_vb	3.0	 	annotator2
59_pin_vb	4.0	 	annotator2
60_pin_vb	2.0	 	annotator2
61_pin_vb	4.0	 	annotator2
62_pin_vb	3.0	 	annotator2
63_pin_vb	3.0	 	annotator2
64_pin_vb	3.0	 	annotator2
65_pin_vb	2.0	 	annotator2
66_pin_vb	3.0	 	annotator2
67_pin_vb	2.0	 	annotator2
68_pin_vb	3.0	 	annotator6
69_pin_vb	2.0	 	annotator6
70_pin_vb	4.0	 	annotator6
71_pin_vb	3.0	 	annotator6
72_pin_vb	4.0	 	annotator6
73_pin_vb	2.0	 	annotator6
74_pin_vb	2.0	 	annotator6
51_pin_vb	3.0	 	annotator6
75_pin_vb	3.0	 	annotator6
9_pin_vb	2.0	 	annotator6
76_pin_vb	3.0	 	annotator6
77_pin_vb	2.0	 	annotator6
78_pin_vb	3.0	 	annotator6
79_pin_vb	3.0	 	annotator6
80_pin_vb	2.0	 	annotator6
81_pin_vb	2.0	 	annotator6
82_pin_vb	2.0	 	annotator6
83_pin_vb	2.0	 	annotator6
84_pin_vb	3.0	 	annotator6
85_pin_vb	2.0	 	annotator6
86_pin_vb	2.0	 	annotator6
37_pin_vb	3.0	 	annotator6
54_pin_vb	3.0	 	annotator6
87_pin_vb	2.0	 	annotator6
88_pin_vb	2.0	 	annotator6
89_pin_vb	2.0	 	annotator6
90_pin_vb	4.0	 	annotator6
91_pin_vb	3.0	 	annotator6
92_pin_vb	2.0	 	annotator6
93_pin_vb	3.0	 	annotator6
94_pin_vb	3.0	 	annotator6
95_pin_vb	2.0	 	annotator6
96_pin_vb	2.0	 	annotator6
48_pin_vb	4.0	 	annotator6
97_pin_vb	3.0	 	annotator6
98_pin_vb	2.0	 	annotator6
99_pin_vb	2.0	 	annotator6
100_pin_vb	2.0	 	annotator6
101_pin_vb	2.0	 	annotator6
102_pin_vb	2.0	 	annotator6
60_pin_vb	2.0	 	annotator6
103_pin_vb	2.0	 	annotator6
104_pin_vb	2.0	 	annotator6
11_pin_vb	2.0	 	annotator6
105_pin_vb	4.0	 	annotator6
